Momentum line-search summary

step  candidates  pre_train  selected_train  pre_second  selected_second  head_lr  muon_lr  head_m  muon_m
   1          16    4608.95         4292.56     4606.11          4437.72   0.4288   0.1229  []  []
   2         142    4292.56         3864.78     4437.72          4250.79     6.24   0.0983  [0.2]  [0.1]
   3         160    3864.78         3444.01     4250.79          4040.67    3.852  0.06166  [0, 0.8]  [0.2, 0.5]
   4         232    3444.01         2977.91     4040.67          3818.38    4.937  0.04692  [0, 0.8, 0.7]  [0, 0.3, 0.5]
   5         412    2977.91         2487.68     3818.38          3708.73    15.45  0.06898  [0, 0.5, 0.6, 0.6]  [0, 0, 0.4, 0.6]
   6         275    2487.68         2227.77     3708.73          3653.03    4.746  0.04256  [0, 0.5, 0.6, 0.5, 0.7]  [0, 0.1, 0.2, 0.5, 0.5]
   7         397    2227.77         2054.59     3653.03          3602.86    5.012  0.03204  [0.2, 0.5, 0.6, 0.5, 0.8, 0.8]  [0, 0.1, 0.2, 0.4, 0.5, 0.6]
   8         590    2054.59         1945.28     3602.86          3619.59    8.272  0.02988  [0.3, 0.5, 0.6, 0.5, 0.8, 0.9, 0.7]  [0.1, 0.1, 0.3, 0.6, 0.4, 0.6, 0.6]
   9         823    1945.28          1877.5     3619.59          3613.34    3.877   0.0223  [0.2, 0.5, 0.6, 0.5, 0.7, 0.8, 0.8, 1]  [0.1, 0.1, 0, 0.5, 0.5, 0.5, 0.5, 0.6]
  10         922     1877.5         1836.55     3613.34          3643.59    3.101  0.01652  [0.6, 0.5, 0.6, 0.5, 0.7, 0.8, 0.7, 0.9, 1]  [0, 0.2, 0.1, 0.4, 0.6, 0.5, 0.5, 0.6, 0.5]
