Momentum line-search summary

step  candidates  pre_train  selected_train  pre_second  selected_second  head_lr  muon_lr  head_m  muon_m
   1          18    4611.89         4315.08     4613.16           4444.1    0.343   0.1229  []  []
   2         160    4315.08         3824.27      4444.1          4229.51      7.8   0.0983  [0.1]  [0.1]
   3         204    3824.27         3292.67     4229.51          4028.63    10.14  0.06166  [0, 0.9]  [0.1, 0.5]
   4         190    3292.67         2831.48     4028.63          3845.87    9.507  0.04692  [0, 0.9, 0.9]  [0.1, 0.4, 0.6]
   5         171    2831.48         2510.24     3845.87          3752.21    8.377  0.04415  [0, 0.9, 0.9, 0.9]  [0.1, 0.4, 0.5, 0.6]
   6         154    2510.24         2283.09     3752.21          3721.36    6.462  0.03323  [0, 0.9, 0.9, 1, 0.8]  [0.1, 0.4, 0.5, 0.5, 0.6]
   7         149    2283.09          2142.1     3721.36          3684.66    5.662    0.031  [0, 0.9, 0.9, 1, 0.9, 0.8]  [0.1, 0.4, 0.5, 0.5, 0.6, 0.7]
   8         210     2142.1          2042.9     3684.66          3635.34    3.062  0.02313  [0, 0.9, 0.9, 1, 0.9, 0.8, 0.8]  [0.1, 0.4, 0.5, 0.5, 0.6, 0.6, 0.7]
   9         151     2042.9         1954.37     3635.34          3674.18    7.326  0.02142  [0, 0.9, 0.9, 1, 0.9, 0.8, 0.8, 0.8]  [0.1, 0.4, 0.5, 0.5, 0.6, 0.6, 0.7, 0.6]
  10         142    1954.37         1897.84     3674.18          3713.59    5.136  0.01984  [0, 0.9, 0.9, 1, 0.9, 0.8, 0.8, 0.8, 0.9]  [0.1, 0.4, 0.5, 0.5, 0.6, 0.6, 0.7, 0.6, 0.6]
  11         162    1897.84            1854     3713.59          3718.19    4.211  0.01838  [0, 0.9, 0.9, 1, 0.9, 0.8, 0.8, 0.8, 0.8, 1]  [0.1, 0.4, 0.5, 0.5, 0.6, 0.6, 0.7, 0.6, 0.6, 0.7]
  12         148       1854         1822.69     3718.19           3740.5    4.211  0.01362  [0, 0.9, 0.9, 1, 0.9, 0.8, 0.8, 0.8, 0.8, 0.9, 1]  [0.1, 0.4, 0.5, 0.5, 0.6, 0.6, 0.7, 0.6, 0.6, 0.7, 0.6]
  13         179    1822.69         1804.43      3740.5          3759.45    4.211  0.01003  [0, 0.9, 0.9, 1, 0.9, 0.8, 0.8, 0.8, 0.8, 0.9, 0.8, 1]  [0.1, 0.4, 0.5, 0.5, 0.6, 0.6, 0.7, 0.6, 0.6, 0.7, 0.7, 0.6]
  14         226    1804.43         1790.76     3759.45          3757.87    2.695  0.009199  [0, 0.9, 0.9, 1, 0.9, 0.8, 0.8, 0.8, 0.8, 0.9, 0.8, 0.6, 1]  [0.1, 0.4, 0.5, 0.5, 0.6, 0.6, 0.7, 0.6, 0.6, 0.7, 0.7, 0.7, 0.7]
  15         166    1790.76         1781.11     3757.87           3766.3    2.598  0.008434  [0, 0.9, 0.9, 1, 0.9, 0.8, 0.8, 0.8, 0.8, 0.9, 0.8, 0.6, 1, 0.9]  [0.1, 0.4, 0.5, 0.5, 0.6, 0.6, 0.7, 0.6, 0.6, 0.7, 0.7, 0.7, 0.7, 0.7]
  16         173    1781.11         1771.33      3766.3          3771.61    3.913  0.01208  [0, 0.9, 0.9, 1, 0.9, 0.8, 0.8, 0.8, 0.8, 0.9, 0.8, 0.6, 1, 0.7, 0.9]  [0.1, 0.4, 0.5, 0.5, 0.6, 0.6, 0.7, 0.6, 0.6, 0.7, 0.7, 0.7, 0.7, 0.7, 0.8]
  17         203    1771.33         1763.45     3771.61          3775.82    6.115  0.007161  [0, 0.9, 0.9, 1, 0.9, 0.8, 0.8, 0.8, 0.8, 0.9, 0.8, 0.6, 1, 0.7, 0.6, 0.8]  [0.1, 0.4, 0.5, 0.5, 0.6, 0.6, 0.7, 0.6, 0.6, 0.7, 0.7, 0.7, 0.7, 0.7, 0.8, 0.7]
  18         196    1763.45         1758.86     3775.82          3792.95    5.167  0.004202  [0, 0.9, 0.9, 1, 0.9, 0.8, 0.8, 0.8, 0.8, 0.9, 0.8, 0.6, 1, 0.7, 0.6, 0.7, 0.9]  [0.1, 0.4, 0.5, 0.5, 0.6, 0.6, 0.7, 0.6, 0.6, 0.7, 0.7, 0.7, 0.7, 0.7, 0.8, 0.7, 0.6]
  19         192    1758.86         1754.63     3792.95          3796.97    5.296  0.005979  [0, 0.9, 0.9, 1, 0.9, 0.8, 0.8, 0.8, 0.8, 0.9, 0.8, 0.6, 1, 0.7, 0.6, 0.7, 0.9, 1]  [0.1, 0.4, 0.5, 0.5, 0.6, 0.6, 0.7, 0.6, 0.6, 0.7, 0.7, 0.7, 0.7, 0.7, 0.8, 0.7, 0.7, 0.7]
  20         242    1754.63         1750.71     3796.97          3811.98    13.25  0.006852  [0, 0.9, 0.9, 1, 0.9, 0.8, 0.8, 0.8, 0.8, 0.9, 0.8, 0.6, 1, 0.7, 0.6, 0.7, 0.9, 0.8, 0.9]  [0.1, 0.4, 0.5, 0.5, 0.6, 0.6, 0.7, 0.6, 0.6, 0.7, 0.7, 0.7, 0.7, 0.7, 0.8, 0.7, 0.7, 0.7, 0.8]
