Run: current_batch
Validation losses are divided by 5 to match plot scale.
Deltas are selected loss minus pre-step loss; lower is better.

step  decision_metric  decision_batch                selection   head_lr    muon_lr  current_batch_loss  mean_25_batch_loss  validation_loss  current_delta  mean_delta  validation_delta
----  ---------------  --------------  -----------------------  --------  ---------  ------------------  ------------------  ---------------  -------------  ----------  ----------------
   1    current_batch               0  best_current (selected)  0.175636    0.12288             4325.46             4451.22          4452.24       -302.345    -174.539          -173.247
   1    current_batch               0                best_mean  0.175636     0.1536             4330.12             4445.42          4446.06        -297.68    -180.338           -179.42
   1    current_batch               0          best_validation  0.175636     0.1536             4330.12             4445.42          4446.06        -297.68    -180.338           -179.42
   2    current_batch               1  best_current (selected)    0.4288     0.1536             4171.74             4309.05          4308.13       -288.911    -142.171          -144.108
   2    current_batch               1                best_mean  0.274432      0.192             4175.41             4298.26          4296.69       -285.243    -152.957          -155.542
   2    current_batch               1          best_validation  0.274432      0.192             4175.41             4298.26          4296.69       -285.243    -152.957          -155.542
   3    current_batch               2  best_current (selected)  0.313989   0.125952             4022.58             4152.99          4154.39       -294.414    -156.056           -153.74
   3    current_batch               2                best_mean  0.313989    0.15744             4023.39             4152.94          4153.37       -293.604    -156.104           -154.76
   3    current_batch               2          best_validation  0.313989    0.15744             4023.39             4152.94          4153.37       -293.604    -156.104           -154.76
   4    current_batch               3  best_current (selected)  0.809694   0.125952             3792.25             3930.56          3932.89       -363.796    -222.431          -221.497
   4    current_batch               3                best_mean  0.809694   0.100762              3792.8             3925.55          3928.45       -363.243    -227.441          -225.935
   4    current_batch               3          best_validation  0.809694   0.100762              3792.8             3925.55          3928.45       -363.243    -227.441          -225.935
   5    current_batch               4  best_current (selected)     0.425  0.0806093              3620.8             3732.53          3735.75       -326.208    -198.034           -197.14
   5    current_batch               4                best_mean     0.425  0.0644874             3623.95             3725.13          3729.14       -323.064    -205.435          -203.753
   5    current_batch               4          best_validation     0.425  0.0644874             3623.95             3725.13          3729.14       -323.064    -205.435          -203.753
   6    current_batch               5  best_current (selected)   1.09596  0.0621659             3446.01             3571.23          3580.61       -312.571    -161.302          -155.141
   6    current_batch               5                best_mean  0.876771  0.0497327              3458.1             3560.47          3568.62       -300.478    -172.055          -167.132
   6    current_batch               5          best_validation  0.876771  0.0497327              3458.1             3560.47          3568.62       -300.478    -172.055          -167.132
   7    current_batch               6  best_current (selected)  0.460208  0.0473057              3318.3             3451.95          3462.41       -254.072    -119.272          -118.202
   7    current_batch               6                best_mean  0.368167  0.0378446             3326.92             3439.96          3450.81       -245.451    -131.266          -129.805
   7    current_batch               6          best_validation  0.368167  0.0378446             3326.92             3439.96          3450.81       -245.451    -131.266          -129.805
   8    current_batch               7  best_current (selected)   1.15164  0.0445128              3248.6             3378.82          3394.91       -258.979    -73.1384          -67.5043
   8    current_batch               7                best_mean  0.737052  0.0356103             3264.16             3358.95          3374.65        -243.42    -93.0081          -87.7628
   8    current_batch               7          best_validation  0.737052  0.0356103             3264.16             3358.95          3374.65        -243.42    -93.0081          -87.7628
   9    current_batch               8  best_current (selected)  0.710622   0.052356             3110.72             3283.53          3314.35       -294.205    -95.2842          -80.5559
   9    current_batch               8                best_mean  0.710622  0.0418848             3119.09             3265.97           3295.9       -285.841    -112.843          -99.0087
   9    current_batch               8          best_validation  0.568497  0.0418848             3122.72             3266.36          3295.14       -282.209    -112.451           -99.763
  10    current_batch               9  best_current (selected)  0.600475  0.0622513             3024.26             3217.56          3251.89       -300.408    -65.9712          -62.4565
  10    current_batch               9                best_mean   0.48038   0.049801             3028.92             3191.15          3225.78       -295.747    -92.3826          -88.5702
  10    current_batch               9          best_validation   0.48038   0.049801             3028.92             3191.15          3225.78       -295.747    -92.3826          -88.5702
  11    current_batch              10  best_current (selected)  0.393912  0.0480082             3019.92             3151.08          3188.95       -268.235    -66.4764          -62.9393
  11    current_batch              10                best_mean  0.393912  0.0384065                3024             3129.88          3167.93       -264.157    -87.6775          -83.9589
  11    current_batch              10          best_validation  0.393912  0.0384065                3024             3129.88          3167.93       -264.157    -87.6775          -83.9589
  12    current_batch              11  best_current (selected)  0.308827  0.0456654             2946.26              3111.6          3149.62       -244.175    -39.4877          -39.3324
  12    current_batch              11                best_mean  0.308827  0.0365323             2954.32             3090.38          3129.39       -236.114    -60.7021          -59.5668
  12    current_batch              11          best_validation  0.308827  0.0365323             2954.32             3090.38          3129.39       -236.114    -60.7021          -59.5668
  13    current_batch              12  best_current (selected)  0.465171  0.0434369             2930.09              3062.6          3113.94       -236.749    -49.0002          -35.6812
  13    current_batch              12                best_mean  0.465171  0.0347495             2934.98             3041.94          3092.12       -231.861    -69.6514           -57.504
  13    current_batch              12          best_validation  0.465171  0.0347495             2934.98             3041.94          3092.12       -231.861    -69.6514           -57.504
  14    current_batch              13  best_current (selected)  0.372136  0.0413172             2853.23             3010.71          3060.32       -248.123    -51.8828          -53.6216
  14    current_batch              13                best_mean  0.372136  0.0330537              2866.5             2996.63          3047.62       -234.852    -65.9682          -66.3163
  14    current_batch              13          best_validation  0.372136  0.0330537              2866.5             2996.63          3047.62       -234.852    -65.9682          -66.3163
  15    current_batch              14  best_current (selected)  0.291755  0.0491261             2792.06             2997.28          3056.55       -249.127    -13.4377          -3.76611
  15    current_batch              14                best_mean  0.291755  0.0393009              2797.8             2971.77          3030.24       -243.389    -38.9388          -30.0821
  15    current_batch              14          best_validation  0.291755  0.0393009              2797.8             2971.77          3030.24       -243.389    -38.9388          -30.0821
  16    current_batch              15  best_current (selected)  0.225001  0.0473576             2777.36             2949.79          3008.22       -272.104    -47.4835          -48.3335
  16    current_batch              15                best_mean  0.225001  0.0378861             2787.38             2928.53          2988.33       -262.084    -68.7456          -68.2251
  16    current_batch              15          best_validation  0.225001  0.0378861             2787.38             2928.53          2988.33       -262.084    -68.7456          -68.2251
  17    current_batch              16  best_current (selected)  0.136974  0.0570659             2783.65             2936.32          2997.85       -294.715    -13.4743          -10.3716
  17    current_batch              16                best_mean  0.136974  0.0456527             2791.96              2906.4             2969       -286.413    -43.3906          -39.2194
  17    current_batch              16          best_validation  0.136974  0.0456527             2791.96              2906.4             2969       -286.413    -43.3906          -39.2194
  18    current_batch              17  best_current (selected)   0.24954  0.0447397             2761.13             2883.28           2951.5       -274.074    -53.0408          -46.3501
  18    current_batch              17                best_mean   0.24954  0.0357917             2774.56             2865.22          2933.43       -260.638    -71.0936          -64.4133
  18    current_batch              17          best_validation   0.24954  0.0357917             2774.56             2865.22          2933.43       -260.638    -71.0936          -64.4133
  19    current_batch              18  best_current (selected)  0.300696   0.043129              2749.1             2855.97          2927.26       -258.262    -27.3077          -24.2369
  19    current_batch              18                best_mean  0.300696  0.0345032              2763.5              2836.4          2908.33       -243.861      -46.88          -43.1652
