Run: mean_25_batches
Validation losses are divided by 5 to match plot scale.
Deltas are selected loss minus pre-step loss; lower is better.

step  decision_metric  decision_batch             selection    head_lr    muon_lr  current_batch_loss  mean_25_batch_loss  validation_loss  current_delta  mean_delta  validation_delta
----  ---------------  --------------  --------------------  ---------  ---------  ------------------  ------------------  ---------------  -------------  ----------  ----------------
   1  mean_25_batches               0          best_current   0.175636     0.1536             4330.12             4445.42          4446.06        -297.68    -180.338           -179.42
   1  mean_25_batches               0  best_mean (selected)   0.175636      0.192             4342.37             4443.33          4443.48       -285.438    -182.428          -181.999
   1  mean_25_batches               0       best_validation   0.175636      0.192             4342.37             4443.33          4443.48       -285.438    -182.428          -181.999
   2  mean_25_batches               1          best_current   0.274432      0.192             4173.74             4293.39          4290.47       -277.231    -149.936          -153.014
   2  mean_25_batches               1  best_mean (selected)   0.274432       0.24             4178.89              4290.6          4286.64       -272.086     -152.73          -156.847
   2  mean_25_batches               1       best_validation   0.274432       0.24             4178.89              4290.6          4286.64       -272.086     -152.73          -156.847
   3  mean_25_batches               2          best_current    0.45292    0.15744             3983.28             4106.33          4105.93       -314.045    -184.268          -180.708
   3  mean_25_batches               2  best_mean (selected)    0.45292    0.15744             3983.28             4106.33          4105.93       -314.045    -184.268          -180.708
   3  mean_25_batches               2       best_validation    0.45292    0.15744             3983.28             4106.33          4105.93       -314.045    -184.268          -180.708
   4  mean_25_batches               3          best_current   0.809694  0.0987464             3758.73             3882.29          3883.64       -354.517    -224.041           -222.29
   4  mean_25_batches               3  best_mean (selected)   0.809694  0.0631977             3773.35             3870.69           3870.8       -339.899     -235.64          -235.126
   4  mean_25_batches               3       best_validation   0.809694  0.0631977             3773.35             3870.69           3870.8       -339.899     -235.64          -235.126
   5  mean_25_batches               4          best_current      0.425  0.0921075             3561.75             3698.72          3700.62       -318.106    -171.975          -170.182
   5  mean_25_batches               4  best_mean (selected)      0.425  0.0589488             3577.08             3687.92          3690.36       -302.776    -182.777          -180.441
   5  mean_25_batches               4       best_validation      0.425  0.0589488             3577.08             3687.92          3690.36       -302.776    -182.777          -180.441
   6  mean_25_batches               5          best_current    1.09596  0.0549855             3425.81              3547.8          3558.83       -293.506    -140.114          -131.533
   6  mean_25_batches               5  best_mean (selected)    1.09596  0.0351907             3458.07             3539.74          3549.22       -261.244    -148.176          -141.145
   6  mean_25_batches               5       best_validation    1.09596  0.0351907             3458.07             3539.74          3549.22       -261.244    -148.176          -141.145
   7  mean_25_batches               6          best_current   0.460208  0.0506401             3310.75             3468.63          3476.32       -224.427    -71.1099          -72.9002
   7  mean_25_batches               6  best_mean (selected)   0.368167  0.0324097             3334.59             3450.51          3459.88       -200.581    -89.2275          -89.3388
   7  mean_25_batches               6       best_validation   0.368167  0.0324097             3334.59             3450.51          3459.88       -200.581    -89.2275          -89.3388
   8  mean_25_batches               7          best_current    0.57526  0.0466381             3270.59             3392.25          3406.29       -233.538    -58.2581          -53.5867
   8  mean_25_batches               7  best_mean (selected)    0.57526  0.0298484             3306.38             3383.79          3397.13       -197.745    -66.7171          -62.7535
   8  mean_25_batches               7       best_validation    0.57526  0.0298484             3306.38             3383.79          3397.13       -197.745    -66.7171          -62.7535
   9  mean_25_batches               8          best_current   0.486095  0.0671131             3142.35              3354.2          3378.49       -267.871    -29.5926           -18.641
   9  mean_25_batches               8  best_mean (selected)   0.607619  0.0343619             3184.39             3312.86          3335.12        -225.83    -70.9342          -62.0032
   9  mean_25_batches               8       best_validation   0.607619  0.0343619             3184.39             3312.86          3335.12        -225.83    -70.9342          -62.0032
  10  mean_25_batches               9          best_current   0.513438  0.0621611             3063.51             3265.34          3295.98       -296.113    -47.5182          -39.1439
  10  mean_25_batches               9  best_mean (selected)    0.41075  0.0397831             3104.22             3240.42          3269.77       -255.404    -72.4366          -65.3558
  10  mean_25_batches               9       best_validation    0.41075  0.0397831             3104.22             3240.42          3269.77       -255.404    -72.4366          -65.3558
  11  mean_25_batches              10          best_current   0.513438  0.0579819             3034.55             3219.32          3248.13       -260.077    -21.1035          -21.6378
  11  mean_25_batches              10  best_mean (selected)    1.00281  0.0296867              3075.9             3180.03          3213.44       -218.729    -60.3928           -56.325
  11  mean_25_batches              10       best_validation   0.802246  0.0296867              3079.9             3180.53          3213.35       -214.736    -59.8948          -56.4199
  12  mean_25_batches              11          best_current   0.587445  0.0537036             2979.62             3192.67          3225.18       -230.076     12.6378           11.7406
  12  mean_25_batches              11  best_mean (selected)   0.734306   0.021997              3037.4             3132.58          3167.73       -172.293    -47.4521          -45.7126
  12  mean_25_batches              11       best_validation   0.734306   0.021997              3037.4             3132.58          3167.73       -172.293    -47.4521          -45.7126
  13  mean_25_batches              12          best_current   0.397113  0.0494595             2937.17             3137.46          3184.04       -249.411     4.88488           16.3148
  13  mean_25_batches              12  best_mean (selected)   0.397113  0.0202586             3018.32             3092.83          3135.51       -168.256    -39.7472          -32.2198
  13  mean_25_batches              12       best_validation    0.31769  0.0202586             3019.83             3092.92          3135.36       -166.747    -39.6544          -32.3682
  14  mean_25_batches              13          best_current    0.38917  0.0569385             2841.23             3117.87          3160.42       -287.987      25.043           24.9127
  14  mean_25_batches              13  best_mean (selected)   0.199255   0.023322             2944.79             3064.99           3109.8       -184.429    -27.8401           -25.715
  14  mean_25_batches              13       best_validation   0.159404   0.023322             2945.94             3065.01           3109.7       -183.281    -27.8254           -25.809
  15  mean_25_batches              14          best_current   0.366194  0.0527373             2828.07              3082.4          3130.14       -267.376     17.4047            20.348
  15  mean_25_batches              14  best_mean (selected)   0.234364  0.0216012             2918.85             3032.94          3080.82         -176.6    -32.0554          -28.9762
  15  mean_25_batches              14       best_validation   0.234364  0.0216012             2918.85             3032.94          3080.82         -176.6    -32.0554          -28.9762
  16  mean_25_batches              15          best_current   0.348324  0.0610575             2804.85             3086.61          3141.01       -283.639     53.6786            60.195
  16  mean_25_batches              15  best_mean (selected)   0.114139  0.0200073             2922.75             3008.66          3061.37       -165.746    -24.2715          -19.4522
  16  mean_25_batches              15       best_validation  0.0913109  0.0200073              2923.4             3008.68          3061.35       -165.093    -24.2562          -19.4664
  17  mean_25_batches              16          best_current   0.322622  0.0565524             2839.88             3062.88             3107       -300.329     54.2161           45.6362
  17  mean_25_batches              16  best_mean (selected)   0.258098  0.0185311             2972.73             2988.08          3040.75       -167.471    -20.5843           -20.616
  17  mean_25_batches              16       best_validation   0.258098  0.0185311             2972.73             2988.08          3040.75       -167.471    -20.5843           -20.616
  18  mean_25_batches              17          best_current    0.48595  0.0654745             2751.85             3029.03           3090.3       -308.935     40.9489           49.5454
  18  mean_25_batches              17  best_mean (selected)   0.607437  0.0214547             2876.11             2958.43           3017.3       -184.677    -29.6515          -23.4506
  18  mean_25_batches              17       best_validation   0.607437  0.0171638             2903.78             2959.18          3017.19           -157    -28.8959          -23.5574
  19  mean_25_batches              18          best_current   0.328502   0.048858             2810.86             3007.48          3074.03       -262.158     49.0504           56.7339
  19  mean_25_batches              18  best_mean (selected)   0.210241  0.0160098             2929.53             2939.52          3003.03       -143.485     -18.904          -14.2722
  19  mean_25_batches              18       best_validation   0.262802  0.0128078             2951.57             2939.89          3002.75       -121.444    -18.5357          -14.5506
  20  mean_25_batches              19          best_current   0.312471  0.0565663             2787.44             3009.16          3077.24       -262.933     69.6381            74.207
  20  mean_25_batches              19  best_mean (selected)   0.488236  0.0148285             2907.06             2914.34           2982.2       -143.306    -25.1843          -20.8263
  20  mean_25_batches              19       best_validation   0.488236  0.0148285             2907.06             2914.34           2982.2       -143.306    -25.1843          -20.8263
  21  mean_25_batches              20          best_current   0.400354  0.0654906             2705.04             3006.33          3063.27       -304.475     91.9934           81.0712
  21  mean_25_batches              20  best_mean (selected)   0.320283   0.017168             2855.83             2899.15          2966.79       -153.683    -15.1872          -15.4104
  21  mean_25_batches              20       best_validation   0.320283   0.017168             2855.83             2899.15          2966.79       -153.683    -15.1872          -15.4104
  22  mean_25_batches              21          best_current   0.490433    0.04887             2735.92             2945.02          3024.39       -253.915     45.8696           57.6012
  22  mean_25_batches              21  best_mean (selected)   0.766302  0.0160137             2840.53             2876.56          2951.41       -149.305    -22.5927          -15.3833
  22  mean_25_batches              21       best_validation   0.766302   0.012811             2863.02             2876.74          2950.58       -126.807    -22.4133          -16.2087
  23  mean_25_batches              22          best_current   0.537178  0.0455844             2701.51             2919.24           2996.4       -252.546     42.6751           44.9905
  23  mean_25_batches              22  best_mean (selected)   0.429742  0.0149371             2813.17             2855.04          2933.37       -140.891    -21.5203          -18.0403
  23  mean_25_batches              22       best_validation   0.343794  0.0149371             2814.28              2855.2          2933.37       -139.781    -21.3617          -18.0428
  24  mean_25_batches              23          best_current   0.429742  0.0531496             2642.03             2907.63          2983.75        -302.36      52.593           50.3776
  24  mean_25_batches              23  best_mean (selected)   0.220028  0.0174161             2784.32             2840.58          2921.71       -160.061    -14.4608          -11.6543
  24  mean_25_batches              23       best_validation   0.220028  0.0139328             2810.52              2840.7          2921.63       -133.863    -14.3394          -11.7367
  25  mean_25_batches              24          best_current   0.408771  0.0500116             2669.56             2892.69          2978.09       -273.847      52.111           56.3769
  25  mean_25_batches              24  best_mean (selected)   0.327017  0.0163878             2788.21             2821.17          2906.29       -155.191    -19.4045           -15.419
  25  mean_25_batches              24       best_validation   0.327017  0.0131102             2812.46             2821.38          2905.98       -130.947    -19.1987          -15.7291
