search,batch_size,update,label,initial_lr,best_k,best_lr,train25_loss,val_acc,tta_val_acc,time_seconds,evaluated_lrs
8,2000,aurora_half_balanced_muon,Aurora half balanced,0.22,1.0,0.18,0.8996,0.9336,0.9427,11.0391,4
1,2000,track3_soft_muon_p01,Soft Muon p=0.1,0.22,0.0,0.22,0.9033,0.9301,0.9418,11.7362,3
2,2000,track3_contra_muon,Contra Muon,0.22,0.0,0.22,0.9024,0.9301,0.9417,11.0987,3
5,2000,normon_soft_muon,NorMuon Soft,0.22,1.0,0.18,0.8997,0.9294,0.9415,11.9316,4
4,2000,normon_muon,NorMuon,0.22,0.0,0.22,0.901,0.9317,0.9412,11.0892,3
3,2000,track3_contra_to_soft_muon,Contra to Soft Muon,0.22,-1.0,0.28,0.9076,0.9326,0.9411,12.013,4
11,2000,muown_normon_muon,Muown NorMuon,0.22,0.0,0.22,0.9011,0.9292,0.9411,11.2151,3
0,2000,track3_muon,Track3 Muon,0.22,1.0,0.18,0.8994,0.933,0.941,10.9031,4
9,2000,aurora_normon_muon,Aurora NorMuon,0.22,1.0,0.18,0.8992,0.9327,0.941,11.1439,4
6,2000,normon_contra_to_soft_muon,NorMuon Contra to Soft,0.22,-1.0,0.28,0.9063,0.93,0.9408,12.2676,4
7,2000,aurora_row_balanced_muon,Aurora row balanced,0.22,0.0,0.22,0.9027,0.9271,0.9401,11.0399,3
18,2000,radial_brake_soft_normon,Radial brake Soft NorMuon,0.22,-1.0,0.28,0.9082,0.9293,0.9395,12.1533,4
10,2000,muown_row_control_muon,Muown row control,0.22,-1.0,0.28,0.9076,0.9323,0.9393,11.1072,4
17,2000,shampoo_muon,Shampoo Muon,0.22,0.0,0.22,0.9004,0.9324,0.9393,55.663,3
16,2000,kl_soap_muon,KL-SOAP Muon,0.22,-1.0,0.28,0.9068,0.9291,0.9385,15.7129,4
14,2000,soap_contra_soft_normon,SOAP Contra Soft NorMuon,0.22,1.0,0.18,0.8999,0.9243,0.9364,17.2906,4
15,2000,sinksoap_normon_muon,SinkSOAP NorMuon,0.22,-1.0,0.28,0.9123,0.9239,0.9364,16.0757,4
19,2000,soda_contra_soft_normon,SODA Contra Soft NorMuon,0.22,0.0,0.22,0.9244,0.9284,0.9361,12.4582,3
12,2000,soap_muon,SOAP Muon,0.22,0.0,0.22,0.9051,0.9248,0.9354,15.7245,3
13,2000,soap_normon_muon,SOAP NorMuon,0.22,0.0,0.22,0.9044,0.924,0.9353,15.8101,3
