search,batch_size,update,k,muon_lr,initial_muon_lr,train25_loss,val_acc,tta_val_acc,time_seconds,selected
0,2000,track3_muon,-1.0,0.28,0.22,0.9068,0.9307,0.9374,11.5723,False
0,2000,track3_muon,0.0,0.22,0.22,0.902,0.9291,0.9396,10.8313,False
0,2000,track3_muon,1.0,0.18,0.22,0.8994,0.933,0.941,10.9031,True
0,2000,track3_muon,2.0,0.14,0.22,0.9022,0.9262,0.936,10.9352,False
1,2000,track3_soft_muon_p01,-1.0,0.28,0.22,0.9096,0.9302,0.9382,11.7152,False
1,2000,track3_soft_muon_p01,0.0,0.22,0.22,0.9033,0.9301,0.9418,11.7362,True
1,2000,track3_soft_muon_p01,1.0,0.18,0.22,0.9008,0.9307,0.9397,11.7376,False
2,2000,track3_contra_muon,-1.0,0.28,0.22,0.908,0.9308,0.9398,11.0908,False
2,2000,track3_contra_muon,0.0,0.22,0.22,0.9024,0.9301,0.9417,11.0987,True
2,2000,track3_contra_muon,1.0,0.18,0.22,0.8993,0.9296,0.9402,11.0961,False
3,2000,track3_contra_to_soft_muon,-2.0,0.34,0.22,0.9138,0.9273,0.937,12.0115,False
3,2000,track3_contra_to_soft_muon,-1.0,0.28,0.22,0.9076,0.9326,0.9411,12.013,True
3,2000,track3_contra_to_soft_muon,0.0,0.22,0.22,0.9008,0.9317,0.9393,12.0137,False
3,2000,track3_contra_to_soft_muon,1.0,0.18,0.22,0.8995,0.9304,0.9391,12.0123,False
4,2000,normon_muon,-1.0,0.28,0.22,0.9058,0.9285,0.939,11.1033,False
4,2000,normon_muon,0.0,0.22,0.22,0.901,0.9317,0.9412,11.0892,True
4,2000,normon_muon,1.0,0.18,0.22,0.8989,0.9295,0.9378,11.091,False
5,2000,normon_soft_muon,-1.0,0.28,0.22,0.9089,0.9301,0.9374,11.9416,False
5,2000,normon_soft_muon,0.0,0.22,0.22,0.9021,0.9307,0.9393,11.9258,False
5,2000,normon_soft_muon,1.0,0.18,0.22,0.8997,0.9294,0.9415,11.9316,True
5,2000,normon_soft_muon,2.0,0.14,0.22,0.9021,0.9291,0.9368,11.9294,False
6,2000,normon_contra_to_soft_muon,-2.0,0.34,0.22,0.9144,0.9305,0.9381,12.27,False
6,2000,normon_contra_to_soft_muon,-1.0,0.28,0.22,0.9063,0.93,0.9408,12.2676,True
6,2000,normon_contra_to_soft_muon,0.0,0.22,0.22,0.9004,0.9317,0.9406,12.2687,False
6,2000,normon_contra_to_soft_muon,1.0,0.18,0.22,0.8988,0.9286,0.9384,12.2783,False
7,2000,aurora_row_balanced_muon,-1.0,0.28,0.22,0.9074,0.9318,0.9387,11.0235,False
7,2000,aurora_row_balanced_muon,0.0,0.22,0.22,0.9027,0.9271,0.9401,11.0399,True
7,2000,aurora_row_balanced_muon,1.0,0.18,0.22,0.9007,0.9336,0.9389,11.0381,False
8,2000,aurora_half_balanced_muon,-1.0,0.28,0.22,0.907,0.93,0.938,11.0338,False
8,2000,aurora_half_balanced_muon,0.0,0.22,0.22,0.9024,0.93,0.9411,11.033,False
8,2000,aurora_half_balanced_muon,1.0,0.18,0.22,0.8996,0.9336,0.9427,11.0391,True
8,2000,aurora_half_balanced_muon,2.0,0.14,0.22,0.9021,0.9284,0.9391,11.0415,False
9,2000,aurora_normon_muon,-1.0,0.28,0.22,0.906,0.9287,0.9385,11.1417,False
9,2000,aurora_normon_muon,0.0,0.22,0.22,0.9011,0.9319,0.9389,11.1452,False
9,2000,aurora_normon_muon,1.0,0.18,0.22,0.8992,0.9327,0.941,11.1439,True
9,2000,aurora_normon_muon,2.0,0.14,0.22,0.9021,0.9267,0.9359,11.1423,False
10,2000,muown_row_control_muon,-2.0,0.34,0.22,0.9143,0.9288,0.9379,11.1195,False
10,2000,muown_row_control_muon,-1.0,0.28,0.22,0.9076,0.9323,0.9393,11.1072,True
10,2000,muown_row_control_muon,0.0,0.22,0.22,0.9022,0.9301,0.938,11.1113,False
10,2000,muown_row_control_muon,1.0,0.18,0.22,0.8996,0.9323,0.9393,11.1055,False
11,2000,muown_normon_muon,-1.0,0.28,0.22,0.9059,0.9279,0.9393,11.2182,False
11,2000,muown_normon_muon,0.0,0.22,0.22,0.9011,0.9292,0.9411,11.2151,True
11,2000,muown_normon_muon,1.0,0.18,0.22,0.8989,0.9283,0.9374,11.2086,False
12,2000,soap_muon,-1.0,0.28,0.22,0.913,0.9223,0.9342,15.7549,False
12,2000,soap_muon,0.0,0.22,0.22,0.9051,0.9248,0.9354,15.7245,True
12,2000,soap_muon,1.0,0.18,0.22,0.9042,0.9231,0.9339,15.6933,False
13,2000,soap_normon_muon,-1.0,0.28,0.22,0.9131,0.924,0.932,15.8091,False
13,2000,soap_normon_muon,0.0,0.22,0.22,0.9044,0.924,0.9353,15.8101,True
13,2000,soap_normon_muon,1.0,0.18,0.22,0.9024,0.9257,0.9353,15.7902,False
14,2000,soap_contra_soft_normon,-1.0,0.28,0.22,0.9106,0.9232,0.9343,17.3137,False
14,2000,soap_contra_soft_normon,0.0,0.22,0.22,0.903,0.9271,0.9363,17.3207,False
14,2000,soap_contra_soft_normon,1.0,0.18,0.22,0.8999,0.9243,0.9364,17.2906,True
14,2000,soap_contra_soft_normon,2.0,0.14,0.22,0.9046,0.9248,0.9342,17.285,False
15,2000,sinksoap_normon_muon,-2.0,0.34,0.22,0.9212,0.919,0.93,16.0836,False
15,2000,sinksoap_normon_muon,-1.0,0.28,0.22,0.9123,0.9239,0.9364,16.0757,True
15,2000,sinksoap_normon_muon,0.0,0.22,0.22,0.905,0.9255,0.9348,16.0815,False
15,2000,sinksoap_normon_muon,1.0,0.18,0.22,0.9026,0.9234,0.9335,16.0706,False
16,2000,kl_soap_muon,-2.0,0.34,0.22,0.9144,0.9258,0.933,15.6909,False
16,2000,kl_soap_muon,-1.0,0.28,0.22,0.9068,0.9291,0.9385,15.7129,True
16,2000,kl_soap_muon,0.0,0.22,0.22,0.9018,0.9295,0.9368,15.6956,False
16,2000,kl_soap_muon,1.0,0.18,0.22,0.8994,0.9279,0.9351,15.6913,False
17,2000,shampoo_muon,-1.0,0.28,0.22,0.9066,0.9306,0.9386,55.6418,False
17,2000,shampoo_muon,0.0,0.22,0.22,0.9004,0.9324,0.9393,55.663,True
17,2000,shampoo_muon,1.0,0.18,0.22,0.8986,0.9295,0.9392,55.5793,False
18,2000,radial_brake_soft_normon,-2.0,0.34,0.22,0.9158,0.9267,0.9368,12.2203,False
18,2000,radial_brake_soft_normon,-1.0,0.28,0.22,0.9082,0.9293,0.9395,12.1533,True
18,2000,radial_brake_soft_normon,0.0,0.22,0.22,0.902,0.9304,0.9366,12.197,False
18,2000,radial_brake_soft_normon,1.0,0.18,0.22,0.8997,0.93,0.9379,12.2019,False
19,2000,soda_contra_soft_normon,-1.0,0.28,0.22,0.9207,0.9277,0.9354,12.4786,False
19,2000,soda_contra_soft_normon,0.0,0.22,0.22,0.9244,0.9284,0.9361,12.4582,True
19,2000,soda_contra_soft_normon,1.0,0.18,0.22,0.9333,0.9246,0.9317,12.453,False
