search,batch_size,update,label,initial_lr,best_k,best_lr,train25_loss,val_acc,tta_val_acc,time_seconds,evaluated_lrs
18,2000,zeropower_via_newtonschulz5_steps4,Newton-Schulz steps=4,0.22,0.0,0.22,0.9022,0.931,0.942,10.5944,3
19,2000,zeropower_double_centered,Newton-Schulz centered,0.22,1.0,0.18,0.9165,0.9215,0.9338,10.6095,4
16,2000,qr_row_orthogonal,QR row orthogonal,0.22,1.0,0.18,0.9102,0.9226,0.9325,12.4005,4
17,2000,zeropower_via_newtonschulz5_steps1,Newton-Schulz steps=1,0.22,-2.0,0.34,0.9838,0.9091,0.9174,10.4532,5
15,2000,row_norm_inv_sqrt_weighted,row inv-sqrt weighted,0.061,-2.0,0.095,0.9828,0.9068,0.9166,10.4724,5
12,2000,factorized_rms_norm,factorized RMS,0.061,0.0,0.061,0.9841,0.9038,0.9163,10.4708,3
3,2000,sinkhorn_columns_first_norm,sinkhorn columns first,0.061,0.0,0.061,0.9831,0.9047,0.9157,10.469,3
2,2000,sinkhorn_rows_first_norm,sinkhorn rows first,0.061,-1.0,0.076,0.9749,0.9029,0.9148,10.4654,3
10,2000,softsign_matrix_norm,softsign,0.061,0.0,0.061,0.9915,0.9022,0.9143,10.4492,3
0,2000,column_norm,column norm,0.061,-1.0,0.076,0.9852,0.9036,0.9138,10.7997,4
7,2000,signed_sqrt_matrix_norm,signed sqrt,0.061,0.0,0.061,0.9933,0.9048,0.9129,10.4269,3
8,2000,signed_cuberoot_matrix_norm,signed cuberoot,0.061,-1.0,0.076,0.9877,0.9005,0.9129,10.4312,4
14,2000,row_norm_sqrt_weighted,row sqrt weighted,0.061,0.0,0.061,0.9983,0.9036,0.9128,10.4612,3
11,2000,tanh_matrix_norm,tanh,0.061,0.0,0.061,0.9918,0.9023,0.9124,10.5074,3
1,2000,column_norm_max,column norm max,0.061,4.0,0.025,0.9857,0.8999,0.9113,10.4007,7
4,2000,row_centered_row_norm,row centered rows,0.061,0.0,0.061,1.0518,0.8935,0.9013,10.4517,3
5,2000,column_centered_column_norm,column centered columns,0.061,1.0,0.049,1.047,0.8908,0.9009,10.46,4
13,2000,inverse_factorized_rms_norm,inverse factorized RMS,0.061,1.0,0.049,1.0623,0.8863,0.8971,10.4824,4
9,2000,signed_square_matrix_norm,signed square,0.061,0.0,0.061,1.0644,0.8848,0.8953,10.4434,3
6,2000,double_centered_matrix_norm,double centered matrix,0.061,2.0,0.039,1.1035,0.878,0.8852,10.4734,5
