search,batch_size,update,k,muon_lr,initial_muon_lr,train25_loss,val_acc,tta_val_acc,time_seconds,selected
0,2000,column_norm,-2.0,0.095,0.061,1.0024,0.9016,0.9092,10.3277,False
0,2000,column_norm,-1.0,0.076,0.061,0.9852,0.9036,0.9138,10.7997,True
0,2000,column_norm,0.0,0.061,0.061,0.9909,0.9061,0.9116,10.2438,False
0,2000,column_norm,1.0,0.049,0.061,1.0057,0.9044,0.9104,10.3,False
1,2000,column_norm_max,-1.0,0.076,0.061,1.1031,0.8608,0.8689,10.3511,False
1,2000,column_norm_max,0.0,0.061,0.061,1.0736,0.8723,0.8828,10.3753,False
1,2000,column_norm_max,1.0,0.049,0.061,1.039,0.8856,0.8962,10.3684,False
1,2000,column_norm_max,2.0,0.039,0.061,1.0057,0.8953,0.9041,10.3821,False
1,2000,column_norm_max,3.0,0.031,0.061,0.9942,0.9012,0.9108,10.3905,False
1,2000,column_norm_max,4.0,0.025,0.061,0.9857,0.8999,0.9113,10.4007,True
1,2000,column_norm_max,5.0,0.02,0.061,0.9961,0.9014,0.9104,10.3988,False
2,2000,sinkhorn_rows_first_norm,-1.0,0.076,0.061,0.9749,0.9029,0.9148,10.4654,True
2,2000,sinkhorn_rows_first_norm,0.0,0.061,0.061,0.9855,0.9026,0.9148,10.4677,False
2,2000,sinkhorn_rows_first_norm,1.0,0.049,0.061,0.9988,0.9018,0.9112,10.4678,False
3,2000,sinkhorn_columns_first_norm,-1.0,0.076,0.061,0.9735,0.9038,0.9156,10.4701,False
3,2000,sinkhorn_columns_first_norm,0.0,0.061,0.061,0.9831,0.9047,0.9157,10.469,True
3,2000,sinkhorn_columns_first_norm,1.0,0.049,0.061,0.9992,0.9006,0.9114,10.4725,False
4,2000,row_centered_row_norm,-1.0,0.076,0.061,1.0756,0.8792,0.8874,10.4456,False
4,2000,row_centered_row_norm,0.0,0.061,0.061,1.0518,0.8935,0.9013,10.4517,True
4,2000,row_centered_row_norm,1.0,0.049,0.061,1.0459,0.8929,0.9013,10.4502,False
5,2000,column_centered_column_norm,-1.0,0.076,0.061,1.0646,0.8813,0.8896,10.4626,False
5,2000,column_centered_column_norm,0.0,0.061,0.061,1.05,0.8904,0.8953,10.4587,False
5,2000,column_centered_column_norm,1.0,0.049,0.061,1.047,0.8908,0.9009,10.46,True
5,2000,column_centered_column_norm,2.0,0.039,0.061,1.0579,0.8835,0.8971,10.4578,False
6,2000,double_centered_matrix_norm,-1.0,0.076,0.061,1.1602,0.8519,0.8579,10.4724,False
6,2000,double_centered_matrix_norm,0.0,0.061,0.061,1.1426,0.859,0.8638,10.4767,False
6,2000,double_centered_matrix_norm,1.0,0.049,0.061,1.1164,0.8702,0.8798,10.4788,False
6,2000,double_centered_matrix_norm,2.0,0.039,0.061,1.1035,0.878,0.8852,10.4734,True
6,2000,double_centered_matrix_norm,3.0,0.031,0.061,1.1108,0.8754,0.8848,10.4663,False
7,2000,signed_sqrt_matrix_norm,-1.0,0.076,0.061,0.9888,0.9,0.9098,10.4233,False
7,2000,signed_sqrt_matrix_norm,0.0,0.061,0.061,0.9933,0.9048,0.9129,10.4269,True
7,2000,signed_sqrt_matrix_norm,1.0,0.049,0.061,1.004,0.9006,0.9124,10.4348,False
8,2000,signed_cuberoot_matrix_norm,-2.0,0.095,0.061,1.0057,0.8946,0.904,10.4302,False
8,2000,signed_cuberoot_matrix_norm,-1.0,0.076,0.061,0.9877,0.9005,0.9129,10.4312,True
8,2000,signed_cuberoot_matrix_norm,0.0,0.061,0.061,0.9923,0.9031,0.9117,10.4338,False
8,2000,signed_cuberoot_matrix_norm,1.0,0.049,0.061,1.005,0.8988,0.9102,10.4322,False
9,2000,signed_square_matrix_norm,-1.0,0.076,0.061,1.0694,0.8826,0.8932,10.43,False
9,2000,signed_square_matrix_norm,0.0,0.061,0.061,1.0644,0.8848,0.8953,10.4434,True
9,2000,signed_square_matrix_norm,1.0,0.049,0.061,1.0727,0.8834,0.8935,10.4389,False
10,2000,softsign_matrix_norm,-1.0,0.076,0.061,0.9858,0.9026,0.9109,10.4467,False
10,2000,softsign_matrix_norm,0.0,0.061,0.061,0.9915,0.9022,0.9143,10.4492,True
10,2000,softsign_matrix_norm,1.0,0.049,0.061,1.0026,0.8971,0.9085,10.4564,False
11,2000,tanh_matrix_norm,-1.0,0.076,0.061,0.9838,0.9021,0.9119,10.4415,False
11,2000,tanh_matrix_norm,0.0,0.061,0.061,0.9918,0.9023,0.9124,10.5074,True
11,2000,tanh_matrix_norm,1.0,0.049,0.061,1.0025,0.8977,0.9072,10.4557,False
12,2000,factorized_rms_norm,-1.0,0.076,0.061,0.9727,0.9034,0.9156,11.1311,False
12,2000,factorized_rms_norm,0.0,0.061,0.061,0.9841,0.9038,0.9163,10.4708,True
12,2000,factorized_rms_norm,1.0,0.049,0.061,1.0009,0.9038,0.9121,10.4838,False
13,2000,inverse_factorized_rms_norm,-1.0,0.076,0.061,1.0801,0.8775,0.8876,10.4798,False
13,2000,inverse_factorized_rms_norm,0.0,0.061,0.061,1.0602,0.8835,0.8962,10.4852,False
13,2000,inverse_factorized_rms_norm,1.0,0.049,0.061,1.0623,0.8863,0.8971,10.4824,True
13,2000,inverse_factorized_rms_norm,2.0,0.039,0.061,1.0771,0.8827,0.8921,10.4826,False
14,2000,row_norm_sqrt_weighted,-1.0,0.076,0.061,0.9958,0.901,0.9107,10.4646,False
14,2000,row_norm_sqrt_weighted,0.0,0.061,0.061,0.9983,0.9036,0.9128,10.4612,True
14,2000,row_norm_sqrt_weighted,1.0,0.049,0.061,1.0068,0.8988,0.909,10.465,False
15,2000,row_norm_inv_sqrt_weighted,-3.0,0.12,0.061,0.9825,0.9051,0.9155,10.4693,False
15,2000,row_norm_inv_sqrt_weighted,-2.0,0.095,0.061,0.9828,0.9068,0.9166,10.4724,True
15,2000,row_norm_inv_sqrt_weighted,-1.0,0.076,0.061,0.9892,0.9033,0.9147,10.4726,False
15,2000,row_norm_inv_sqrt_weighted,0.0,0.061,0.061,1.0029,0.901,0.9135,10.469,False
15,2000,row_norm_inv_sqrt_weighted,1.0,0.049,0.061,1.02,0.893,0.9048,10.4702,False
16,2000,qr_row_orthogonal,-1.0,0.28,0.22,0.9192,0.917,0.9305,12.4036,False
16,2000,qr_row_orthogonal,0.0,0.22,0.22,0.9127,0.9202,0.9321,12.4058,False
16,2000,qr_row_orthogonal,1.0,0.18,0.22,0.9102,0.9226,0.9325,12.4005,True
16,2000,qr_row_orthogonal,2.0,0.14,0.22,0.9164,0.9199,0.9307,12.3853,False
17,2000,zeropower_via_newtonschulz5_steps1,-3.0,0.43,0.22,0.9848,0.9057,0.9168,10.4584,False
17,2000,zeropower_via_newtonschulz5_steps1,-2.0,0.34,0.22,0.9838,0.9091,0.9174,10.4532,True
17,2000,zeropower_via_newtonschulz5_steps1,-1.0,0.28,0.22,0.9921,0.9074,0.917,10.5867,False
17,2000,zeropower_via_newtonschulz5_steps1,0.0,0.22,0.22,1.0071,0.9055,0.9159,10.4605,False
17,2000,zeropower_via_newtonschulz5_steps1,1.0,0.18,0.22,1.0248,0.8984,0.9086,10.4624,False
18,2000,zeropower_via_newtonschulz5_steps4,-1.0,0.28,0.22,0.9064,0.9313,0.9405,10.597,False
18,2000,zeropower_via_newtonschulz5_steps4,0.0,0.22,0.22,0.9022,0.931,0.942,10.5944,True
18,2000,zeropower_via_newtonschulz5_steps4,1.0,0.18,0.22,0.9023,0.9316,0.9384,10.5952,False
19,2000,zeropower_double_centered,-1.0,0.28,0.22,0.9172,0.9245,0.9306,10.6053,False
19,2000,zeropower_double_centered,0.0,0.22,0.22,0.9145,0.9224,0.9335,10.6092,False
19,2000,zeropower_double_centered,1.0,0.18,0.22,0.9165,0.9215,0.9338,10.6095,True
19,2000,zeropower_double_centered,2.0,0.14,0.22,0.9252,0.925,0.9324,10.6053,False
