search,batch_size,update,k,muon_lr,initial_muon_lr,train25_loss,val_acc,tta_val_acc,time_seconds,selected
0,125,row_norm,-1.0,0.05,0.04,0.9379,0.9297,0.938,24.4692,False
0,125,row_norm,-0.5,0.045,0.04,0.9376,0.9276,0.9341,23.5929,False
0,125,row_norm,-0.25,0.042,0.04,0.9346,0.9308,0.9357,21.824,False
0,125,row_norm,0.0,0.04,0.04,0.9347,0.9316,0.9392,24.3989,True
0,125,row_norm,0.25,0.038,0.04,0.9365,0.9308,0.9376,23.5499,False
0,125,row_norm,0.5,0.036,0.04,0.9347,0.9277,0.9349,23.5758,False
0,125,row_norm,1.0,0.032,0.04,0.9373,0.9262,0.9367,23.8931,False
1,125,zeropower_via_newtonschulz5,-3.0,0.078,0.04,0.9397,0.9275,0.9345,21.647,False
1,125,zeropower_via_newtonschulz5,-2.5,0.07,0.04,0.9328,0.9274,0.937,20.7536,False
1,125,zeropower_via_newtonschulz5,-2.25,0.066,0.04,0.9292,0.9314,0.9386,25.0092,False
1,125,zeropower_via_newtonschulz5,-2.0,0.062,0.04,0.9307,0.9284,0.9406,24.4136,True
1,125,zeropower_via_newtonschulz5,-1.75,0.059,0.04,0.9252,0.9317,0.9382,24.8208,False
1,125,zeropower_via_newtonschulz5,-1.5,0.056,0.04,0.9227,0.9336,0.9379,24.4379,False
1,125,zeropower_via_newtonschulz5,-1.0,0.05,0.04,0.9207,0.927,0.9386,23.5727,False
1,125,zeropower_via_newtonschulz5,0.0,0.04,0.04,0.916,0.9296,0.9384,23.9878,False
1,125,zeropower_via_newtonschulz5,1.0,0.032,0.04,0.9184,0.9264,0.936,23.0806,False
2,500,row_norm,-1.0,0.099,0.079,0.9421,0.9238,0.9309,11.0337,False
2,500,row_norm,-0.5,0.088,0.079,0.9377,0.9291,0.935,11.0415,False
2,500,row_norm,-0.25,0.084,0.079,0.9355,0.9267,0.9387,11.0634,True
2,500,row_norm,0.0,0.079,0.079,0.9333,0.9296,0.9361,11.002,False
2,500,row_norm,0.25,0.075,0.079,0.9325,0.9275,0.9338,11.0664,False
2,500,row_norm,0.5,0.071,0.079,0.9325,0.9277,0.9355,11.0514,False
2,500,row_norm,1.0,0.063,0.079,0.933,0.9254,0.934,11.0319,False
3,500,zeropower_via_newtonschulz5,-2.0,0.12,0.079,0.9142,0.9286,0.9387,11.5503,False
3,500,zeropower_via_newtonschulz5,-1.5,0.11,0.079,0.9112,0.9301,0.9384,11.5471,False
3,500,zeropower_via_newtonschulz5,-1.25,0.1,0.079,0.9099,0.9281,0.9396,11.5479,False
3,500,zeropower_via_newtonschulz5,-1.0,0.099,0.079,0.9099,0.9317,0.9404,11.5526,True
3,500,zeropower_via_newtonschulz5,-0.75,0.093,0.079,0.9071,0.931,0.9387,11.5662,False
3,500,zeropower_via_newtonschulz5,-0.5,0.088,0.079,0.9069,0.9268,0.9375,11.5553,False
3,500,zeropower_via_newtonschulz5,0.0,0.079,0.079,0.9079,0.9302,0.9374,11.557,False
3,500,zeropower_via_newtonschulz5,1.0,0.063,0.079,0.9101,0.928,0.9354,11.5669,False
4,2000,row_norm,-1.0,0.12,0.095,1.0346,0.8871,0.8962,10.3741,False
4,2000,row_norm,0.0,0.095,0.095,0.9979,0.8981,0.9087,10.3736,False
4,2000,row_norm,1.0,0.076,0.095,0.9873,0.9031,0.9109,10.3707,False
4,2000,row_norm,1.5,0.068,0.095,0.9883,0.9038,0.9127,10.3694,False
4,2000,row_norm,1.75,0.064,0.095,0.9924,0.901,0.9137,10.3763,False
4,2000,row_norm,2.0,0.061,0.095,0.9918,0.902,0.9151,10.3708,True
4,2000,row_norm,2.25,0.058,0.095,0.9947,0.9029,0.9123,10.3777,False
4,2000,row_norm,2.5,0.054,0.095,0.998,0.9007,0.9119,10.3737,False
4,2000,row_norm,3.0,0.049,0.095,1.006,0.899,0.9107,10.3899,False
5,2000,zeropower_via_newtonschulz5,-2.0,0.3,0.19,0.9061,0.9284,0.9364,10.5165,False
5,2000,zeropower_via_newtonschulz5,-1.5,0.27,0.19,0.9034,0.9298,0.9369,10.514,False
5,2000,zeropower_via_newtonschulz5,-1.0,0.24,0.19,0.9004,0.931,0.9387,10.5145,False
5,2000,zeropower_via_newtonschulz5,-0.75,0.22,0.19,0.8994,0.931,0.9409,10.5168,True
5,2000,zeropower_via_newtonschulz5,-0.5,0.21,0.19,0.8989,0.9303,0.94,10.5148,False
5,2000,zeropower_via_newtonschulz5,-0.25,0.2,0.19,0.8991,0.9284,0.939,10.5139,False
5,2000,zeropower_via_newtonschulz5,0.0,0.19,0.19,0.8986,0.9304,0.9379,10.5154,False
5,2000,zeropower_via_newtonschulz5,1.0,0.15,0.19,0.9013,0.9298,0.9383,10.5142,False
