# percentile = weighted fraction of best-lr count mass with lr <= target
# percentile values are fractions in [0, 1]
# run = cifar_line_search9_bs500.log
  step         gt_lr      gt_lr_x2       log_pct    log_x2_pct   log_count
     0         0.079         0.158         0.176         0.718         500
     1    0.07890125     0.1578025          0.09         0.606         500
     2     0.0788025      0.157605         0.176         0.584         500
     3    0.07870375     0.1574075         0.208         0.628         500
     4      0.078605       0.15721         0.118         0.614         500
     5    0.07850625     0.1570125         0.154         0.674         500
     6     0.0784075      0.156815         0.222         0.754         500
     7    0.07830875     0.1566175         0.254         0.704         500
     8       0.07821       0.15642         0.374         0.792         500
     9    0.07811125     0.1562225         0.402         0.732         500
    10     0.0780125      0.156025         0.296         0.756         500
    11    0.07791375     0.1558275         0.294          0.76         500
    12      0.077815       0.15563         0.332         0.766         500
    13    0.07771625     0.1554325         0.386          0.78         500
    14     0.0776175      0.155235          0.45         0.848         500
    15    0.07751875     0.1550375         0.384         0.806         500
    16       0.07742       0.15484          0.23         0.696         500
    17    0.07732125     0.1546425          0.35         0.796         500
    18     0.0772225      0.154445         0.366         0.754         500
    19    0.07712375     0.1542475         0.378         0.788         500
    20      0.077025       0.15405         0.334         0.758         500
    21    0.07692625     0.1538525         0.376          0.82         500
    22     0.0768275      0.153655          0.32          0.77         500
    23    0.07672875     0.1534575         0.372         0.668         500
    24       0.07663       0.15326         0.254         0.622         500
    25    0.07653125     0.1530625         0.348         0.682         500
    26     0.0764325      0.152865         0.316         0.652         500
    27    0.07633375     0.1526675         0.358         0.674         500
    28      0.076235       0.15247         0.366         0.644         500
    29    0.07613625     0.1522725         0.296         0.628         500
    30     0.0760375      0.152075         0.264         0.584         500
    31    0.07593875     0.1518775         0.266         0.592         500
    32       0.07584       0.15168         0.322         0.624         500
    33    0.07574125     0.1514825         0.338         0.666         500
    34     0.0756425      0.151285         0.326         0.668         500
    35    0.07554375     0.1510875          0.28         0.612         500
    36      0.075445       0.15089           0.3         0.612         500
    37    0.07534625     0.1506925         0.268         0.638         500
    38     0.0752475      0.150495         0.304         0.624         500
    39    0.07514875     0.1502975         0.246         0.574         500
    40       0.07505        0.1501         0.304         0.618         500
    41    0.07495125     0.1499025         0.298         0.666         500
    42     0.0748525      0.149705         0.334         0.692         500
    43    0.07475375     0.1495075         0.284         0.638         500
    44      0.074655       0.14931         0.316         0.676         500
    45    0.07455625     0.1491125         0.366         0.708         500
    46     0.0744575      0.148915         0.248         0.556         500
    47    0.07435875     0.1487175         0.248         0.598         500
    48       0.07426       0.14852           0.3         0.638         500
    49    0.07416125     0.1483225         0.264         0.584         500
    50     0.0740625      0.148125         0.328         0.628         500
    51    0.07396375     0.1479275         0.238         0.568         500
    52      0.073865       0.14773         0.258         0.564         500
    53    0.07376625     0.1475325         0.266         0.568         500
    54     0.0736675      0.147335         0.292         0.604         500
    55    0.07356875     0.1471375         0.336          0.59         500
    56       0.07347       0.14694         0.286         0.582         500
    57    0.07337125     0.1467425         0.324         0.626         500
    58     0.0732725      0.146545         0.282         0.622         500
    59    0.07317375     0.1463475         0.262         0.584         500
    60      0.073075       0.14615         0.296         0.646         500
    61    0.07297625     0.1459525         0.292          0.61         500
    62     0.0728775      0.145755          0.32         0.602         500
    63    0.07277875     0.1455575         0.294         0.602         500
    64       0.07268       0.14536         0.308         0.646         500
    65    0.07258125     0.1451625          0.27         0.602         500
    66     0.0724825      0.144965         0.242          0.61         500
    67    0.07238375     0.1447675         0.256          0.59         500
    68      0.072285       0.14457          0.27         0.642         500
    69    0.07218625     0.1443725         0.302         0.638         500
    70     0.0720875      0.144175          0.27         0.528         500
    71    0.07198875     0.1439775          0.32          0.65         500
    72       0.07189       0.14378          0.29         0.602         500
    73    0.07179125     0.1435825         0.282          0.63         500
    74     0.0716925      0.143385         0.324         0.666         500
    75    0.07159375     0.1431875         0.238         0.556         500
    76      0.071495       0.14299         0.288         0.606         500
    77    0.07139625     0.1427925           0.3         0.628         500
    78     0.0712975      0.142595         0.308         0.624         500
    79    0.07119875     0.1423975         0.236           0.6         500
    80        0.0711        0.1422         0.294          0.62         500
    81    0.07100125     0.1420025          0.36         0.688         500
    82     0.0709025      0.141805         0.262         0.632         500
    83    0.07080375     0.1416075         0.258         0.598         500
    84      0.070705       0.14141         0.286         0.634         500
    85    0.07060625     0.1412125         0.288         0.606         500
    86     0.0705075      0.141015         0.316         0.652         500
    87    0.07040875     0.1408175         0.316         0.646         500
    88       0.07031       0.14062         0.322         0.644         500
    89    0.07021125     0.1404225         0.366         0.666         500
    90     0.0701125      0.140225         0.324          0.61         500
    91    0.07001375     0.1400275         0.334          0.61         500
    92      0.069915       0.13983         0.374         0.678         500
    93    0.06981625     0.1396325         0.364          0.68         500
    94     0.0697175      0.139435         0.372         0.672         500
    95    0.06961875     0.1392375         0.404         0.694         500
    96       0.06952       0.13904         0.292         0.584         500
    97    0.06942125     0.1388425         0.364         0.648         500
    98     0.0693225      0.138645         0.332         0.612         500
    99    0.06922375     0.1384475         0.316         0.606         500
   100      0.069125       0.13825          0.24         0.564         500
   101    0.06902625     0.1380525         0.312         0.622         500
   102     0.0689275      0.137855         0.326         0.632         500
   103    0.06882875     0.1376575         0.376         0.656         500
   104       0.06873       0.13746         0.326         0.594         500
   105    0.06863125     0.1372625         0.276          0.58         500
   106     0.0685325      0.137065          0.33         0.644         500
   107    0.06843375     0.1368675         0.336         0.642         500
   108      0.068335       0.13667         0.314         0.618         500
   109    0.06823625     0.1364725         0.336         0.672         500
   110     0.0681375      0.136275         0.338         0.636         500
   111    0.06803875     0.1360775         0.354         0.652         500
   112       0.06794       0.13588         0.296         0.624         500
   113    0.06784125     0.1356825         0.392         0.686         500
   114     0.0677425      0.135485          0.35         0.682         500
   115    0.06764375     0.1352875         0.334         0.642         500
   116      0.067545       0.13509         0.394         0.688         500
   117    0.06744625     0.1348925         0.388         0.698         500
   118     0.0673475      0.134695          0.35         0.672         500
   119    0.06724875     0.1344975          0.41         0.664         500
   120       0.06715        0.1343         0.366         0.668         500
   121    0.06705125     0.1341025         0.356         0.674         500
   122     0.0669525      0.133905         0.292         0.592         500
   123    0.06685375     0.1337075          0.36         0.668         500
   124      0.066755       0.13351         0.358         0.662         500
   125    0.06665625     0.1333125          0.43         0.722         500
   126     0.0665575      0.133115         0.286         0.574         500
   127    0.06645875     0.1329175         0.348         0.684         500
   128       0.06636       0.13272          0.35         0.658         500
   129    0.06626125     0.1325225         0.354         0.654         500
   130     0.0661625      0.132325         0.336         0.664         500
   131    0.06606375     0.1321275         0.366         0.688         500
   132      0.065965       0.13193         0.364         0.652         500
   133    0.06586625     0.1317325         0.346          0.66         500
   134     0.0657675      0.131535          0.38         0.696         500
   135    0.06566875     0.1313375         0.376         0.704         500
   136       0.06557       0.13114         0.362         0.682         500
   137    0.06547125     0.1309425         0.368         0.672         500
   138     0.0653725      0.130745         0.382         0.716         500
   139    0.06527375     0.1305475         0.356         0.632         500
   140      0.065175       0.13035         0.384         0.686         500
   141    0.06507625     0.1301525         0.344         0.644         500
   142     0.0649775      0.129955         0.322         0.666         500
   143    0.06487875     0.1297575         0.316         0.628         500
   144       0.06478       0.12956         0.348         0.706         500
   145    0.06468125     0.1293625         0.358          0.72         500
   146     0.0645825      0.129165         0.442         0.744         500
   147    0.06448375     0.1289675          0.32         0.688         500
   148      0.064385       0.12877         0.356          0.63         500
   149    0.06428625     0.1285725         0.364         0.728         500
   150     0.0641875      0.128375         0.306         0.648         500
   151    0.06408875     0.1281775          0.38         0.682         500
   152       0.06399       0.12798         0.384         0.704         500
   153    0.06389125     0.1277825         0.358         0.652         500
   154     0.0637925      0.127585         0.448         0.718         500
   155    0.06369375     0.1273875          0.35         0.688         500
   156      0.063595       0.12719         0.376         0.706         500
   157    0.06349625     0.1269925         0.372          0.67         500
   158     0.0633975      0.126795         0.412         0.702         500
   159    0.06329875     0.1265975          0.36          0.71         500
   160        0.0632        0.1264         0.374         0.678         500
   161    0.06310125     0.1262025         0.382         0.714         500
   162     0.0630025      0.126005         0.392         0.698         500
   163    0.06290375     0.1258075         0.216         0.646         500
   164      0.062805       0.12561         0.266         0.732         500
   165    0.06270625     0.1254125         0.284         0.722         500
   166     0.0626075      0.125215         0.254         0.654         500
   167    0.06250875     0.1250175         0.282          0.68         500
   168       0.06241       0.12482         0.288         0.722         500
   169    0.06231125     0.1246225          0.28         0.722         500
   170     0.0622125      0.124425         0.302         0.672         500
   171    0.06211375     0.1242275          0.28         0.686         500
   172      0.062015       0.12403         0.304         0.718         500
   173    0.06191625     0.1238325         0.332         0.744         500
   174     0.0618175      0.123635         0.278         0.738         500
   175    0.06171875     0.1234375         0.296          0.69         500
   176       0.06162       0.12324         0.288         0.734         500
   177    0.06152125     0.1230425         0.326         0.718         500
   178     0.0614225      0.122845         0.308         0.674         500
   179    0.06132375     0.1226475          0.28          0.61         500
   180      0.061225       0.12245         0.312         0.642         500
   181    0.06112625     0.1222525         0.292         0.588         500
   182     0.0610275      0.122055          0.28          0.64         500
   183    0.06092875     0.1218575          0.32          0.61         500
   184       0.06083       0.12166          0.29         0.604         500
   185    0.06073125     0.1214625         0.308         0.618         500
   186     0.0606325      0.121265         0.336         0.638         500
   187    0.06053375     0.1210675         0.302         0.632         500
   188      0.060435       0.12087           0.3         0.606         500
   189    0.06033625     0.1206725         0.312         0.612         500
   190     0.0602375      0.120475         0.266         0.642         500
   191    0.06013875     0.1202775         0.296         0.618         500
   192       0.06004       0.12008           0.3         0.626         500
   193    0.05994125     0.1198825         0.294         0.612         500
   194     0.0598425      0.119685         0.272          0.55         500
   195    0.05974375     0.1194875         0.312         0.664         500
   196      0.059645       0.11929         0.286         0.616         500
   197    0.05954625     0.1190925         0.254         0.576         500
   198     0.0594475      0.118895         0.272         0.538         500
   199    0.05934875     0.1186975          0.28         0.594         500
   200       0.05925        0.1185         0.334         0.656         500
   201    0.05915125     0.1183025          0.31         0.642         500
   202     0.0590525      0.118105         0.322         0.656         500
   203    0.05895375     0.1179075         0.274         0.654         500
   204      0.058855       0.11771         0.254         0.626         500
   205    0.05875625     0.1175125         0.292         0.634         500
   206     0.0586575      0.117315         0.328         0.636         500
   207    0.05855875     0.1171175         0.334          0.68         500
   208       0.05846       0.11692         0.264         0.626         500
   209    0.05836125     0.1167225         0.352         0.706         500
   210     0.0582625      0.116525         0.338         0.688         500
   211    0.05816375     0.1163275         0.294         0.642         500
   212      0.058065       0.11613          0.33         0.638         500
   213    0.05796625     0.1159325         0.266         0.662         500
   214     0.0578675      0.115735          0.33          0.67         500
   215    0.05776875     0.1155375          0.31          0.69         500
   216       0.05767       0.11534         0.332         0.658         500
   217    0.05757125     0.1151425         0.278         0.646         500
   218     0.0574725      0.114945         0.346           0.7         500
   219    0.05737375     0.1147475         0.348         0.668         500
   220      0.057275       0.11455          0.27         0.616         500
   221    0.05717625     0.1143525         0.306         0.652         500
   222     0.0570775      0.114155         0.268          0.63         500
   223    0.05697875     0.1139575          0.36          0.69         500
   224       0.05688       0.11376         0.324         0.658         500
   225    0.05678125     0.1135625          0.34         0.644         500
   226     0.0566825      0.113365         0.304         0.642         500
   227    0.05658375     0.1131675          0.32         0.666         500
   228      0.056485       0.11297         0.312         0.622         500
   229    0.05638625     0.1127725         0.336         0.666         500
   230     0.0562875      0.112575         0.318          0.67         500
   231    0.05618875     0.1123775          0.36         0.682         500
   232       0.05609       0.11218         0.402         0.698         500
   233    0.05599125     0.1119825         0.398         0.752         500
   234     0.0558925      0.111785         0.364         0.708         500
   235    0.05579375     0.1115875         0.316         0.602         500
   236      0.055695       0.11139         0.388         0.658         500
   237    0.05559625     0.1111925         0.386         0.704         500
   238     0.0554975      0.110995         0.354         0.658         500
   239    0.05539875     0.1107975         0.352         0.636         500
   240        0.0553        0.1106         0.334          0.63         500
   241    0.05520125     0.1104025         0.382          0.72         500
   242     0.0551025      0.110205         0.378          0.68         500
   243    0.05500375     0.1100075         0.376         0.686         500
   244      0.054905       0.10981         0.416          0.72         500
   245    0.05480625     0.1096125          0.34          0.67         500
   246     0.0547075      0.109415          0.31          0.65         500
   247    0.05460875     0.1092175         0.338          0.67         500
   248       0.05451       0.10902         0.386         0.738         500
   249    0.05441125     0.1088225         0.372         0.684         500
   250     0.0543125      0.108625          0.35          0.71         500
   251    0.05421375     0.1084275          0.33          0.64         500
   252      0.054115       0.10823         0.362         0.652         500
   253    0.05401625     0.1080325          0.36          0.71         500
   254     0.0539175      0.107835         0.362         0.662         500
   255    0.05381875     0.1076375           0.4          0.75         500
   256       0.05372       0.10744         0.424         0.698         500
   257    0.05362125     0.1072425         0.326         0.658         500
   258     0.0535225      0.107045         0.368           0.7         500
   259    0.05342375     0.1068475         0.384         0.666         500
   260      0.053325       0.10665         0.372         0.684         500
   261    0.05322625     0.1064525         0.354         0.688         500
   262     0.0531275      0.106255         0.338         0.642         500
   263    0.05302875     0.1060575         0.378         0.702         500
   264       0.05293       0.10586         0.378         0.736         500
   265    0.05283125     0.1056625         0.348         0.724         500
   266     0.0527325      0.105465         0.312          0.65         500
   267    0.05263375     0.1052675         0.348         0.702         500
   268      0.052535       0.10507         0.376         0.706         500
   269    0.05243625     0.1048725         0.358           0.7         500
   270     0.0523375      0.104675         0.366         0.666         500
   271    0.05223875     0.1044775         0.386         0.698         500
   272       0.05214       0.10428          0.31         0.662         500
   273    0.05204125     0.1040825         0.342         0.696         500
   274     0.0519425      0.103885           0.4         0.736         500
   275    0.05184375     0.1036875         0.398         0.714         500
   276      0.051745       0.10349         0.366         0.676         500
   277    0.05164625     0.1032925         0.414         0.704         500
   278     0.0515475      0.103095         0.396         0.692         500
   279    0.05144875     0.1028975          0.39         0.722         500
   280       0.05135        0.1027         0.322         0.654         500
   281    0.05125125     0.1025025         0.402         0.726         500
   282     0.0511525      0.102305         0.326         0.656         500
   283    0.05105375     0.1021075         0.342         0.656         500
   284      0.050955       0.10191         0.384         0.714         500
   285    0.05085625     0.1017125         0.366         0.692         500
   286     0.0507575      0.101515         0.378         0.668         500
   287    0.05065875     0.1013175         0.412          0.73         500
   288       0.05056       0.10112         0.418         0.722         500
   289    0.05046125     0.1009225         0.332         0.654         500
   290     0.0503625      0.100725          0.37         0.674         500
   291    0.05026375     0.1005275          0.28         0.712         500
   292      0.050165       0.10033         0.242         0.706         500
   293    0.05006625     0.1001325         0.276         0.784         500
   294     0.0499675      0.099935         0.272         0.716         500
   295    0.04986875     0.0997375          0.29         0.706         500
   296       0.04977       0.09954         0.252         0.648         500
   297    0.04967125     0.0993425         0.244          0.69         500
   298     0.0495725      0.099145         0.256           0.7         500
   299    0.04947375     0.0989475         0.272         0.686         500
   300      0.049375       0.09875          0.25         0.726         500
   301    0.04927625     0.0985525         0.344         0.762         500
   302     0.0491775      0.098355         0.254         0.732         500
   303    0.04907875     0.0981575          0.31         0.646         500
   304       0.04898       0.09796          0.32         0.644         500
   305    0.04888125     0.0977625          0.31          0.65         500
   306     0.0487825      0.097565         0.304         0.662         500
   307    0.04868375     0.0973675         0.298         0.618         500
   308      0.048585       0.09717         0.306         0.612         500
   309    0.04848625     0.0969725          0.27         0.612         500
   310     0.0483875      0.096775         0.318         0.622         500
   311    0.04828875     0.0965775         0.318         0.678         500
   312       0.04819       0.09638         0.346         0.628         500
   313    0.04809125     0.0961825          0.29         0.664         500
   314     0.0479925      0.095985          0.31         0.654         500
   315    0.04789375     0.0957875         0.288         0.646         500
   316      0.047795       0.09559         0.332         0.676         500
   317    0.04769625     0.0953925         0.284         0.646         500
   318     0.0475975      0.095195         0.274         0.648         500
   319    0.04749875     0.0949975         0.296         0.632         500
   320        0.0474        0.0948         0.358          0.68         500
   321    0.04730125     0.0946025         0.292         0.674         500
   322     0.0472025      0.094405         0.282         0.634         500
   323    0.04710375     0.0942075         0.312         0.674         500
   324      0.047005       0.09401         0.304         0.636         500
   325    0.04690625     0.0938125         0.348         0.688         500
   326     0.0468075      0.093615          0.27         0.616         500
   327    0.04670875     0.0934175         0.248         0.634         500
   328       0.04661       0.09322          0.29          0.64         500
   329    0.04651125     0.0930225         0.316          0.65         500
   330     0.0464125      0.092825         0.356         0.672         500
   331    0.04631375     0.0926275         0.318          0.67         500
   332      0.046215       0.09243         0.344         0.678         500
   333    0.04611625     0.0922325         0.328         0.692         500
   334     0.0460175      0.092035         0.296          0.68         500
   335    0.04591875     0.0918375         0.326         0.662         500
   336       0.04582       0.09164         0.284         0.684         500
   337    0.04572125     0.0914425         0.278         0.642         500
   338     0.0456225      0.091245          0.27          0.66         500
   339    0.04552375     0.0910475         0.312          0.68         500
   340      0.045425       0.09085         0.298          0.69         500
   341    0.04532625     0.0906525         0.298          0.68         500
   342     0.0452275      0.090455          0.32         0.664         500
   343    0.04512875     0.0902575         0.322          0.64         500
   344       0.04503       0.09006         0.302         0.652         500
   345    0.04493125     0.0898625         0.306         0.636         500
   346     0.0448325      0.089665         0.298          0.63         500
   347    0.04473375     0.0894675         0.368         0.706         500
   348      0.044635       0.08927         0.324         0.684         500
   349    0.04453625     0.0890725         0.394         0.698         500
   350     0.0444375      0.088875         0.346          0.67         500
   351    0.04433875     0.0886775         0.352         0.684         500
   352       0.04424       0.08848         0.292         0.624         500
   353    0.04414125     0.0882825          0.38         0.682         500
   354     0.0440425      0.088085         0.362         0.684         500
   355    0.04394375     0.0878875         0.358         0.694         500
   356      0.043845       0.08769         0.382         0.698         500
   357    0.04374625     0.0874925         0.356         0.662         500
   358     0.0436475      0.087295         0.356         0.656         500
   359    0.04354875     0.0870975         0.298         0.662         500
   360       0.04345        0.0869         0.362         0.662         500
   361    0.04335125     0.0867025         0.412         0.686         500
   362     0.0432525      0.086505         0.432           0.7         500
   363    0.04315375     0.0863075         0.338         0.668         500
   364      0.043055       0.08611         0.358         0.694         500
   365    0.04295625     0.0859125         0.396         0.708         500
   366     0.0428575      0.085715         0.366          0.66         500
   367    0.04275875     0.0855175          0.33         0.626         500
   368       0.04266       0.08532         0.376         0.652         500
   369    0.04256125     0.0851225         0.362         0.696         500
   370     0.0424625      0.084925         0.364         0.664         500
   371    0.04236375     0.0847275         0.382           0.7         500
   372      0.042265       0.08453         0.318          0.65         500
   373    0.04216625     0.0843325         0.392          0.68         500
   374     0.0420675      0.084135         0.304         0.688         500
   375    0.04196875     0.0839375         0.358         0.662         500
   376       0.04187       0.08374         0.328         0.644         500
   377    0.04177125     0.0835425          0.38         0.678         500
   378     0.0416725      0.083345           0.3         0.634         500
   379    0.04157375     0.0831475         0.326         0.616         500
   380      0.041475       0.08295          0.34         0.678         500
   381    0.04137625     0.0827525         0.392           0.7         500
   382     0.0412775      0.082555         0.334         0.664         500
   383    0.04117875     0.0823575         0.328         0.696         500
   384       0.04108       0.08216          0.41         0.744         500
   385    0.04098125     0.0819625         0.352         0.694         500
   386     0.0408825      0.081765         0.416         0.742         500
   387    0.04078375     0.0815675         0.332          0.66         500
   388      0.040685       0.08137         0.386         0.658         500
   389    0.04058625     0.0811725          0.33         0.668         500
   390     0.0404875      0.080975         0.342         0.666         500
   391    0.04038875     0.0807775         0.342         0.698         500
   392       0.04029       0.08058         0.308          0.66         500
   393    0.04019125     0.0803825         0.248         0.662         500
   394     0.0400925      0.080185         0.238         0.714         500
   395    0.03999375     0.0799875         0.238         0.646         500
   396      0.039895       0.07979         0.294         0.708         500
   397    0.03979625     0.0795925         0.232         0.686         500
   398     0.0396975      0.079395           0.3         0.728         500
   399    0.03959875     0.0791975         0.276          0.71         500
   400        0.0395         0.079         0.232         0.708         500
   401    0.03940125     0.0788025         0.276         0.744         500
   402     0.0393025      0.078605         0.314         0.636         500
   403    0.03920375     0.0784075         0.326         0.602         500
   404      0.039105       0.07821         0.292         0.642         500
   405    0.03900625     0.0780125         0.252         0.618         500
   406     0.0389075      0.077815         0.288         0.582         500
   407    0.03880875     0.0776175           0.3          0.62         500
   408       0.03871       0.07742         0.274         0.622         500
   409    0.03861125     0.0772225         0.252          0.61         500
   410     0.0385125      0.077025         0.288          0.64         500
   411    0.03841375     0.0768275          0.26         0.628         500
   412      0.038315       0.07663         0.242         0.596         500
   413    0.03821625     0.0764325         0.278         0.626         500
   414     0.0381175      0.076235         0.262         0.632         500
   415    0.03801875     0.0760375         0.244         0.558         500
   416       0.03792       0.07584         0.298         0.648         500
   417    0.03782125     0.0756425         0.308         0.658         500
   418     0.0377225      0.075445         0.304         0.614         500
   419    0.03762375     0.0752475         0.312         0.644         500
   420      0.037525       0.07505         0.336         0.672         500
   421    0.03742625     0.0748525         0.284          0.64         500
   422     0.0373275      0.074655         0.252         0.646         500
   423    0.03722875     0.0744575         0.268          0.65         500
   424       0.03713       0.07426         0.316         0.604         500
   425    0.03703125     0.0740625         0.296           0.6         500
   426     0.0369325      0.073865         0.294         0.662         500
   427    0.03683375     0.0736675         0.272         0.618         500
   428      0.036735       0.07347         0.286          0.65         500
   429    0.03663625     0.0732725         0.232         0.626         500
   430     0.0365375      0.073075         0.258         0.616         500
   431    0.03643875     0.0728775          0.24         0.662         500
   432       0.03634       0.07268          0.28         0.662         500
   433    0.03624125     0.0724825         0.226         0.596         500
   434     0.0361425      0.072285         0.254          0.63         500
   435    0.03604375     0.0720875         0.222         0.628         500
   436      0.035945       0.07189         0.326         0.624         500
   437    0.03584625     0.0716925         0.308         0.606         500
   438     0.0357475      0.071495         0.334         0.644         500
   439    0.03564875     0.0712975         0.356          0.68         500
   440       0.03555        0.0711          0.35         0.674         500
   441    0.03545125     0.0709025         0.272          0.64         500
   442     0.0353525      0.070705         0.334         0.652         500
   443    0.03525375     0.0705075         0.332         0.654         500
   444      0.035155       0.07031          0.35         0.678         500
   445    0.03505625     0.0701125          0.35         0.656         500
   446     0.0349575      0.069915         0.272         0.586         500
   447    0.03485875     0.0697175         0.286         0.574         500
   448       0.03476       0.06952         0.358         0.692         500
   449    0.03466125     0.0693225         0.318         0.646         500
   450     0.0345625      0.069125         0.316         0.614         500
   451    0.03446375     0.0689275         0.332         0.626         500
   452      0.034365       0.06873         0.358          0.66         500
   453    0.03426625     0.0685325         0.304         0.664         500
   454     0.0341675      0.068335           0.3          0.64         500
