# percentile = weighted fraction of best-lr count mass with lr <= target
# percentile values are fractions in [0, 1]
# run = cifar_line_search9_exp3_high_lr.log
  step         gt_lr      gt_lr_x2       log_pct    log_x2_pct   log_count
     0             1             2         0.793         0.814        2000
     1         0.995          1.99        0.7705         0.821        2000
     2          0.99          1.98        0.6515        0.7525        2000
     3         0.985          1.97         0.762         0.872        2000
     4          0.98          1.96        0.8065        0.8735        2000
     5         0.975          1.95         0.768         0.853        2000
     6          0.97          1.94         0.717        0.7935        2000
     7         0.965          1.93         0.666        0.8275        2000
     8          0.96          1.92        0.7525        0.8405        2000
     9         0.955          1.91        0.7585         0.844        2000
    10          0.95           1.9         0.805        0.8865        2000
    11         0.945          1.89         0.754        0.8495        2000
    12          0.94          1.88        0.7625         0.838        2000
    13         0.935          1.87          0.72        0.8155        2000
    14          0.93          1.86        0.7465        0.8425        2000
    15         0.925          1.85         0.812         0.878        2000
    16          0.92          1.84        0.7895        0.8555        2000
    17         0.915          1.83         0.682          0.82        2000
    18          0.91          1.82         0.734        0.8755        2000
    19         0.905          1.81        0.7305        0.8295        2000
    20           0.9           1.8        0.7035        0.8545        2000
    21         0.895          1.79        0.7305        0.8665        2000
    22          0.89          1.78         0.782         0.869        2000
    23         0.885          1.77        0.7325        0.8635        2000
    24          0.88          1.76         0.729         0.857        2000
    25         0.875          1.75        0.7875        0.8785        2000
    26          0.87          1.74        0.7615         0.892        2000
    27         0.865          1.73        0.7645         0.851        2000
    28          0.86          1.72        0.7815        0.8655        2000
    29         0.855          1.71         0.779         0.866        2000
    30          0.85           1.7        0.7875        0.9025        2000
    31         0.845          1.69        0.7455         0.855        2000
    32          0.84          1.68        0.7985         0.913        2000
    33         0.835          1.67         0.784        0.8785        2000
    34          0.83          1.66         0.765        0.8675        2000
    35         0.825          1.65        0.7995         0.884        2000
    36          0.82          1.64        0.7625         0.887        2000
    37         0.815          1.63         0.759         0.854        2000
    38          0.81          1.62        0.7975        0.8775        2000
    39         0.805          1.61        0.8175         0.902        2000
    40           0.8           1.6         0.788        0.8835        2000
    41         0.795          1.59        0.7955        0.8795        2000
