# percentile = weighted fraction of best-lr count mass with lr <= target
# percentile values are fractions in [0, 1]
# run = llm_line_search9.log
  step         gt_lr      gt_lr_x2       log_pct    log_x2_pct   log_count
     0          0.06          0.12   0.037117004   0.041297913      131072
     1          0.06          0.12    0.25508118    0.32228088      131072
     2          0.06          0.12    0.32459259    0.42457581      131072
     3          0.06          0.12    0.66843414    0.74491882      131072
     4          0.06          0.12    0.42266083    0.50421906      131072
     5          0.06          0.12    0.44087219    0.50305939      131072
     6          0.06          0.12    0.43416595     0.4875412      131072
     7          0.06          0.12    0.38820648    0.43117523      131072
     8          0.06          0.12    0.40333557    0.44272614      131072
     9          0.06          0.12    0.38955688    0.43212128      131072
    10          0.06          0.12    0.39300537    0.43569183      131072
    11          0.06          0.12    0.39693451    0.43402863      131072
    12          0.06          0.12    0.40554047    0.45626831      131072
    13          0.06          0.12    0.47214508    0.52890015      131072
    14          0.06          0.12    0.45519257     0.5220871      131072
    15          0.06          0.12    0.47736359    0.53760529      131072
    16          0.06          0.12    0.41415405    0.45736694      131072
    17          0.06          0.12     0.4145813    0.45530701      131072
    18          0.06          0.12    0.45917511    0.52406311      131072
    19          0.06          0.12    0.43589783    0.49864197      131072
    20          0.06          0.12    0.46984863    0.53194427      131072
    21          0.06          0.12    0.41170502    0.46995544      131072
    22          0.06          0.12    0.45011139    0.50226593      131072
    23          0.06          0.12    0.43026733     0.4923172      131072
    24          0.06          0.12     0.4421463    0.50321198      131072
    25          0.06          0.12    0.41059875    0.46947479      131072
    26          0.06          0.12    0.39196014     0.4447937      131072
    27          0.06          0.12    0.39031219    0.45449829      131072
    28          0.06          0.12    0.39907074    0.46431732      131072
    29          0.06          0.12     0.4331131    0.49726105      131072
    30          0.06          0.12    0.44850159    0.52040863      131072
    31          0.06          0.12    0.39556122    0.45373535      131072
    32          0.06          0.12    0.45343781     0.5274353      131072
    33          0.06          0.12    0.44231415    0.50049591      131072
    34          0.06          0.12    0.42831421    0.49727631      131072
    35          0.06          0.12    0.43573761    0.48926544      131072
    36          0.06          0.12    0.43998718    0.51363373      131072
    37          0.06          0.12    0.43498993     0.4919281      131072
    38          0.06          0.12    0.43540192    0.51438904      131072
    39          0.06          0.12    0.44398499    0.50617218      131072
    40          0.06          0.12    0.39519501    0.47049713      131072
    41          0.06          0.12    0.43627167    0.49576569      131072
    42          0.06          0.12    0.39898682       0.48069      131072
    43          0.06          0.12      0.421875    0.48579407      131072
    44          0.06          0.12    0.38065338    0.45569611      131072
    45          0.06          0.12    0.41281128    0.49162292      131072
    46          0.06          0.12    0.34500885    0.40480042      131072
    47          0.06          0.12    0.44268799    0.53062439      131072
    48          0.06          0.12     0.4180603    0.49247742      131072
    49          0.06          0.12    0.42192078    0.50536346      131072
    50          0.06          0.12     0.4478302    0.52296448      131072
    51          0.06          0.12    0.38617706    0.46657562      131072
    52          0.06          0.12     0.4254303    0.50110626      131072
    53          0.06          0.12    0.36760712    0.44102478      131072
    54          0.06          0.12    0.41532135    0.48794556      131072
    55          0.06          0.12    0.39559174    0.48162079      131072
    56          0.06          0.12    0.42461395    0.50113678      131072
    57          0.06          0.12    0.43099976     0.5224762      131072
    58          0.06          0.12     0.4176712    0.49065399      131072
    59          0.06          0.12    0.42333984    0.51708221      131072
    60          0.06          0.12     0.4081955    0.48141479      131072
    61          0.06          0.12    0.39813232    0.49057007      131072
    62          0.06          0.12    0.37449646    0.44664764      131072
    63          0.06          0.12    0.39154816    0.47898102      131072
    64          0.06          0.12    0.41329956    0.49436951      131072
    65          0.06          0.12    0.42719269    0.53150177      131072
    66          0.06          0.12    0.42783356     0.5152359      131072
    67          0.06          0.12    0.43441772     0.5384903      131072
    68          0.06          0.12    0.39627075    0.48054504      131072
    69          0.06          0.12    0.40599823    0.50901031      131072
    70          0.06          0.12    0.45891571    0.55351257      131072
