run,batch_size,interval_scheduler,search_step,start_muon_lr,end_muon_lr,muon_lr,muon_momentum,interval_loss,final_loss
0,500,exp_linear,1,2.6,0.026,0.026,0.6,0.869773,0.869773
0,500,exp_linear,1,2.6,0.016,0.016,0.6,0.868262,0.868262
0,500,exp_linear,1,2.6,0.0093,0.0093,0.6,0.867711,0.867711
0,500,exp_linear,1,2.6,0.0093,0.0093,0.7,0.867603,0.867603
0,500,exp_linear,1,2.6,0.0056,0.0056,0.6,0.867553,0.867553
0,500,exp_linear,1,2.6,0.0056,0.0056,0.7,0.867416,0.867416
0,500,exp_linear,1,2.6,0.0034,0.0034,0.6,0.867611,0.867611
0,500,exp_linear,1,2.6,0.0034,0.0034,0.7,0.867853,0.867853
0,500,exp_linear,1,1.5,0.072,0.072,0.6,0.878574,0.878574
0,500,exp_linear,1,1.5,0.043,0.043,0.6,0.872523,0.872523
0,500,exp_linear,1,1.5,0.026,0.026,0.6,0.869682,0.869682
0,500,exp_linear,1,1.5,0.016,0.016,0.5,0.868248,0.868248
0,500,exp_linear,1,1.5,0.016,0.016,0.6,0.868307,0.868307
0,500,exp_linear,1,1.5,0.016,0.016,0.7,0.868191,0.868191
0,500,exp_linear,1,1.5,0.0093,0.0093,0.5,0.868039,0.868039
0,500,exp_linear,1,1.5,0.0093,0.0093,0.6,0.867676,0.867676
0,500,exp_linear,1,1.5,0.0093,0.0093,0.7,0.867636,0.867636
0,500,exp_linear,1,1.5,0.0056,0.0056,0.5,0.867707,0.867707
0,500,exp_linear,1,1.5,0.0056,0.0056,0.6,0.867533,0.867533
0,500,exp_linear,1,1.5,0.0056,0.0056,0.7,0.867375,0.867375
0,500,exp_linear,1,1.5,0.0056,0.0056,0.8,0.867675,0.867675
0,500,exp_linear,1,1.5,0.0034,0.0034,0.6,0.867493,0.867493
0,500,exp_linear,1,1.5,0.0034,0.0034,0.7,0.867522,0.867522
0,500,exp_linear,1,0.93,0.12,0.12,0.6,0.893012,0.893012
0,500,exp_linear,1,0.93,0.072,0.072,0.6,0.878903,0.878903
0,500,exp_linear,1,0.93,0.043,0.043,0.5,0.872904,0.872904
0,500,exp_linear,1,0.93,0.043,0.043,0.6,0.870819,0.870819
0,500,exp_linear,1,0.93,0.043,0.043,0.7,0.875115,0.875115
0,500,exp_linear,1,0.93,0.026,0.026,0.5,0.870085,0.870085
0,500,exp_linear,1,0.93,0.026,0.026,0.6,0.869311,0.869311
0,500,exp_linear,1,0.93,0.026,0.026,0.7,0.869687,0.869687
0,500,exp_linear,1,0.93,0.016,0.016,0.6,0.868512,0.868512
0,500,exp_linear,1,0.93,0.0093,0.0093,0.6,0.86791,0.86791
0,500,exp_linear,1,0.93,0.0093,0.0093,0.7,0.867917,0.867917
0,500,exp_linear,1,0.93,0.0056,0.0056,0.6,0.86774,0.86774
0,500,exp_linear,1,0.93,0.0056,0.0056,0.7,0.867585,0.867585
0,500,exp_linear,1,0.93,0.0034,0.0034,0.6,0.86763,0.86763
0,500,exp_linear,1,0.93,0.0034,0.0034,0.7,0.86768,0.86768
0,500,exp_linear,1,0.56,0.2,0.2,0.6,0.930936,0.930936
0,500,exp_linear,1,0.56,0.12,0.12,0.6,0.893743,0.893743
0,500,exp_linear,1,0.56,0.072,0.072,0.5,0.878384,0.878384
0,500,exp_linear,1,0.56,0.072,0.072,0.6,0.878836,0.878836
0,500,exp_linear,1,0.56,0.072,0.072,0.7,0.878399,0.878399
0,500,exp_linear,1,0.56,0.043,0.043,0.6,0.87352,0.87352
0,500,exp_linear,1,0.56,0.026,0.026,0.6,0.871492,0.871492
0,500,exp_linear,1,0.56,0.016,0.016,0.6,0.86898,0.86898
0,500,exp_linear,1,0.33,0.33,0.33,0.6,1.125175,1.125175
0,500,exp_linear,1,0.33,0.2,0.2,0.6,0.951349,0.951349
0,500,exp_linear,1,0.33,0.12,0.12,0.5,0.899825,0.899825
0,500,exp_linear,1,0.33,0.12,0.12,0.6,0.903733,0.903733
0,500,exp_linear,1,0.33,0.12,0.12,0.7,0.898671,0.898671
0,500,exp_linear,1,0.33,0.072,0.072,0.6,0.882717,0.882717
0,500,exp_linear,1,0.33,0.043,0.043,0.6,0.874027,0.874027
0,500,exp_linear,1,0.2,0.33,0.33,0.6,0.998685,0.998685
0,500,exp_linear,1,0.2,0.2,0.2,0.5,0.948252,0.948252
0,500,exp_linear,1,0.2,0.2,0.2,0.6,0.945679,0.945679
0,500,exp_linear,1,0.2,0.2,0.2,0.7,0.948019,0.948019
0,500,exp_linear,1,0.2,0.12,0.12,0.6,0.90603,0.90603
0,500,exp_linear,1,0.2,0.072,0.072,0.6,0.886454,0.886454
0,500,exp_linear,1,0.12,0.33,0.33,0.6,1.109618,1.109618
0,500,exp_linear,1,0.12,0.2,0.2,0.6,0.960184,0.960184
0,500,exp_linear,1,0.12,0.12,0.12,0.6,0.907591,0.907591
1,500,linear,1,0.93,0.12,0.12,0.6,0.892923,0.892923
1,500,linear,1,0.93,0.072,0.072,0.6,0.878675,0.878675
1,500,linear,1,0.93,0.043,0.043,0.6,0.87305,0.87305
1,500,linear,1,0.93,0.026,0.026,0.6,0.871057,0.871057
1,500,linear,1,0.93,0.016,0.016,0.6,0.869933,0.869933
1,500,linear,1,0.93,0.0093,0.0093,0.6,0.871404,0.871404
1,500,linear,1,0.56,0.2,0.2,0.6,0.943686,0.943686
1,500,linear,1,0.56,0.12,0.12,0.6,0.893099,0.893099
1,500,linear,1,0.56,0.072,0.072,0.5,0.876822,0.876822
1,500,linear,1,0.56,0.072,0.072,0.6,0.878143,0.878143
1,500,linear,1,0.56,0.072,0.072,0.7,0.879686,0.879686
1,500,linear,1,0.56,0.043,0.043,0.5,0.871447,0.871447
1,500,linear,1,0.56,0.043,0.043,0.6,0.871098,0.871098
1,500,linear,1,0.56,0.043,0.043,0.7,0.870644,0.870644
1,500,linear,1,0.56,0.026,0.026,0.5,0.868928,0.868928
1,500,linear,1,0.56,0.026,0.026,0.6,0.869545,0.869545
1,500,linear,1,0.56,0.026,0.026,0.7,0.869238,0.869238
1,500,linear,1,0.56,0.016,0.016,0.5,0.868306,0.868306
1,500,linear,1,0.56,0.016,0.016,0.6,0.868583,0.868583
1,500,linear,1,0.56,0.016,0.016,0.7,0.868874,0.868874
1,500,linear,1,0.56,0.0093,0.0093,0.6,0.868673,0.868673
1,500,linear,1,0.56,0.0056,0.0056,0.6,0.868347,0.868347
1,500,linear,1,0.33,0.33,0.33,0.6,1.125175,1.125175
1,500,linear,1,0.33,0.2,0.2,0.6,0.974129,0.974129
1,500,linear,1,0.33,0.12,0.12,0.5,0.895987,0.895987
1,500,linear,1,0.33,0.12,0.12,0.6,0.896833,0.896833
1,500,linear,1,0.33,0.12,0.12,0.7,0.898389,0.898389
1,500,linear,1,0.33,0.072,0.072,0.6,0.879538,0.879538
1,500,linear,1,0.33,0.043,0.043,0.6,0.875009,0.875009
1,500,linear,1,0.33,0.026,0.026,0.6,0.870721,0.870721
1,500,linear,1,0.33,0.016,0.016,0.6,0.868585,0.868585
1,500,linear,1,0.33,0.0093,0.0093,0.5,0.867507,0.867507
1,500,linear,1,0.33,0.0093,0.0093,0.6,0.867595,0.867595
1,500,linear,1,0.33,0.0093,0.0093,0.7,0.868117,0.868117
1,500,linear,1,0.33,0.0056,0.0056,0.6,0.867628,0.867628
1,500,linear,1,0.33,0.0034,0.0034,0.6,0.867621,0.867621
1,500,linear,1,0.2,0.33,0.33,0.6,1.168703,1.168703
1,500,linear,1,0.2,0.2,0.2,0.5,0.948252,0.948252
1,500,linear,1,0.2,0.2,0.2,0.6,0.945679,0.945679
1,500,linear,1,0.2,0.2,0.2,0.7,0.948019,0.948019
1,500,linear,1,0.2,0.12,0.12,0.6,0.904874,0.904874
1,500,linear,1,0.2,0.072,0.072,0.6,0.883786,0.883786
1,500,linear,1,0.2,0.016,0.016,0.6,0.867939,0.867939
1,500,linear,1,0.2,0.0093,0.0093,0.6,0.867411,0.867411
1,500,linear,1,0.2,0.0056,0.0056,0.5,0.867234,0.867234
1,500,linear,1,0.2,0.0056,0.0056,0.6,0.867302,0.867302
1,500,linear,1,0.2,0.0056,0.0056,0.7,0.867493,0.867493
1,500,linear,1,0.2,0.0034,0.0034,0.6,0.867242,0.867242
1,500,linear,1,0.2,0.002,0.002,0.6,0.86725,0.86725
1,500,linear,1,0.12,0.33,0.33,0.6,1.041617,1.041617
1,500,linear,1,0.12,0.2,0.2,0.6,0.955056,0.955056
1,500,linear,1,0.12,0.12,0.12,0.6,0.907591,0.907591
1,500,linear,1,0.12,0.0093,0.0093,0.6,0.867538,0.867538
1,500,linear,1,0.12,0.0056,0.0056,0.6,0.867233,0.867233
1,500,linear,1,0.12,0.0034,0.0034,0.5,0.86721,0.86721
1,500,linear,1,0.12,0.0034,0.0034,0.6,0.867143,0.867143
1,500,linear,1,0.12,0.0034,0.0034,0.7,0.867306,0.867306
1,500,linear,1,0.12,0.002,0.002,0.6,0.867147,0.867147
1,500,linear,1,0.12,0.0012,0.0012,0.6,0.867166,0.867166
1,500,linear,1,0.072,0.0056,0.0056,0.6,0.867542,0.867542
1,500,linear,1,0.072,0.0034,0.0034,0.6,0.867207,0.867207
1,500,linear,1,0.072,0.002,0.002,0.5,0.86716,0.86716
1,500,linear,1,0.072,0.002,0.002,0.6,0.867141,0.867141
1,500,linear,1,0.072,0.002,0.002,0.7,0.867279,0.867279
1,500,linear,1,0.072,0.0012,0.0012,0.6,0.867189,0.867189
1,500,linear,1,0.043,0.0034,0.0034,0.6,0.868096,0.868096
1,500,linear,1,0.043,0.002,0.002,0.6,0.867599,0.867599
1,500,linear,1,0.043,0.0012,0.0012,0.6,0.867441,0.867441
2,500,constant,1,0.33,0.33,0.33,0.6,1.125175,1.125175
2,500,constant,1,0.33,0.33,0.33,0.99,0.87071,0.87071
2,500,constant,1,0.2,0.2,0.2,0.5,0.948252,0.948252
2,500,constant,1,0.2,0.2,0.2,0.6,0.945679,0.945679
2,500,constant,1,0.2,0.2,0.2,0.7,0.948019,0.948019
2,500,constant,1,0.2,0.2,0.2,0.95,0.873139,0.873139
2,500,constant,1,0.2,0.2,0.2,0.99,0.868958,0.868958
2,500,constant,1,0.12,0.12,0.12,0.5,0.909505,0.909505
2,500,constant,1,0.12,0.12,0.12,0.6,0.907591,0.907591
2,500,constant,1,0.12,0.12,0.12,0.7,0.907593,0.907593
2,500,constant,1,0.12,0.12,0.12,0.8,0.900084,0.900084
2,500,constant,1,0.12,0.12,0.12,0.9,0.882709,0.882709
2,500,constant,1,0.12,0.12,0.12,0.95,0.873035,0.873035
2,500,constant,1,0.12,0.12,0.12,0.99,0.871697,0.871697
2,500,constant,1,0.072,0.072,0.072,0.5,0.896308,0.896308
2,500,constant,1,0.072,0.072,0.072,0.6,0.89308,0.89308
2,500,constant,1,0.072,0.072,0.072,0.7,0.888765,0.888765
2,500,constant,1,0.072,0.072,0.072,0.8,0.887275,0.887275
2,500,constant,1,0.072,0.072,0.072,0.9,0.880371,0.880371
2,500,constant,1,0.072,0.072,0.072,0.95,0.877438,0.877438
2,500,constant,1,0.072,0.072,0.072,0.99,0.876598,0.876598
2,500,constant,1,0.043,0.043,0.043,0.6,0.891618,0.891618
2,500,constant,1,0.043,0.043,0.043,0.7,0.891008,0.891008
2,500,constant,1,0.043,0.043,0.043,0.8,0.883908,0.883908
2,500,constant,1,0.043,0.043,0.043,0.9,0.880077,0.880077
2,500,constant,1,0.043,0.043,0.043,0.95,0.880122,0.880122
3,2000,exp_linear,1,0.93,0.072,0.072,0.6,0.881018,0.881018
3,2000,exp_linear,1,0.93,0.043,0.043,0.6,0.874223,0.874223
3,2000,exp_linear,1,0.93,0.026,0.026,0.6,0.87125,0.87125
3,2000,exp_linear,1,0.93,0.016,0.016,0.6,0.869933,0.869933
3,2000,exp_linear,1,0.93,0.0093,0.0093,0.6,0.869804,0.869804
3,2000,exp_linear,1,0.56,0.2,0.2,0.6,0.947578,0.947578
3,2000,exp_linear,1,0.56,0.12,0.12,0.6,0.896049,0.896049
3,2000,exp_linear,1,0.56,0.072,0.072,0.6,0.882825,0.882825
3,2000,exp_linear,1,0.56,0.043,0.043,0.5,0.875135,0.875135
3,2000,exp_linear,1,0.56,0.043,0.043,0.6,0.874209,0.874209
3,2000,exp_linear,1,0.56,0.043,0.043,0.7,0.874114,0.874114
3,2000,exp_linear,1,0.56,0.026,0.026,0.5,0.871974,0.871974
3,2000,exp_linear,1,0.56,0.026,0.026,0.6,0.870305,0.870305
3,2000,exp_linear,1,0.56,0.026,0.026,0.7,0.870606,0.870606
3,2000,exp_linear,1,0.56,0.016,0.016,0.5,0.870412,0.870412
3,2000,exp_linear,1,0.56,0.016,0.016,0.6,0.869342,0.869342
3,2000,exp_linear,1,0.56,0.016,0.016,0.7,0.869036,0.869036
3,2000,exp_linear,1,0.56,0.0093,0.0093,0.6,0.868805,0.868805
3,2000,exp_linear,1,0.56,0.0056,0.0056,0.6,0.869019,0.869019
3,2000,exp_linear,1,0.56,0.0056,0.0056,0.7,0.868335,0.868335
3,2000,exp_linear,1,0.56,0.0034,0.0034,0.6,0.869268,0.869268
3,2000,exp_linear,1,0.56,0.0034,0.0034,0.7,0.868923,0.868923
3,2000,exp_linear,1,0.56,0.002,0.002,0.6,0.870778,0.870778
3,2000,exp_linear,1,0.56,0.002,0.002,0.7,0.870408,0.870408
3,2000,exp_linear,1,0.33,0.33,0.33,0.6,1.030748,1.030748
3,2000,exp_linear,1,0.33,0.2,0.2,0.6,0.990758,0.990758
3,2000,exp_linear,1,0.33,0.12,0.12,0.5,0.917901,0.917901
3,2000,exp_linear,1,0.33,0.12,0.12,0.6,0.908326,0.908326
3,2000,exp_linear,1,0.33,0.12,0.12,0.7,0.912169,0.912169
3,2000,exp_linear,1,0.33,0.072,0.072,0.5,0.882659,0.882659
3,2000,exp_linear,1,0.33,0.072,0.072,0.6,0.880908,0.880908
3,2000,exp_linear,1,0.33,0.072,0.072,0.7,0.883414,0.883414
3,2000,exp_linear,1,0.33,0.043,0.043,0.6,0.874214,0.874214
3,2000,exp_linear,1,0.33,0.026,0.026,0.6,0.871122,0.871122
3,2000,exp_linear,1,0.33,0.016,0.016,0.6,0.870266,0.870266
3,2000,exp_linear,1,0.33,0.0093,0.0093,0.5,0.868826,0.868826
3,2000,exp_linear,1,0.33,0.0093,0.0093,0.6,0.868586,0.868586
3,2000,exp_linear,1,0.33,0.0093,0.0093,0.7,0.868751,0.868751
3,2000,exp_linear,1,0.33,0.0056,0.0056,0.5,0.868401,0.868401
3,2000,exp_linear,1,0.33,0.0056,0.0056,0.6,0.867991,0.867991
3,2000,exp_linear,1,0.33,0.0056,0.0056,0.7,0.867788,0.867788
3,2000,exp_linear,1,0.33,0.0034,0.0034,0.5,0.868247,0.868247
3,2000,exp_linear,1,0.33,0.0034,0.0034,0.6,0.867721,0.867721
3,2000,exp_linear,1,0.33,0.0034,0.0034,0.7,0.867627,0.867627
3,2000,exp_linear,1,0.33,0.0034,0.0034,0.8,0.868207,0.868207
