run,batch_size,interval_scheduler,step,total_steps,loss,head_lr,muon_lr,muon_momentum,muon_nesterov
0,500,exp_linear,0,30,2.3133,1340.0,0.2,0.6,False
0,500,exp_linear,1,30,2.436,1340.0,1.5,0.7,False
0,500,exp_linear,2,30,2.5653,1340.0,1.2,0.7,False
0,500,exp_linear,3,30,2.2803,1340.0,1.0,0.7,False
0,500,exp_linear,4,30,2.121,1340.0,0.84,0.7,False
0,500,exp_linear,5,30,2.0479,1340.0,0.69,0.7,False
0,500,exp_linear,6,30,2.1233,1340.0,0.57,0.7,False
0,500,exp_linear,7,30,1.9567,1340.0,0.47,0.7,False
0,500,exp_linear,8,30,1.8078,1340.0,0.39,0.7,False
0,500,exp_linear,9,30,1.6124,1340.0,0.32,0.7,False
0,500,exp_linear,10,30,1.396,1340.0,0.26,0.7,False
0,500,exp_linear,11,30,1.2706,1340.0,0.22,0.7,False
0,500,exp_linear,12,30,1.1595,1340.0,0.18,0.7,False
0,500,exp_linear,13,30,1.0556,1340.0,0.15,0.7,False
0,500,exp_linear,14,30,0.9777,1340.0,0.12,0.7,False
0,500,exp_linear,15,30,0.9402,1340.0,0.1,0.7,False
0,500,exp_linear,16,30,0.9213,1340.0,0.083,0.7,False
0,500,exp_linear,17,30,0.9015,1340.0,0.069,0.7,False
0,500,exp_linear,18,30,0.8911,1340.0,0.057,0.7,False
0,500,exp_linear,19,30,0.8852,1340.0,0.047,0.7,False
0,500,exp_linear,20,30,0.879,1340.0,0.038,0.7,False
0,500,exp_linear,21,30,0.8742,1340.0,0.032,0.7,False
0,500,exp_linear,22,30,0.8722,1340.0,0.026,0.7,False
0,500,exp_linear,23,30,0.8704,1340.0,0.022,0.7,False
0,500,exp_linear,24,30,0.8696,1340.0,0.018,0.7,False
0,500,exp_linear,25,30,0.8688,1340.0,0.015,0.7,False
0,500,exp_linear,26,30,0.8683,1340.0,0.012,0.7,False
0,500,exp_linear,27,30,0.868,1340.0,0.01,0.7,False
0,500,exp_linear,28,30,0.8677,1340.0,0.0082,0.7,False
0,500,exp_linear,29,30,0.8675,1340.0,0.0068,0.7,False
0,500,exp_linear,30,30,0.8674,1340.0,0.0056,0.7,False
1,500,linear,0,30,2.3133,1340.0,0.2,0.6,False
1,500,linear,1,30,2.3426,1340.0,0.072,0.6,False
1,500,linear,2,30,2.6812,1340.0,0.07,0.6,False
1,500,linear,3,30,2.2056,1340.0,0.067,0.6,False
1,500,linear,4,30,1.8555,1340.0,0.065,0.6,False
1,500,linear,5,30,1.5308,1340.0,0.062,0.6,False
1,500,linear,6,30,1.2607,1340.0,0.06,0.6,False
1,500,linear,7,30,1.0914,1340.0,0.058,0.6,False
1,500,linear,8,30,1.0063,1340.0,0.055,0.6,False
1,500,linear,9,30,0.9611,1340.0,0.053,0.6,False
1,500,linear,10,30,0.9413,1340.0,0.05,0.6,False
1,500,linear,11,30,0.9293,1340.0,0.048,0.6,False
1,500,linear,12,30,0.9254,1340.0,0.045,0.6,False
1,500,linear,13,30,0.9088,1340.0,0.043,0.6,False
1,500,linear,14,30,0.9203,1340.0,0.041,0.6,False
1,500,linear,15,30,0.909,1340.0,0.038,0.6,False
1,500,linear,16,30,0.9078,1340.0,0.036,0.6,False
1,500,linear,17,30,0.8913,1340.0,0.033,0.6,False
1,500,linear,18,30,0.8957,1340.0,0.031,0.6,False
1,500,linear,19,30,0.8811,1340.0,0.029,0.6,False
1,500,linear,20,30,0.8853,1340.0,0.026,0.6,False
1,500,linear,21,30,0.8765,1340.0,0.024,0.6,False
1,500,linear,22,30,0.8781,1340.0,0.021,0.6,False
1,500,linear,23,30,0.8723,1340.0,0.019,0.6,False
1,500,linear,24,30,0.8734,1340.0,0.016,0.6,False
1,500,linear,25,30,0.8714,1340.0,0.014,0.6,False
1,500,linear,26,30,0.8712,1340.0,0.012,0.6,False
1,500,linear,27,30,0.8688,1340.0,0.0092,0.6,False
1,500,linear,28,30,0.868,1340.0,0.0068,0.6,False
1,500,linear,29,30,0.8674,1340.0,0.0044,0.6,False
1,500,linear,30,30,0.8671,1340.0,0.002,0.6,False
2,500,constant,0,30,2.3133,1340.0,0.2,0.6,False
2,500,constant,1,30,2.3316,1340.0,0.2,0.99,False
2,500,constant,2,30,2.5781,1340.0,0.2,0.99,False
2,500,constant,3,30,2.1499,1340.0,0.2,0.99,False
2,500,constant,4,30,1.9446,1340.0,0.2,0.99,False
2,500,constant,5,30,1.7441,1340.0,0.2,0.99,False
2,500,constant,6,30,1.5121,1340.0,0.2,0.99,False
2,500,constant,7,30,1.3556,1340.0,0.2,0.99,False
2,500,constant,8,30,1.2938,1340.0,0.2,0.99,False
2,500,constant,9,30,1.0927,1340.0,0.2,0.99,False
2,500,constant,10,30,1.0367,1340.0,0.2,0.99,False
2,500,constant,11,30,1.0004,1340.0,0.2,0.99,False
2,500,constant,12,30,0.9448,1340.0,0.2,0.99,False
2,500,constant,13,30,0.9268,1340.0,0.2,0.99,False
2,500,constant,14,30,0.927,1340.0,0.2,0.99,False
2,500,constant,15,30,0.9133,1340.0,0.2,0.99,False
2,500,constant,16,30,0.9113,1340.0,0.2,0.99,False
2,500,constant,17,30,0.9056,1340.0,0.2,0.99,False
2,500,constant,18,30,0.9063,1340.0,0.2,0.99,False
2,500,constant,19,30,0.9144,1340.0,0.2,0.99,False
2,500,constant,20,30,0.9076,1340.0,0.2,0.99,False
2,500,constant,21,30,0.8942,1340.0,0.2,0.99,False
2,500,constant,22,30,0.8909,1340.0,0.2,0.99,False
2,500,constant,23,30,0.8858,1340.0,0.2,0.99,False
2,500,constant,24,30,0.8814,1340.0,0.2,0.99,False
2,500,constant,25,30,0.8777,1340.0,0.2,0.99,False
2,500,constant,26,30,0.8729,1340.0,0.2,0.99,False
2,500,constant,27,30,0.8722,1340.0,0.2,0.99,False
2,500,constant,28,30,0.8706,1340.0,0.2,0.99,False
2,500,constant,29,30,0.8697,1340.0,0.2,0.99,False
2,500,constant,30,30,0.869,1340.0,0.2,0.99,False
3,2000,exp_linear,0,30,2.3135,1072.0,0.2,0.6,False
3,2000,exp_linear,1,30,2.228,1072.0,0.2,0.7,False
3,2000,exp_linear,2,30,2.2039,1072.0,0.17,0.7,False
3,2000,exp_linear,3,30,1.9696,1072.0,0.15,0.7,False
3,2000,exp_linear,4,30,1.7779,1072.0,0.12,0.7,False
3,2000,exp_linear,5,30,1.5783,1072.0,0.11,0.7,False
3,2000,exp_linear,6,30,1.4418,1072.0,0.09,0.7,False
3,2000,exp_linear,7,30,1.2768,1072.0,0.077,0.7,False
3,2000,exp_linear,8,30,1.1438,1072.0,0.066,0.7,False
3,2000,exp_linear,9,30,1.0403,1072.0,0.056,0.7,False
3,2000,exp_linear,10,30,0.9705,1072.0,0.048,0.7,False
3,2000,exp_linear,11,30,0.9275,1072.0,0.041,0.7,False
3,2000,exp_linear,12,30,0.9086,1072.0,0.035,0.7,False
3,2000,exp_linear,13,30,0.8972,1072.0,0.03,0.7,False
3,2000,exp_linear,14,30,0.8903,1072.0,0.025,0.7,False
3,2000,exp_linear,15,30,0.8845,1072.0,0.022,0.7,False
3,2000,exp_linear,16,30,0.8814,1072.0,0.018,0.7,False
3,2000,exp_linear,17,30,0.879,1072.0,0.016,0.7,False
3,2000,exp_linear,18,30,0.8779,1072.0,0.013,0.7,False
3,2000,exp_linear,19,30,0.874,1072.0,0.011,0.7,False
3,2000,exp_linear,20,30,0.8726,1072.0,0.0098,0.7,False
3,2000,exp_linear,21,30,0.8714,1072.0,0.0084,0.7,False
3,2000,exp_linear,22,30,0.8703,1072.0,0.0071,0.7,False
3,2000,exp_linear,23,30,0.8698,1072.0,0.0061,0.7,False
3,2000,exp_linear,24,30,0.8692,1072.0,0.0052,0.7,False
3,2000,exp_linear,25,30,0.8689,1072.0,0.0044,0.7,False
3,2000,exp_linear,26,30,0.8685,1072.0,0.0038,0.7,False
3,2000,exp_linear,27,30,0.8682,1072.0,0.0032,0.7,False
3,2000,exp_linear,28,30,0.8679,1072.0,0.0027,0.7,False
3,2000,exp_linear,29,30,0.8678,1072.0,0.0023,0.7,False
3,2000,exp_linear,30,30,0.8676,1072.0,0.002,0.7,False
4,2000,linear,0,30,2.3135,1072.0,0.2,0.6,False
4,2000,linear,1,30,2.228,1072.0,0.2,0.6,False
4,2000,linear,2,30,2.2051,1072.0,0.19,0.6,False
4,2000,linear,3,30,1.9723,1072.0,0.19,0.6,False
4,2000,linear,4,30,1.7854,1072.0,0.18,0.6,False
4,2000,linear,5,30,1.6809,1072.0,0.17,0.6,False
