run,batch_size,N,M,final_k_granularity,cooldown_final_k_granularity,muon_orthogonalize,initial_muon_lr,initial_muon_lr_k,initial_loss,final_loss,loss_delta,final_muon_lr,final_muon_lr_k,final_cooldown_lr,final_cooldown_lr_k,train_points,searches,primary_searches,cooldown_searches
0,2000,1,0,1.0,1.0,True,0.2,0.0,2.313483,0.868739,-1.444744,0.00073,11.0,,,51,50,50,0
1,2000,1,1,1.0,1.0,True,0.2,0.0,2.313483,0.880209,-1.4332740000000002,0.00073,11.0,8.5e-46,200.0,51,218,50,168
2,2000,1,2,1.0,1.0,True,0.2,0.0,2.313483,0.868587,-1.4448960000000002,5.6e-05,16.0,0.0012,10.0,51,241,50,191
3,2000,1,3,1.0,1.0,True,0.2,0.0,2.313483,0.867881,-1.445602,0.00016,14.0,0.0034,8.0,51,213,50,163
4,2000,1,4,1.0,1.0,True,0.2,0.0,2.313483,0.867599,-1.4458840000000002,0.00044,12.0,0.0034,8.0,51,216,50,166
5,2000,1,5,1.0,1.0,True,0.2,0.0,2.313483,0.86724,-1.4462430000000002,0.00044,12.0,0.0012,10.0,51,226,50,176
6,2000,2,0,1.0,1.0,True,0.2,0.0,2.313483,0.867993,-1.4454900000000002,0.00073,11.0,,,51,25,25,0
7,2000,2,1,1.0,1.0,True,0.2,0.0,2.313483,0.86743,-1.446053,0.00073,11.0,0.00073,11.0,51,107,25,82
8,2000,2,2,1.0,1.0,True,0.2,0.0,2.313483,0.867222,-1.4462610000000002,0.00073,11.0,0.00073,11.0,51,107,25,82
9,2000,2,3,1.0,1.0,True,0.2,0.0,2.313483,0.866944,-1.446539,0.00026,13.0,0.00073,11.0,51,112,25,87
10,2000,2,4,1.0,1.0,True,0.2,0.0,2.313483,0.866989,-1.4464940000000002,0.00044,12.0,0.00073,11.0,51,106,25,81
11,2000,2,5,1.0,1.0,True,0.2,0.0,2.313483,0.866933,-1.4465500000000002,0.00026,13.0,0.00026,13.0,51,111,25,86
12,2000,3,0,1.0,1.0,True,0.2,0.0,2.313483,0.868215,-1.4452680000000002,0.00044,12.0,,,51,17,17,0
13,2000,3,1,1.0,1.0,True,0.2,0.0,2.313483,0.86701,-1.4464730000000001,0.002,9.0,0.00044,12.0,51,76,17,59
14,2000,3,2,1.0,1.0,True,0.2,0.0,2.313483,0.867498,-1.4459850000000003,0.00073,11.0,0.00073,11.0,51,77,17,60
15,2000,3,3,1.0,1.0,True,0.2,0.0,2.313483,0.867079,-1.4464040000000002,0.00044,12.0,0.00073,11.0,51,74,17,57
16,2000,3,4,1.0,1.0,True,0.2,0.0,2.313483,0.866961,-1.4465220000000003,0.00044,12.0,0.00044,12.0,51,71,17,54
17,2000,3,5,1.0,1.0,True,0.2,0.0,2.313483,0.867,-1.4464830000000002,0.0034,8.0,0.0012,10.0,51,75,17,58
18,2000,4,0,1.0,1.0,True,0.2,0.0,2.313483,0.868042,-1.4454410000000002,0.00073,11.0,,,51,13,13,0
19,2000,4,1,1.0,1.0,True,0.2,0.0,2.313483,0.867098,-1.4463850000000003,0.00073,11.0,0.0012,10.0,51,57,13,44
20,2000,4,2,1.0,1.0,True,0.2,0.0,2.313483,0.867545,-1.4459380000000002,0.00073,11.0,0.00073,11.0,51,59,13,46
21,2000,4,3,1.0,1.0,True,0.2,0.0,2.313483,0.867078,-1.4464050000000002,0.00073,11.0,0.0012,10.0,51,56,13,43
22,2000,4,4,1.0,1.0,True,0.2,0.0,2.313483,0.866999,-1.4464840000000003,0.00044,12.0,0.00073,11.0,51,56,13,43
23,2000,4,5,1.0,1.0,True,0.2,0.0,2.313483,0.867006,-1.4464770000000002,0.00044,12.0,0.00073,11.0,51,56,13,43
24,2000,5,0,1.0,1.0,True,0.2,0.0,2.313483,0.868668,-1.4448150000000002,0.00073,11.0,,,51,10,10,0
25,2000,5,1,1.0,1.0,True,0.2,0.0,2.313483,0.867015,-1.4464680000000003,0.00073,11.0,0.002,9.0,51,47,10,37
26,2000,5,2,1.0,1.0,True,0.2,0.0,2.313483,0.867266,-1.4462170000000003,0.00073,11.0,0.00073,11.0,51,47,10,37
27,2000,5,3,1.0,1.0,True,0.2,0.0,2.313483,0.867103,-1.4463800000000002,0.00073,11.0,0.002,9.0,51,47,10,37
28,2000,5,4,1.0,1.0,True,0.2,0.0,2.313483,0.866966,-1.446517,0.00073,11.0,0.00073,11.0,51,47,10,37
29,2000,5,5,1.0,1.0,True,0.2,0.0,2.313483,0.866967,-1.4465160000000001,0.00073,11.0,0.00073,11.0,51,46,10,36
