run,N,M,final_k_granularity,cooldown_final_k_granularity,search,interval,step,is_cooldown,cooldown_for_k,initial_muon_lr,best_k,best_muon_lr,interval_steps,cooldown_steps,interval_loss,final_loss,evaluated_lrs
0,1,0,1.0,1.0,run0_bs2000_N1_M0_G1_CG1_interval0_step0,0,0,False,,0.2,1.0,0.12,1,0,2.220125,2.220125,4
0,1,0,1.0,1.0,run0_bs2000_N1_M0_G1_CG1_interval1_step1,1,1,False,,0.12,0.0,0.2,1,0,2.223818,2.223818,4
0,1,0,1.0,1.0,run0_bs2000_N1_M0_G1_CG1_interval2_step2,2,2,False,,0.2,1.0,0.12,1,0,1.978225,1.978225,4
0,1,0,1.0,1.0,run0_bs2000_N1_M0_G1_CG1_interval3_step3,3,3,False,,0.12,1.0,0.12,1,0,1.732918,1.732918,3
0,1,0,1.0,1.0,run0_bs2000_N1_M0_G1_CG1_interval4_step4,4,4,False,,0.12,3.0,0.043,1,0,1.532634,1.532634,5
0,1,0,1.0,1.0,run0_bs2000_N1_M0_G1_CG1_interval5_step5,5,5,False,,0.043,2.0,0.072,1,0,1.34455,1.34455,4
0,1,0,1.0,1.0,run0_bs2000_N1_M0_G1_CG1_interval6_step6,6,6,False,,0.072,4.0,0.026,1,0,1.269017,1.269017,5
0,1,0,1.0,1.0,run0_bs2000_N1_M0_G1_CG1_interval7_step7,7,7,False,,0.026,3.0,0.043,1,0,1.126692,1.126692,4
0,1,0,1.0,1.0,run0_bs2000_N1_M0_G1_CG1_interval8_step8,8,8,False,,0.043,4.0,0.026,1,0,1.064713,1.064713,4
0,1,0,1.0,1.0,run0_bs2000_N1_M0_G1_CG1_interval9_step9,9,9,False,,0.026,4.0,0.026,1,0,1.010179,1.010179,3
0,1,0,1.0,1.0,run0_bs2000_N1_M0_G1_CG1_interval10_step10,10,10,False,,0.026,4.0,0.026,1,0,0.985403,0.985403,3
0,1,0,1.0,1.0,run0_bs2000_N1_M0_G1_CG1_interval11_step11,11,11,False,,0.026,4.0,0.026,1,0,0.951629,0.951629,3
0,1,0,1.0,1.0,run0_bs2000_N1_M0_G1_CG1_interval12_step12,12,12,False,,0.026,5.0,0.016,1,0,0.939462,0.939462,4
0,1,0,1.0,1.0,run0_bs2000_N1_M0_G1_CG1_interval13_step13,13,13,False,,0.016,5.0,0.016,1,0,0.91324,0.91324,3
0,1,0,1.0,1.0,run0_bs2000_N1_M0_G1_CG1_interval14_step14,14,14,False,,0.016,6.0,0.0093,1,0,0.902914,0.902914,4
