run,batch_size,N,M,final_k_granularity,cooldown_final_k_granularity,initial_muon_lr,initial_muon_lr_k,initial_loss,final_loss,loss_delta,final_muon_lr,final_muon_lr_k,final_cooldown_lr,final_cooldown_lr_k,train_points,searches,primary_searches,cooldown_searches
0,2000,1,0,1.0,1.0,0.2,0.0,2.313483,0.868739,-1.444744,0.00073,11.0,,,51,50,50,0
1,2000,1,0,1.0,0.25,0.2,0.0,2.313483,0.868739,-1.444744,0.00073,11.0,,,51,50,50,0
2,2000,1,0,0.25,0.25,0.2,0.0,2.313483,0.868739,-1.444744,0.00073,11.0,,,51,50,50,0
3,2000,1,1,1.0,1.0,0.2,0.0,2.313483,0.880209,-1.4332740000000002,0.00073,11.0,8.5e-46,200.0,51,218,50,168
4,2000,1,1,1.0,0.25,0.2,0.0,2.313483,0.883817,-1.429666,0.00044,12.0,3.6e-57,251.25,51,218,50,168
5,2000,1,1,0.25,0.25,0.2,0.0,2.313483,0.883136,-1.4303470000000003,0.00044,12.0,1.3e-56,248.75,51,418,50,368
6,2000,1,2,1.0,1.0,0.2,0.0,2.313483,0.868587,-1.4448960000000002,5.6e-05,16.0,0.0012,10.0,51,241,50,191
7,2000,1,2,1.0,0.25,0.2,0.0,2.313483,0.86897,-1.4445130000000002,9.4e-05,15.0,0.0023,8.75,51,214,50,164
8,2000,1,2,0.25,0.25,0.2,0.0,2.313483,0.86897,-1.4445130000000002,9.4e-05,15.0,0.0023,8.75,51,406,50,356
9,2000,2,0,1.0,1.0,0.2,0.0,2.313483,0.867993,-1.4454900000000002,0.00073,11.0,,,51,25,25,0
10,2000,2,0,1.0,0.25,0.2,0.0,2.313483,0.867993,-1.4454900000000002,0.00073,11.0,,,51,25,25,0
11,2000,2,0,0.25,0.25,0.2,0.0,2.313483,0.868462,-1.445021,0.00056,11.5,,,51,25,25,0
12,2000,2,1,1.0,1.0,0.2,0.0,2.313483,0.86743,-1.446053,0.00073,11.0,0.00073,11.0,51,107,25,82
13,2000,2,1,1.0,0.25,0.2,0.0,2.313483,0.867179,-1.446304,0.00073,11.0,0.00044,12.0,51,107,25,82
14,2000,2,1,0.25,0.25,0.2,0.0,2.313483,0.86805,-1.4454330000000002,0.00056,11.5,0.00056,11.5,51,206,25,181
15,2000,2,2,1.0,1.0,0.2,0.0,2.313483,0.867222,-1.4462610000000002,0.00073,11.0,0.00073,11.0,51,107,25,82
16,2000,2,2,1.0,0.25,0.2,0.0,2.313483,0.867339,-1.4461440000000003,0.00073,11.0,0.00073,11.0,51,109,25,84
17,2000,2,2,0.25,0.25,0.2,0.0,2.313483,0.867251,-1.4462320000000002,0.00064,11.25,0.00064,11.25,51,208,25,183
18,2000,3,0,1.0,1.0,0.2,0.0,2.313483,0.868215,-1.4452680000000002,0.00044,12.0,,,51,17,17,0
19,2000,3,0,1.0,0.25,0.2,0.0,2.313483,0.868215,-1.4452680000000002,0.00044,12.0,,,51,17,17,0
