run,batch_size,N,M,completed,initial_loss,final_loss,run_seconds,final_muon_lr,final_muon_momentum,first_step_below_0p90,first_step_below_0p88,first_step_below_0p87,search_choices,evaluated_configs
0,500,1,0,True,2.31331,0.869588,12.203,0.00073,0.1,11,15,29,30,204
1,500,2,0,True,2.31331,0.867152,42.156,0.00044,0.7,10,12,18,15,454
2,500,3,0,True,2.31331,0.866942,50.155,0.00073,0.8,9,10,13,10,358
3,500,5,0,True,2.31331,0.866945,60.957,0.00044,0.8,10,12,16,6,272
4,500,7,0,True,2.31331,0.867007,43.963,0.0012,0.5,10,12,17,5,152
5,500,9,0,True,2.31331,0.867011,54.637,0.00044,0.8,11,13,17,4,153
6,2000,1,0,True,2.313483,0.877061,30.985,0.0056,0.0,20,26,,30,152
7,2000,2,0,True,2.313483,0.86731,119.91,0.002,0.8,10,14,20,15,345
8,2000,3,0,True,2.313483,0.86693,182.001,0.00073,0.9,7,7,13,10,359
9,2000,5,0,True,2.313483,0.867299,125.826,0.002,0.8,12,14,20,6,153
10,2000,7,0,True,2.313483,0.867852,126.708,0.002,0.5,12,18,24,5,122
11,2000,9,0,True,2.313483,0.867124,158.321,0.002,0.7,13,16,21,4,121
12,10000,1,0,True,2.314071,0.881606,167.041,0.0093,0.5,25,,,30,177
13,10000,2,0,True,2.314071,0.877518,593.864,0.0056,0.7,22,29,,15,343
14,10000,3,0,True,2.314071,0.867296,1159.994,0.0034,0.9,10,12,17,10,360
15,10000,5,0,False,2.3141,0.883,,,,13,,,3,112
