run,batch_size,N,start_step,start_muon_lr,end_muon_lr,selected_muon_lr,selected_muon_momentum,interval_loss,final_loss,evaluated_interval_configs,evaluated_configs
0,500,1,1,0.12,0.12,0.12,0.0,2.325418,2.325418,24,24
0,500,1,2,0.12,0.12,0.12,0.0,2.629159,2.629159,4,4
0,500,1,3,0.072,0.072,0.072,0.0,2.071935,2.071935,6,6
0,500,1,4,0.072,0.072,0.072,0.1,1.726686,1.726686,7,7
0,500,1,5,0.072,0.072,0.072,0.1,1.422044,1.422044,5,5
0,500,1,6,0.043,0.043,0.043,0.1,1.206981,1.206981,8,8
0,500,1,7,0.043,0.043,0.043,0.1,1.059947,1.059947,5,5
0,500,1,8,0.026,0.026,0.026,0.1,0.985502,0.985502,8,8
0,500,1,9,0.016,0.016,0.016,0.1,0.933513,0.933513,8,8
0,500,1,10,0.0093,0.0093,0.0093,0.1,0.908688,0.908688,8,8
0,500,1,11,0.0093,0.0093,0.0093,0.1,0.894641,0.894641,5,5
0,500,1,12,0.0034,0.0034,0.0034,0.1,0.889975,0.889975,11,11
0,500,1,13,0.0034,0.0034,0.0034,0.1,0.883975,0.883975,5,5
0,500,1,14,0.0034,0.0034,0.0034,0.1,0.881097,0.881097,5,5
0,500,1,15,0.0034,0.0034,0.0034,0.1,0.879189,0.879189,5,5
0,500,1,16,0.0034,0.0034,0.0034,0.1,0.878264,0.878264,5,5
0,500,1,17,0.0034,0.0034,0.0034,0.1,0.877096,0.877096,5,5
0,500,1,18,0.0034,0.0034,0.0034,0.1,0.875491,0.875491,5,5
0,500,1,19,0.0034,0.0034,0.0034,0.1,0.875222,0.875222,5,5
0,500,1,20,0.0034,0.0034,0.0034,0.1,0.87405,0.87405,5,5
0,500,1,21,0.0034,0.0034,0.0034,0.1,0.874029,0.874029,5,5
0,500,1,22,0.0034,0.0034,0.0034,0.1,0.872923,0.872923,5,5
0,500,1,23,0.0034,0.0034,0.0034,0.1,0.873074,0.873074,5,5
0,500,1,24,0.0034,0.0034,0.0034,0.1,0.872127,0.872127,5,5
0,500,1,25,0.0034,0.0034,0.0034,0.1,0.872349,0.872349,5,5
0,500,1,26,0.002,0.002,0.002,0.1,0.871468,0.871468,8,8
0,500,1,27,0.002,0.002,0.002,0.1,0.870064,0.870064,5,5
0,500,1,28,0.00044,0.00044,0.00044,0.1,0.870153,0.870153,14,14
0,500,1,29,0.00044,0.00044,0.00044,0.1,0.869784,0.869784,5,5
0,500,1,30,0.00073,0.00073,0.00073,0.1,0.869588,0.869588,8,8
1,500,2,1,0.56,0.2,0.2,0.0,2.510482,2.510482,73,73
1,500,2,3,0.2,0.072,0.072,0.2,1.714622,1.714622,39,39
1,500,2,5,0.072,0.072,0.072,0.3,1.12464,1.12464,20,20
1,500,2,7,0.072,0.043,0.043,0.4,0.938018,0.938018,24,24
1,500,2,9,0.026,0.016,0.016,0.3,0.893685,0.893685,31,31
1,500,2,11,0.016,0.0093,0.0093,0.4,0.877497,0.877497,24,24
1,500,2,13,0.0093,0.0056,0.0056,0.5,0.873146,0.873146,24,24
1,500,2,15,0.0056,0.002,0.002,0.6,0.870672,0.870672,32,32
1,500,2,17,0.0056,0.0034,0.0034,0.6,0.869509,0.869509,23,23
