run,batch_size,N,step,total_steps,loss,head_lr,muon_lr,muon_momentum,muon_nesterov
0,500,1,0,30,2.3133,1340.0,0.2,0.6,False
0,500,1,1,30,2.3254,1340.0,0.12,0.0,False
0,500,1,2,30,2.6292,1340.0,0.12,0.0,False
0,500,1,3,30,2.0719,1340.0,0.072,0.0,False
0,500,1,4,30,1.7267,1340.0,0.072,0.1,False
0,500,1,5,30,1.422,1340.0,0.072,0.1,False
0,500,1,6,30,1.207,1340.0,0.043,0.1,False
0,500,1,7,30,1.0599,1340.0,0.043,0.1,False
0,500,1,8,30,0.9855,1340.0,0.026,0.1,False
0,500,1,9,30,0.9335,1340.0,0.016,0.1,False
0,500,1,10,30,0.9087,1340.0,0.0093,0.1,False
0,500,1,11,30,0.8946,1340.0,0.0093,0.1,False
0,500,1,12,30,0.89,1340.0,0.0034,0.1,False
0,500,1,13,30,0.884,1340.0,0.0034,0.1,False
0,500,1,14,30,0.8811,1340.0,0.0034,0.1,False
0,500,1,15,30,0.8792,1340.0,0.0034,0.1,False
0,500,1,16,30,0.8783,1340.0,0.0034,0.1,False
0,500,1,17,30,0.8771,1340.0,0.0034,0.1,False
0,500,1,18,30,0.8755,1340.0,0.0034,0.1,False
0,500,1,19,30,0.8752,1340.0,0.0034,0.1,False
0,500,1,20,30,0.874,1340.0,0.0034,0.1,False
0,500,1,21,30,0.874,1340.0,0.0034,0.1,False
0,500,1,22,30,0.8729,1340.0,0.0034,0.1,False
0,500,1,23,30,0.8731,1340.0,0.0034,0.1,False
0,500,1,24,30,0.8721,1340.0,0.0034,0.1,False
0,500,1,25,30,0.8723,1340.0,0.0034,0.1,False
0,500,1,26,30,0.8715,1340.0,0.002,0.1,False
0,500,1,27,30,0.8701,1340.0,0.002,0.1,False
0,500,1,28,30,0.8702,1340.0,0.00044,0.1,False
0,500,1,29,30,0.8698,1340.0,0.00044,0.1,False
0,500,1,30,30,0.8696,1340.0,0.00073,0.1,False
1,500,2,0,30,2.3133,1340.0,0.2,0.6,False
1,500,2,1,30,2.3989,1340.0,0.56,0.0,False
1,500,2,2,30,2.5105,1340.0,0.2,0.0,False
1,500,2,3,30,1.9091,1340.0,0.2,0.2,False
1,500,2,4,30,1.7146,1340.0,0.072,0.2,False
1,500,2,5,30,1.352,1340.0,0.072,0.3,False
1,500,2,6,30,1.1246,1340.0,0.072,0.3,False
1,500,2,7,30,0.9928,1340.0,0.072,0.4,False
1,500,2,8,30,0.938,1340.0,0.043,0.4,False
1,500,2,9,30,0.9121,1340.0,0.026,0.3,False
1,500,2,10,30,0.8937,1340.0,0.016,0.3,False
1,500,2,11,30,0.8819,1340.0,0.016,0.4,False
1,500,2,12,30,0.8775,1340.0,0.0093,0.4,False
1,500,2,13,30,0.8762,1340.0,0.0093,0.5,False
1,500,2,14,30,0.8731,1340.0,0.0056,0.5,False
1,500,2,15,30,0.8713,1340.0,0.0056,0.6,False
1,500,2,16,30,0.8707,1340.0,0.002,0.6,False
1,500,2,17,30,0.8704,1340.0,0.0056,0.6,False
1,500,2,18,30,0.8695,1340.0,0.0034,0.6,False
1,500,2,19,30,0.8687,1340.0,0.0056,0.8,False
1,500,2,20,30,0.8684,1340.0,0.0034,0.8,False
