run,momentum_config,search_momentum,muon_nesterov,interval_index,start_step,interval_muon_lr,interval_muon_momentum,cooldown_muon_lr,cooldown_muon_momentum,final_loss
0,fixed_m0p6_nesterov,False,True,0,0,0.33,0.6,0.56,0.6,2.066853
0,fixed_m0p6_nesterov,False,True,0,0,0.33,0.6,0.33,0.6,1.904088
0,fixed_m0p6_nesterov,False,True,0,0,0.33,0.6,0.2,0.6,1.769458
0,fixed_m0p6_nesterov,False,True,0,0,0.33,0.6,0.12,0.6,1.693268
0,fixed_m0p6_nesterov,False,True,0,0,0.33,0.6,0.072,0.6,1.701226
0,fixed_m0p6_nesterov,False,True,0,0,0.2,0.6,0.33,0.6,1.862363
0,fixed_m0p6_nesterov,False,True,0,0,0.2,0.6,0.2,0.6,1.81111
0,fixed_m0p6_nesterov,False,True,0,0,0.2,0.6,0.12,0.6,1.665187
0,fixed_m0p6_nesterov,False,True,0,0,0.2,0.6,0.072,0.6,1.63364
0,fixed_m0p6_nesterov,False,True,0,0,0.2,0.6,0.043,0.6,1.678801
0,fixed_m0p6_nesterov,False,True,0,0,0.12,0.6,0.2,0.6,1.76938
0,fixed_m0p6_nesterov,False,True,0,0,0.12,0.6,0.12,0.6,1.76666
0,fixed_m0p6_nesterov,False,True,0,0,0.12,0.6,0.072,0.6,1.649559
0,fixed_m0p6_nesterov,False,True,0,0,0.12,0.6,0.043,0.6,1.643299
0,fixed_m0p6_nesterov,False,True,0,0,0.12,0.6,0.026,0.6,1.697034
0,fixed_m0p6_nesterov,False,True,1,2,0.33,0.6,0.56,0.6,1.88203
0,fixed_m0p6_nesterov,False,True,1,2,0.33,0.6,0.33,0.6,1.784432
0,fixed_m0p6_nesterov,False,True,1,2,0.33,0.6,0.2,0.6,1.559998
0,fixed_m0p6_nesterov,False,True,1,2,0.33,0.6,0.12,0.6,1.405959
0,fixed_m0p6_nesterov,False,True,1,2,0.33,0.6,0.072,0.6,1.374406
0,fixed_m0p6_nesterov,False,True,1,2,0.33,0.6,0.043,0.6,1.455414
0,fixed_m0p6_nesterov,False,True,1,2,0.2,0.6,0.33,0.6,1.773593
0,fixed_m0p6_nesterov,False,True,1,2,0.2,0.6,0.2,0.6,1.499436
0,fixed_m0p6_nesterov,False,True,1,2,0.2,0.6,0.12,0.6,1.371109
0,fixed_m0p6_nesterov,False,True,1,2,0.2,0.6,0.072,0.6,1.233893
0,fixed_m0p6_nesterov,False,True,1,2,0.2,0.6,0.043,0.6,1.280026
0,fixed_m0p6_nesterov,False,True,1,2,0.12,0.6,0.2,0.6,1.512649
0,fixed_m0p6_nesterov,False,True,1,2,0.12,0.6,0.12,0.6,1.359463
0,fixed_m0p6_nesterov,False,True,1,2,0.12,0.6,0.072,0.6,1.26166
0,fixed_m0p6_nesterov,False,True,1,2,0.12,0.6,0.043,0.6,1.206598
0,fixed_m0p6_nesterov,False,True,1,2,0.12,0.6,0.026,0.6,1.275396
0,fixed_m0p6_nesterov,False,True,1,2,0.072,0.6,0.12,0.6,1.360688
0,fixed_m0p6_nesterov,False,True,1,2,0.072,0.6,0.072,0.6,1.346731
0,fixed_m0p6_nesterov,False,True,1,2,0.072,0.6,0.043,0.6,1.260673
0,fixed_m0p6_nesterov,False,True,1,2,0.072,0.6,0.026,0.6,1.270316
0,fixed_m0p6_nesterov,False,True,2,4,0.33,0.6,0.56,0.6,1.819465
0,fixed_m0p6_nesterov,False,True,2,4,0.33,0.6,0.33,0.6,1.666837
0,fixed_m0p6_nesterov,False,True,2,4,0.33,0.6,0.2,0.6,1.32206
0,fixed_m0p6_nesterov,False,True,2,4,0.33,0.6,0.12,0.6,1.157438
0,fixed_m0p6_nesterov,False,True,2,4,0.33,0.6,0.072,0.6,1.156138
0,fixed_m0p6_nesterov,False,True,2,4,0.33,0.6,0.043,0.6,1.220216
0,fixed_m0p6_nesterov,False,True,2,4,0.2,0.6,0.33,0.6,1.588407
0,fixed_m0p6_nesterov,False,True,2,4,0.2,0.6,0.2,0.6,1.434561
0,fixed_m0p6_nesterov,False,True,2,4,0.2,0.6,0.12,0.6,1.137151
0,fixed_m0p6_nesterov,False,True,2,4,0.2,0.6,0.072,0.6,1.017402
0,fixed_m0p6_nesterov,False,True,2,4,0.2,0.6,0.043,0.6,1.026712
0,fixed_m0p6_nesterov,False,True,2,4,0.12,0.6,0.2,0.6,1.420042
0,fixed_m0p6_nesterov,False,True,2,4,0.12,0.6,0.12,0.6,1.226055
0,fixed_m0p6_nesterov,False,True,2,4,0.12,0.6,0.072,0.6,1.079203
0,fixed_m0p6_nesterov,False,True,2,4,0.12,0.6,0.043,0.6,1.022069
0,fixed_m0p6_nesterov,False,True,2,4,0.12,0.6,0.026,0.6,1.053814
0,fixed_m0p6_nesterov,False,True,2,4,0.072,0.6,0.12,0.6,1.137126
0,fixed_m0p6_nesterov,False,True,2,4,0.072,0.6,0.072,0.6,1.087633
0,fixed_m0p6_nesterov,False,True,2,4,0.072,0.6,0.043,0.6,1.023321
0,fixed_m0p6_nesterov,False,True,2,4,0.072,0.6,0.026,0.6,1.024185
0,fixed_m0p6_nesterov,False,True,3,6,0.33,0.6,0.56,0.6,1.986216
0,fixed_m0p6_nesterov,False,True,3,6,0.33,0.6,0.33,0.6,1.510226
0,fixed_m0p6_nesterov,False,True,3,6,0.33,0.6,0.2,0.6,1.173854
0,fixed_m0p6_nesterov,False,True,3,6,0.33,0.6,0.12,0.6,1.028082
0,fixed_m0p6_nesterov,False,True,3,6,0.33,0.6,0.072,0.6,1.011351
0,fixed_m0p6_nesterov,False,True,3,6,0.33,0.6,0.043,0.6,1.051114
0,fixed_m0p6_nesterov,False,True,3,6,0.2,0.6,0.33,0.6,1.496448
0,fixed_m0p6_nesterov,False,True,3,6,0.2,0.6,0.2,0.6,1.233894
0,fixed_m0p6_nesterov,False,True,3,6,0.2,0.6,0.12,0.6,1.007993
0,fixed_m0p6_nesterov,False,True,3,6,0.2,0.6,0.072,0.6,0.959792
0,fixed_m0p6_nesterov,False,True,3,6,0.2,0.6,0.043,0.6,0.978151
0,fixed_m0p6_nesterov,False,True,3,6,0.12,0.6,0.2,0.6,1.124792
0,fixed_m0p6_nesterov,False,True,3,6,0.12,0.6,0.12,0.6,1.061785
0,fixed_m0p6_nesterov,False,True,3,6,0.12,0.6,0.072,0.6,0.959394
0,fixed_m0p6_nesterov,False,True,3,6,0.12,0.6,0.043,0.6,0.932718
0,fixed_m0p6_nesterov,False,True,3,6,0.12,0.6,0.026,0.6,0.946669
0,fixed_m0p6_nesterov,False,True,3,6,0.072,0.6,0.12,0.6,1.000307
0,fixed_m0p6_nesterov,False,True,3,6,0.072,0.6,0.072,0.6,0.994018
0,fixed_m0p6_nesterov,False,True,3,6,0.072,0.6,0.043,0.6,0.91857
0,fixed_m0p6_nesterov,False,True,3,6,0.072,0.6,0.026,0.6,0.912674
0,fixed_m0p6_nesterov,False,True,3,6,0.072,0.6,0.016,0.6,0.928954
0,fixed_m0p6_nesterov,False,True,3,6,0.043,0.6,0.072,0.6,1.012694
0,fixed_m0p6_nesterov,False,True,3,6,0.043,0.6,0.043,0.6,0.938661
0,fixed_m0p6_nesterov,False,True,3,6,0.043,0.6,0.026,0.6,0.915168
0,fixed_m0p6_nesterov,False,True,3,6,0.043,0.6,0.016,0.6,0.934652
0,fixed_m0p6_nesterov,False,True,4,8,0.12,0.6,0.2,0.6,1.088622
0,fixed_m0p6_nesterov,False,True,4,8,0.12,0.6,0.12,0.6,0.999932
0,fixed_m0p6_nesterov,False,True,4,8,0.12,0.6,0.072,0.6,0.930269
0,fixed_m0p6_nesterov,False,True,4,8,0.12,0.6,0.043,0.6,0.901186
0,fixed_m0p6_nesterov,False,True,4,8,0.12,0.6,0.026,0.6,0.896426
0,fixed_m0p6_nesterov,False,True,4,8,0.12,0.6,0.016,0.6,0.90542
0,fixed_m0p6_nesterov,False,True,4,8,0.072,0.6,0.12,0.6,0.951329
0,fixed_m0p6_nesterov,False,True,4,8,0.072,0.6,0.072,0.6,0.95731
0,fixed_m0p6_nesterov,False,True,4,8,0.072,0.6,0.043,0.6,0.90856
0,fixed_m0p6_nesterov,False,True,4,8,0.072,0.6,0.026,0.6,0.896638
0,fixed_m0p6_nesterov,False,True,4,8,0.072,0.6,0.016,0.6,0.898407
0,fixed_m0p6_nesterov,False,True,4,8,0.043,0.6,0.072,0.6,0.935178
0,fixed_m0p6_nesterov,False,True,4,8,0.043,0.6,0.043,0.6,0.914534
0,fixed_m0p6_nesterov,False,True,4,8,0.043,0.6,0.026,0.6,0.888123
0,fixed_m0p6_nesterov,False,True,4,8,0.043,0.6,0.016,0.6,0.889883
0,fixed_m0p6_nesterov,False,True,4,8,0.026,0.6,0.043,0.6,0.923976
0,fixed_m0p6_nesterov,False,True,4,8,0.026,0.6,0.026,0.6,0.903155
0,fixed_m0p6_nesterov,False,True,4,8,0.026,0.6,0.016,0.6,0.886697
0,fixed_m0p6_nesterov,False,True,4,8,0.026,0.6,0.0093,0.6,0.891313
0,fixed_m0p6_nesterov,False,True,4,8,0.016,0.6,0.026,0.6,0.900795
0,fixed_m0p6_nesterov,False,True,4,8,0.016,0.6,0.016,0.6,0.893954
0,fixed_m0p6_nesterov,False,True,4,8,0.016,0.6,0.0093,0.6,0.899559
0,fixed_m0p6_nesterov,False,True,5,10,0.043,0.6,0.072,0.6,0.943506
0,fixed_m0p6_nesterov,False,True,5,10,0.043,0.6,0.043,0.6,0.911255
0,fixed_m0p6_nesterov,False,True,5,10,0.043,0.6,0.026,0.6,0.888138
0,fixed_m0p6_nesterov,False,True,5,10,0.043,0.6,0.016,0.6,0.883461
0,fixed_m0p6_nesterov,False,True,5,10,0.043,0.6,0.0093,0.6,0.882695
0,fixed_m0p6_nesterov,False,True,5,10,0.043,0.6,0.0056,0.6,0.8858
