run,momentum_config,search_momentum,muon_nesterov,interval_index,start_step,muon_lr,muon_momentum,cooldown_muon_lr,cooldown_muon_momentum,interval_loss,final_loss,evaluated_interval_configs,evaluated_configs
0,fixed_m0p6_nesterov,False,True,0,0,0.2,0.6,0.072,0.6,2.203367,1.63364,3,15
0,fixed_m0p6_nesterov,False,True,1,2,0.12,0.6,0.043,0.6,1.620513,1.206598,4,20
0,fixed_m0p6_nesterov,False,True,2,4,0.2,0.6,0.072,0.6,1.481898,1.017402,4,20
0,fixed_m0p6_nesterov,False,True,3,6,0.072,0.6,0.026,0.6,1.021792,0.912674,5,25
0,fixed_m0p6_nesterov,False,True,4,8,0.026,0.6,0.016,0.6,0.912791,0.886697,5,22
0,fixed_m0p6_nesterov,False,True,5,10,0.016,0.6,0.0093,0.6,0.886808,0.879469,4,17
0,fixed_m0p6_nesterov,False,True,6,12,0.0093,0.6,0.0056,0.6,0.879578,0.875201,4,18
0,fixed_m0p6_nesterov,False,True,7,14,0.0056,0.6,0.0034,0.6,0.875292,0.8733,4,16
0,fixed_m0p6_nesterov,False,True,8,16,0.0093,0.6,0.0056,0.6,0.874635,0.871714,4,17
0,fixed_m0p6_nesterov,False,True,9,18,0.0056,0.6,0.0034,0.6,0.871684,0.870341,4,18
0,fixed_m0p6_nesterov,False,True,10,20,0.0034,0.6,0.002,0.6,0.870348,0.869664,4,17
0,fixed_m0p6_nesterov,False,True,11,22,0.0034,0.6,0.002,0.6,0.869779,0.8692,3,12
0,fixed_m0p6_nesterov,False,True,12,24,0.0056,0.6,0.002,0.6,0.869668,0.868849,4,18
0,fixed_m0p6_nesterov,False,True,13,26,0.0034,0.6,0.002,0.6,0.869107,0.868426,4,18
0,fixed_m0p6_nesterov,False,True,14,28,0.002,0.6,0.0012,0.6,0.868431,0.868146,4,17
0,fixed_m0p6_nesterov,False,True,15,30,0.002,0.6,0.0012,0.6,0.868194,0.867975,3,12
0,fixed_m0p6_nesterov,False,True,16,32,0.0093,0.6,0.002,0.6,0.870263,0.867688,6,29
0,fixed_m0p6_nesterov,False,True,17,34,0.002,0.6,0.0012,0.6,0.867719,0.867454,6,28
0,fixed_m0p6_nesterov,False,True,18,36,0.0012,0.6,0.00073,0.6,0.867447,0.867358,4,17
0,fixed_m0p6_nesterov,False,True,19,38,0.00073,0.6,0.00073,0.6,0.86736,0.867308,4,15
0,fixed_m0p6_nesterov,False,True,20,40,0.0034,0.6,0.0012,0.6,0.86779,0.86723,6,25
0,fixed_m0p6_nesterov,False,True,21,42,0.002,0.6,0.00073,0.6,0.867426,0.867153,4,15
0,fixed_m0p6_nesterov,False,True,22,44,0.00073,0.6,0.00044,0.6,0.867157,0.867124,5,24
0,fixed_m0p6_nesterov,False,True,23,46,0.00073,0.6,0.00044,0.6,0.86713,0.867102,3,11
0,fixed_m0p6_nesterov,False,True,24,48,0.00044,0.6,,,0.867103,0.867103,4,4
1,search_momentum,True,False,0,0,0.12,0.5,0.12,0.9,2.205312,1.489844,10,170
1,search_momentum,True,False,1,2,0.12,0.5,0.043,0.6,1.458721,1.067623,5,67
1,search_momentum,True,False,2,4,0.043,0.6,0.026,0.6,1.070868,0.930354,13,115
1,search_momentum,True,False,3,6,0.016,0.6,0.026,0.8,0.954941,0.893433,11,108
1,search_momentum,True,False,4,8,0.026,0.6,0.0056,0.6,0.89595,0.883505,8,74
1,search_momentum,True,False,5,10,0.016,0.7,0.0093,0.7,0.887195,0.875439,10,82
1,search_momentum,True,False,6,12,0.0093,0.7,0.0056,0.7,0.876151,0.872044,8,70
1,search_momentum,True,False,7,14,0.0093,0.7,0.0056,0.7,0.874204,0.870214,5,43
1,search_momentum,True,False,8,16,0.0056,0.7,0.0034,0.7,0.870667,0.8692,8,64
1,search_momentum,True,False,9,18,0.0034,0.7,0.0034,0.7,0.869128,0.868493,8,55
1,search_momentum,True,False,10,20,0.0034,0.8,0.0034,0.8,0.868719,0.868019,8,73
1,search_momentum,True,False,11,22,0.0034,0.9,0.0034,0.9,0.868204,0.867577,7,43
1,search_momentum,True,False,12,24,0.002,0.9,0.0034,0.9,0.8677,0.867475,6,45
1,search_momentum,True,False,13,26,0.002,0.8,0.002,0.8,0.867624,0.8673,7,46
1,search_momentum,True,False,14,28,0.002,0.8,0.002,0.8,0.867692,0.867258,5,35
1,search_momentum,True,False,15,30,0.0012,0.8,0.00073,0.8,0.867313,0.867215,8,60
1,search_momentum,True,False,16,32,0.002,0.8,0.0012,0.8,0.867303,0.867127,8,56
1,search_momentum,True,False,17,34,0.0012,0.8,0.0012,0.8,0.867163,0.867077,8,57
1,search_momentum,True,False,18,36,0.0012,0.9,0.0012,0.9,0.867184,0.867035,7,50
1,search_momentum,True,False,19,38,0.00073,0.9,0.00044,0.9,0.86707,0.867029,6,40
1,search_momentum,True,False,20,40,0.0012,0.9,0.0012,0.9,0.867127,0.866998,6,35
1,search_momentum,True,False,21,42,0.00073,0.9,0.00044,0.9,0.867021,0.866992,6,42
1,search_momentum,True,False,22,44,0.00073,0.8,0.00073,0.8,0.867035,0.866967,7,45
1,search_momentum,True,False,23,46,0.00044,0.8,0.00026,0.8,0.866983,0.866968,8,57
1,search_momentum,True,False,24,48,0.00026,0.8,,,0.86697,0.86697,8,8
