source,run,label,momentum_config,search_momentum,muon_nesterov,search_nesterov,interval_index,start_step,muon_lr,muon_momentum,selected_muon_nesterov,cooldown_muon_lr,cooldown_muon_momentum,cooldown_muon_nesterov,interval_loss,final_loss,evaluated_interval_configs,evaluated_configs
momentum2,0,"momentum2: run 0 - search_momentum_nesterov_false, search_nesterov=False",search_momentum_nesterov_false,True,False,False,0,0,0.12,0.6,False,0.072,0.6,False,2.206,1.646008,8,37
momentum2,0,"momentum2: run 0 - search_momentum_nesterov_false, search_nesterov=False",search_momentum_nesterov_false,True,False,False,1,2,0.12,0.8,False,0.043,0.8,False,1.514076,1.106091,11,51
momentum2,0,"momentum2: run 0 - search_momentum_nesterov_false, search_nesterov=False",search_momentum_nesterov_false,True,False,False,2,4,0.072,0.9,False,0.043,0.9,False,1.040451,0.921376,9,42
momentum2,0,"momentum2: run 0 - search_momentum_nesterov_false, search_nesterov=False",search_momentum_nesterov_false,True,False,False,3,6,0.043,0.9,False,0.026,0.9,False,0.917466,0.885994,6,32
momentum2,0,"momentum2: run 0 - search_momentum_nesterov_false, search_nesterov=False",search_momentum_nesterov_false,True,False,False,4,8,0.026,0.9,False,0.016,0.9,False,0.884794,0.87596,6,33
momentum2,0,"momentum2: run 0 - search_momentum_nesterov_false, search_nesterov=False",search_momentum_nesterov_false,True,False,False,5,10,0.016,0.9,False,0.0093,0.9,False,0.875846,0.870584,6,27
momentum2,0,"momentum2: run 0 - search_momentum_nesterov_false, search_nesterov=False",search_momentum_nesterov_false,True,False,False,6,12,0.0093,0.9,False,0.0056,0.9,False,0.870139,0.868656,6,28
momentum2,0,"momentum2: run 0 - search_momentum_nesterov_false, search_nesterov=False",search_momentum_nesterov_false,True,False,False,7,14,0.0093,0.8,False,0.0056,0.8,False,0.869082,0.867795,7,33
momentum2,0,"momentum2: run 0 - search_momentum_nesterov_false, search_nesterov=False",search_momentum_nesterov_false,True,False,False,8,16,0.0034,0.8,False,0.002,0.8,False,0.868005,0.867572,11,49
momentum2,0,"momentum2: run 0 - search_momentum_nesterov_false, search_nesterov=False",search_momentum_nesterov_false,True,False,False,9,18,0.002,0.8,False,0.002,0.8,False,0.867575,0.867372,8,32
momentum2,0,"momentum2: run 0 - search_momentum_nesterov_false, search_nesterov=False",search_momentum_nesterov_false,True,False,False,10,20,0.0034,0.8,False,0.002,0.8,False,0.86738,0.867192,8,29
momentum2,0,"momentum2: run 0 - search_momentum_nesterov_false, search_nesterov=False",search_momentum_nesterov_false,True,False,False,11,22,0.0034,0.7,False,0.002,0.7,False,0.867465,0.867126,8,31
momentum2,0,"momentum2: run 0 - search_momentum_nesterov_false, search_nesterov=False",search_momentum_nesterov_false,True,False,False,12,24,0.002,0.7,False,0.002,0.7,False,0.867135,0.867053,8,33
momentum2,0,"momentum2: run 0 - search_momentum_nesterov_false, search_nesterov=False",search_momentum_nesterov_false,True,False,False,13,26,0.0012,0.8,False,0.0012,0.8,False,0.867113,0.867026,10,38
momentum2,0,"momentum2: run 0 - search_momentum_nesterov_false, search_nesterov=False",search_momentum_nesterov_false,True,False,False,14,28,0.00073,0.8,False,0.0012,0.8,False,0.867034,0.867003,8,34
momentum2,0,"momentum2: run 0 - search_momentum_nesterov_false, search_nesterov=False",search_momentum_nesterov_false,True,False,False,15,30,0.0012,0.8,False,0.0012,0.8,False,0.867013,0.866983,8,29
momentum2,0,"momentum2: run 0 - search_momentum_nesterov_false, search_nesterov=False",search_momentum_nesterov_false,True,False,False,16,32,0.002,0.8,False,0.0012,0.8,False,0.867072,0.866953,8,30
momentum2,0,"momentum2: run 0 - search_momentum_nesterov_false, search_nesterov=False",search_momentum_nesterov_false,True,False,False,17,34,0.0012,0.8,False,0.00044,0.8,False,0.867003,0.866947,8,38
momentum2,0,"momentum2: run 0 - search_momentum_nesterov_false, search_nesterov=False",search_momentum_nesterov_false,True,False,False,18,36,0.00073,0.8,False,0.00026,0.8,False,0.866967,0.866936,8,35
momentum2,0,"momentum2: run 0 - search_momentum_nesterov_false, search_nesterov=False",search_momentum_nesterov_false,True,False,False,19,38,0.00044,0.8,False,0.00016,0.8,False,0.866943,0.866932,8,35
momentum2,0,"momentum2: run 0 - search_momentum_nesterov_false, search_nesterov=False",search_momentum_nesterov_false,True,False,False,20,40,0.00073,0.9,False,0.00044,0.9,False,0.86699,0.866927,8,31
momentum2,0,"momentum2: run 0 - search_momentum_nesterov_false, search_nesterov=False",search_momentum_nesterov_false,True,False,False,21,42,0.00044,0.9,False,9.4e-05,0.9,False,0.866931,0.866924,6,31
