run,batch_size,N,M,interval_scheduler,lr_connectedness,val_acc,tta_val_acc,final_train_loss,final_muon_lr,final_muon_momentum,final_cooldown_muon_lr,run_seconds
0,2000,80,80,constant,jump_allowed,0.925800,0.938800,0.947201,0.016,0.4,0.016,238.688
1,2000,80,60,constant,jump_allowed,0.925800,0.938800,0.947201,0.016,0.4,0.016,221.659
2,2000,80,40,constant,jump_allowed,0.925800,0.938800,0.947201,0.016,0.4,0.016,198.474
3,2000,80,20,constant,jump_allowed,0.925800,0.938800,0.947201,0.016,0.4,0.016,150.093
4,2000,80,10,constant,jump_allowed,0.928500,0.937100,0.931009,0.0056,0.6,0.0056,143.583
5,2000,60,80,constant,jump_allowed,0.927600,0.939600,0.940878,0.016,0.4,0.016,417.465
6,2000,60,60,constant,jump_allowed,0.929000,0.939000,0.955122,0.016,0.2,0.016,330.208
7,2000,60,40,constant,jump_allowed,0.929100,0.938400,0.940998,0.002,0.5,0.002,276.516
8,2000,60,20,constant,jump_allowed,0.928200,0.935900,0.936972,0.0093,0.7,0.0093,210.427
9,2000,60,10,constant,jump_allowed,0.924900,0.935500,0.943030,0.0093,0.4,0.0093,188.336
10,2000,40,80,constant,jump_allowed,0.926000,0.935800,0.944940,0.026,0.5,0.0093,469.175
11,2000,40,60,constant,jump_allowed,0.930500,0.939300,0.930846,0.0093,0.6,0.0093,367.671
12,2000,40,40,constant,jump_allowed,0.928900,0.940000,0.940144,0.016,0.4,0.016,295.975
13,2000,40,20,constant,jump_allowed,0.925000,0.939000,0.926274,0.016,0.0,0.0093,234.820
14,2000,40,10,constant,jump_allowed,0.924400,0.934900,0.937781,0.016,0.2,0.0093,185.823
15,2000,20,80,constant,jump_allowed,0.925100,0.939400,0.945966,0.026,0.4,0.0093,957.353
16,2000,20,60,constant,jump_allowed,0.930200,0.940000,0.932816,0.0093,0.3,0.0093,768.953
17,2000,20,40,constant,jump_allowed,0.924300,0.937000,0.939729,0.016,0.0,0.016,603.857
18,2000,20,20,constant,jump_allowed,0.926500,0.937400,0.933695,0.0093,0.5,0.0012,415.087
19,2000,20,10,constant,jump_allowed,0.922900,0.931800,0.939961,0.0093,0.0,0.0056,296.691
20,2000,10,80,constant,jump_allowed,0.929300,0.937700,0.970457,0.0093,0.6,0.0093,1801.734
21,2000,10,60,constant,jump_allowed,0.929700,0.940200,0.940764,0.0056,0.1,0.0056,1644.819
22,2000,10,40,constant,jump_allowed,0.928600,0.940700,0.935338,0.0093,0.1,0.0093,1070.129
23,2000,10,20,constant,jump_allowed,0.921700,0.934600,0.939910,0.016,0.3,0.016,824.056
24,2000,10,10,constant,jump_allowed,0.922900,0.932600,0.951859,0.002,0.7,0.002,572.275
