round,candidate,step,lr_mult,loss,avg3
1,4,1,1.75,9.011397,9.011397
1,4,2,1.75,9.376301,9.193849
1,4,3,1.75,8.088994,8.825564
1,4,4,1.75,6.912143,8.125813
1,4,5,1.75,6.606214,7.20245
1,4,6,1.75,6.373852,6.630736
1,4,7,1.75,6.171095,6.38372
1,4,8,1.75,6.025126,6.190025
1,4,9,1.75,5.907204,6.034475
1,4,10,1.75,5.847484,5.926605
2,1,11,1.05,5.779325,5.779325
2,1,12,1.05,5.71454,5.746933
2,1,13,1.05,5.700194,5.731353
2,1,14,1.05,5.65477,5.689835
2,1,15,1.05,5.608716,5.65456
2,1,16,1.05,5.626793,5.630093
2,1,17,1.05,5.605576,5.613695
2,1,18,1.05,5.536834,5.589734
2,1,19,1.05,5.525029,5.555813
2,1,20,1.05,5.504625,5.522163
3,3,21,1.05,5.509753,5.509753
3,3,22,1.05,5.485579,5.497666
3,3,23,1.05,5.448153,5.481162
3,3,24,1.05,5.42279,5.452174
3,3,25,1.05,5.414653,5.428532
3,3,26,1.05,5.322504,5.386649
3,3,27,1.05,5.351855,5.363004
3,3,28,1.05,5.361971,5.345443
3,3,29,1.05,5.339741,5.351189
3,3,30,1.05,5.277966,5.326559
4,3,31,1.05,5.269058,5.269058
4,3,32,1.05,5.24117,5.255114
4,3,33,1.05,5.200284,5.236838
4,3,34,1.05,5.210245,5.217233
4,3,35,1.05,5.152885,5.187805
4,3,36,1.05,5.130987,5.164706
4,3,37,1.05,5.14371,5.142527
4,3,38,1.05,5.079025,5.117908
4,3,39,1.05,5.071833,5.098189
4,3,40,1.05,5.043957,5.064938
5,2,41,0.84,5.016795,5.016795
5,2,42,0.84,4.996582,5.006688
5,2,43,0.84,4.989475,5.000951
5,2,44,0.84,4.937263,4.97444
5,2,45,0.84,4.941441,4.95606
5,2,46,0.84,4.945092,4.941265
5,2,47,0.84,4.928182,4.938238
5,2,48,0.84,4.881784,4.918353
5,2,49,0.84,4.874462,4.894809
5,2,50,0.84,4.860576,4.872274
6,2,51,0.672,4.829562,4.829562
6,2,52,0.672,4.797019,4.81329
6,2,53,0.672,4.744484,4.790355
6,2,54,0.672,4.801075,4.780859
6,2,55,0.672,4.749059,4.764873
6,2,56,0.672,4.730807,4.760314
6,2,57,0.672,4.715241,4.731702
6,2,58,0.672,4.729028,4.725025
6,2,59,0.672,4.742028,4.728766
6,2,60,0.672,4.656075,4.709044
7,2,61,0.5376,4.656299,4.656299
7,2,62,0.5376,4.587206,4.621753
7,2,63,0.5376,4.623017,4.622174
7,2,64,0.5376,4.62987,4.613365
7,2,65,0.5376,4.617257,4.623382
7,2,66,0.5376,4.591166,4.612765
7,2,67,0.5376,4.549887,4.586103
7,2,68,0.5376,4.590937,4.57733
7,2,69,0.5376,4.545691,4.562171
7,2,70,0.5376,4.50919,4.548606
8,3,71,0.5376,4.53814,4.53814
8,3,72,0.5376,4.448453,4.493296
8,3,73,0.5376,4.505921,4.497505
8,3,74,0.5376,4.462036,4.472137
8,3,75,0.5376,4.483532,4.48383
8,3,76,0.5376,4.444659,4.463409
8,3,77,0.5376,4.427012,4.451734
8,3,78,0.5376,4.382811,4.41816
8,3,79,0.5376,4.381824,4.397216
8,3,80,0.5376,4.398553,4.387729
9,3,81,0.5376,4.385486,4.385486
9,3,82,0.5376,4.389654,4.38757
9,3,83,0.5376,4.328833,4.367991
9,3,84,0.5376,4.325635,4.348041
9,3,85,0.5376,4.32149,4.325319
9,3,86,0.5376,4.361417,4.336181
9,3,87,0.5376,4.287887,4.323598
9,3,88,0.5376,4.247583,4.298962
9,3,89,0.5376,4.293193,4.276221
9,3,90,0.5376,4.251107,4.263961
10,2,91,0.43008,4.244452,4.244452
10,2,92,0.43008,4.276201,4.260326
10,2,93,0.43008,4.223814,4.248155
10,2,94,0.43008,4.19288,4.230965
10,2,95,0.43008,4.199471,4.205388
10,2,96,0.43008,4.139796,4.177382
10,2,97,0.43008,4.170123,4.169796
10,2,98,0.43008,4.13047,4.146796
10,2,99,0.43008,4.088872,4.129822
10,2,100,0.43008,4.127444,4.115595
11,3,101,0.43008,4.189395,4.189395
11,3,102,0.43008,4.146387,4.167891
11,3,103,0.43008,4.108688,4.148157
11,3,104,0.43008,4.071993,4.109023
11,3,105,0.43008,4.100083,4.093588
11,3,106,0.43008,4.089634,4.087237
11,3,107,0.43008,4.076777,4.088831
11,3,108,0.43008,4.059988,4.075466
11,3,109,0.43008,4.006344,4.047703
11,3,110,0.43008,4.006274,4.024202
12,2,111,0.344064,4.021912,4.021912
12,2,112,0.344064,4.065155,4.043533
12,2,113,0.344064,4.045357,4.044141
12,2,114,0.344064,4.031594,4.047369
12,2,115,0.344064,3.986072,4.021008
12,2,116,0.344064,4.010377,4.009348
12,2,117,0.344064,4.018788,4.005079
12,2,118,0.344064,3.951907,3.993691
12,2,119,0.344064,3.975197,3.981964
12,2,120,0.344064,3.97491,3.967338
13,3,121,0.344064,4.011546,4.011546
13,3,122,0.344064,3.935959,3.973753
13,3,123,0.344064,3.949166,3.965557
13,3,124,0.344064,3.909134,3.93142
13,3,125,0.344064,3.92235,3.926883
13,3,126,0.344064,3.90749,3.912991
13,3,127,0.344064,3.881191,3.903677
13,3,128,0.344064,3.930751,3.906477
13,3,129,0.344064,3.93605,3.915997
13,3,130,0.344064,3.854994,3.907265
14,3,131,0.344064,3.878125,3.878125
14,3,132,0.344064,3.830664,3.854394
14,3,133,0.344064,3.902831,3.87054
14,3,134,0.344064,3.891824,3.875106
14,3,135,0.344064,3.825994,3.87355
14,3,136,0.344064,3.899028,3.872282
14,3,137,0.344064,3.827662,3.850895
14,3,138,0.344064,3.822799,3.84983
14,3,139,0.344064,3.785729,3.812063
14,3,140,0.344064,3.819432,3.80932
15,2,141,0.275251,3.77449,3.77449
15,2,142,0.275251,3.811788,3.793139
15,2,143,0.275251,3.817489,3.801255
15,2,144,0.275251,3.809937,3.813071
15,2,145,0.275251,3.798947,3.808791
15,2,146,0.275251,3.817828,3.808904
15,2,147,0.275251,3.811608,3.809461
15,2,148,0.275251,3.736922,3.788786
15,2,149,0.275251,3.824581,3.791037
15,2,150,0.275251,3.772043,3.777848
16,2,151,0.220201,3.768497,3.768497
16,2,152,0.220201,3.768115,3.768306
16,2,153,0.220201,3.744516,3.760376
16,2,154,0.220201,3.755684,3.756105
16,2,155,0.220201,3.754976,3.751725
16,2,156,0.220201,3.768751,3.759804
16,2,157,0.220201,3.753061,3.758929
16,2,158,0.220201,3.801912,3.774575
16,2,159,0.220201,3.760766,3.771913
16,2,160,0.220201,3.761631,3.774769
17,2,161,0.176161,3.686792,3.686792
17,2,162,0.176161,3.69424,3.690516
17,2,163,0.176161,3.665771,3.682268
17,2,164,0.176161,3.711543,3.690518
17,2,165,0.176161,3.663385,3.680233
17,2,166,0.176161,3.654987,3.676639
17,2,167,0.176161,3.664793,3.661055
17,2,168,0.176161,3.70337,3.674384
17,2,169,0.176161,3.769742,3.712635
17,2,170,0.176161,3.635556,3.702889
18,3,171,0.176161,3.680687,3.680687
18,3,172,0.176161,3.716271,3.698479
18,3,173,0.176161,3.65708,3.684679
18,3,174,0.176161,3.705426,3.692926
18,3,175,0.176161,3.624851,3.662452
18,3,176,0.176161,3.717344,3.68254
18,3,177,0.176161,3.701624,3.681273
18,3,178,0.176161,3.543769,3.654246
18,3,179,0.176161,3.697336,3.647577
18,3,180,0.176161,3.647697,3.629601
19,2,181,0.140929,3.630478,3.630478
19,2,182,0.140929,3.65627,3.643374
19,2,183,0.140929,3.631494,3.639414
19,2,184,0.140929,3.708906,3.665557
19,2,185,0.140929,3.602029,3.647476
19,2,186,0.140929,3.607757,3.639564
19,2,187,0.140929,3.675967,3.628584
19,2,188,0.140929,3.62744,3.637055
19,2,189,0.140929,3.577266,3.626891
19,2,190,0.140929,3.633464,3.612723
20,3,191,0.140929,3.529219,3.529219
20,3,192,0.140929,3.537707,3.533463
20,3,193,0.140929,3.612872,3.559933
20,3,194,0.140929,3.563931,3.571503
20,3,195,0.140929,3.634491,3.603765
20,3,196,0.140929,3.674588,3.624337
20,3,197,0.140929,3.653599,3.654226
20,3,198,0.140929,3.604984,3.64439
20,3,199,0.140929,3.643358,3.63398
20,3,200,0.140929,3.556944,3.601762
21,3,201,0.140929,3.584941,3.584941
21,3,202,0.140929,3.609742,3.597341
21,3,203,0.140929,3.54958,3.581421
21,3,204,0.140929,3.605294,3.588205
21,3,205,0.140929,3.547979,3.567618
21,3,206,0.140929,3.602559,3.585277
21,3,207,0.140929,3.587059,3.579199
21,3,208,0.140929,3.611893,3.600504
21,3,209,0.140929,3.588619,3.595857
21,3,210,0.140929,3.562657,3.587723
22,2,211,0.112743,3.531222,3.531222
22,2,212,0.112743,3.595636,3.563429
22,2,213,0.112743,3.566045,3.564301
22,2,214,0.112743,3.576079,3.579253
22,2,215,0.112743,3.591609,3.577911
22,2,216,0.112743,3.587719,3.585136
22,2,217,0.112743,3.570857,3.583395
22,2,218,0.112743,3.623212,3.593929
22,2,219,0.112743,3.565053,3.586374
22,2,220,0.112743,3.627254,3.605173
23,3,221,0.112743,3.624312,3.624312
23,3,222,0.112743,3.581745,3.603028
23,3,223,0.112743,3.588374,3.598144
23,3,224,0.112743,3.536075,3.568731
23,3,225,0.112743,3.589633,3.57136
23,3,226,0.112743,3.496361,3.540689
23,3,227,0.112743,3.608492,3.564828
23,3,228,0.112743,3.600255,3.568369
