Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
===
Beam search k=1, segment=20, cooldown=20
Seed: 42
Target steps: 1160
Effective total steps: 1160
Segment steps: 20
Cooldown steps: 20
Initial LR_MULTs: (0.5, 0.75, 1.0, 1.25, 1.5, 1.75, 2.0)
Child LR factors: (0.8, 1.0, 1.2)
Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_sizes': (256, 256, 256, 2048, 256, 256, 256, 2048)}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.107668e+08
Device batch size: 64
Gradient accumulation steps: 1
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
---
Round 1/58: fixed steps 1-20, cooldown scoring steps 21-40
  candidate 1/7 | parent_step=0 | LR_MULT=0.5

    step 0001/1160 | LR_MULT 0.5 | loss 9.011397 | avg3 9.011397 | dt 10546ms | tok/sec 12,428 | mfu 0.3% | epoch 1    
    step 0002/1160 | LR_MULT 0.5 | loss 9.105692 | avg3 9.058545 | dt 221ms | tok/sec 592,137 | mfu 12.6% | epoch 1    
    step 0003/1160 | LR_MULT 0.5 | loss 8.708855 | avg3 8.941981 | dt 227ms | tok/sec 578,627 | mfu 12.3% | epoch 1    
    step 0004/1160 | LR_MULT 0.5 | loss 8.223461 | avg3 8.679336 | dt 227ms | tok/sec 577,390 | mfu 12.3% | epoch 1    
    step 0005/1160 | LR_MULT 0.5 | loss 7.606606 | avg3 8.179641 | dt 228ms | tok/sec 574,350 | mfu 12.2% | epoch 1    
    step 0006/1160 | LR_MULT 0.5 | loss 7.270858 | avg3 7.700308 | dt 227ms | tok/sec 578,503 | mfu 12.3% | epoch 1    
    step 0007/1160 | LR_MULT 0.5 | loss 7.059428 | avg3 7.312298 | dt 227ms | tok/sec 576,160 | mfu 12.3% | epoch 1    
    step 0008/1160 | LR_MULT 0.5 | loss 6.793931 | avg3 7.041406 | dt 228ms | tok/sec 576,048 | mfu 12.3% | epoch 1    
    step 0009/1160 | LR_MULT 0.5 | loss 6.625468 | avg3 6.826276 | dt 229ms | tok/sec 573,241 | mfu 12.2% | epoch 1    
    step 0010/1160 | LR_MULT 0.5 | loss 6.466554 | avg3 6.628651 | dt 229ms | tok/sec 573,445 | mfu 12.2% | epoch 1    
    step 0011/1160 | LR_MULT 0.5 | loss 6.335769 | avg3 6.475930 | dt 226ms | tok/sec 580,390 | mfu 12.4% | epoch 1    
    step 0012/1160 | LR_MULT 0.5 | loss 6.215490 | avg3 6.339271 | dt 226ms | tok/sec 579,572 | mfu 12.3% | epoch 1    
    step 0013/1160 | LR_MULT 0.5 | loss 6.137975 | avg3 6.229744 | dt 229ms | tok/sec 571,501 | mfu 12.2% | epoch 1    
    step 0014/1160 | LR_MULT 0.5 | loss 6.059706 | avg3 6.137723 | dt 229ms | tok/sec 572,308 | mfu 12.2% | epoch 1    
    step 0015/1160 | LR_MULT 0.5 | loss 5.973063 | avg3 6.056914 | dt 228ms | tok/sec 575,467 | mfu 12.3% | epoch 1    
    step 0016/1160 | LR_MULT 0.5 | loss 5.950493 | avg3 5.994420 | dt 226ms | tok/sec 578,709 | mfu 12.3% | epoch 1    
    step 0017/1160 | LR_MULT 0.5 | loss 5.912868 | avg3 5.945475 | dt 227ms | tok/sec 576,670 | mfu 12.3% | epoch 1    
    step 0018/1160 | LR_MULT 0.5 | loss 5.830558 | avg3 5.897973 | dt 230ms | tok/sec 568,746 | mfu 12.1% | epoch 1    
    step 0019/1160 | LR_MULT 0.5 | loss 5.815358 | avg3 5.852928 | dt 229ms | tok/sec 573,591 | mfu 12.2% | epoch 1    
    step 0020/1160 | LR_MULT 0.5 | loss 5.764546 | avg3 5.803487 | dt 227ms | tok/sec 576,486 | mfu 12.3% | epoch 1    
    cooldown scoring | steps 21-40 | base LR_MULT=0.5

    step 0021/40 | LR_MULT 0.475 | loss 5.761987 | avg3 5.761987 | dt 225ms | tok/sec 583,754 | mfu 12.4% | epoch 1    
    step 0022/40 | LR_MULT 0.45 | loss 5.724690 | avg3 5.743339 | dt 227ms | tok/sec 577,413 | mfu 12.3% | epoch 1    
    step 0023/40 | LR_MULT 0.425 | loss 5.688943 | avg3 5.725207 | dt 229ms | tok/sec 572,503 | mfu 12.2% | epoch 1    
    step 0024/40 | LR_MULT 0.4 | loss 5.645499 | avg3 5.686378 | dt 231ms | tok/sec 568,422 | mfu 12.1% | epoch 1    
    step 0025/40 | LR_MULT 0.375 | loss 5.637254 | avg3 5.657232 | dt 228ms | tok/sec 574,290 | mfu 12.2% | epoch 1    
    step 0026/40 | LR_MULT 0.35 | loss 5.566933 | avg3 5.616562 | dt 229ms | tok/sec 573,498 | mfu 12.2% | epoch 1    
    step 0027/40 | LR_MULT 0.325 | loss 5.589711 | avg3 5.597966 | dt 229ms | tok/sec 573,124 | mfu 12.2% | epoch 1    
    step 0028/40 | LR_MULT 0.3 | loss 5.600452 | avg3 5.585699 | dt 228ms | tok/sec 574,180 | mfu 12.2% | epoch 1    
    step 0029/40 | LR_MULT 0.275 | loss 5.584713 | avg3 5.591625 | dt 228ms | tok/sec 573,807 | mfu 12.2% | epoch 1    
    step 0030/40 | LR_MULT 0.25 | loss 5.529354 | avg3 5.571506 | dt 228ms | tok/sec 575,046 | mfu 12.2% | epoch 1    
    step 0031/40 | LR_MULT 0.225 | loss 5.517663 | avg3 5.543910 | dt 228ms | tok/sec 573,944 | mfu 12.2% | epoch 1    
    step 0032/40 | LR_MULT 0.2 | loss 5.506206 | avg3 5.517741 | dt 230ms | tok/sec 571,058 | mfu 12.2% | epoch 1    
    step 0033/40 | LR_MULT 0.175 | loss 5.485253 | avg3 5.503041 | dt 229ms | tok/sec 571,698 | mfu 12.2% | epoch 1    
    step 0034/40 | LR_MULT 0.15 | loss 5.509066 | avg3 5.500175 | dt 228ms | tok/sec 575,602 | mfu 12.3% | epoch 1    
    step 0035/40 | LR_MULT 0.125 | loss 5.460476 | avg3 5.484932 | dt 230ms | tok/sec 569,369 | mfu 12.1% | epoch 1    
    step 0036/40 | LR_MULT 0.1 | loss 5.459169 | avg3 5.476237 | dt 228ms | tok/sec 575,146 | mfu 12.3% | epoch 1    
    step 0037/40 | LR_MULT 0.075 | loss 5.477674 | avg3 5.465773 | dt 227ms | tok/sec 576,840 | mfu 12.3% | epoch 1    
    step 0038/40 | LR_MULT 0.05 | loss 5.439737 | avg3 5.458860 | dt 228ms | tok/sec 573,781 | mfu 12.2% | epoch 1    
