Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.390784e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011397 | lrm: 1.00 | dt: 8587ms | tok/sec: 15,264 | mfu: 0.4% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.154491 | lrm: 1.00 | dt: 236ms | tok/sec: 554,318 | mfu: 13.4% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.980862 | lrm: 1.00 | dt: 240ms | tok/sec: 547,182 | mfu: 13.2% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.574509 | lrm: 1.00 | dt: 237ms | tok/sec: 552,516 | mfu: 13.3% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.280329 | lrm: 1.00 | dt: 240ms | tok/sec: 547,070 | mfu: 13.2% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.949005 | lrm: 1.00 | dt: 238ms | tok/sec: 549,616 | mfu: 13.3% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.657879 | lrm: 1.00 | dt: 240ms | tok/sec: 546,875 | mfu: 13.2% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.415206 | lrm: 1.00 | dt: 239ms | tok/sec: 548,721 | mfu: 13.3% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.210602 | lrm: 1.00 | dt: 240ms | tok/sec: 547,037 | mfu: 13.2% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.032731 | lrm: 1.00 | dt: 240ms | tok/sec: 545,177 | mfu: 13.2% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.873997 | lrm: 1.00 | dt: 239ms | tok/sec: 549,526 | mfu: 13.3% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.732649 | lrm: 1.00 | dt: 239ms | tok/sec: 548,959 | mfu: 13.3% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.611961 | lrm: 1.00 | dt: 240ms | tok/sec: 545,709 | mfu: 13.2% | epoch: 1 | remaining: 300s    
step 00013 (0.2%) | loss: 6.505329 | lrm: 1.00 | dt: 241ms | tok/sec: 543,937 | mfu: 13.1% | epoch: 1 | remaining: 299s    
step 00014 (0.2%) | loss: 6.407763 | lrm: 1.00 | dt: 241ms | tok/sec: 543,279 | mfu: 13.1% | epoch: 1 | remaining: 299s    
step 00015 (0.3%) | loss: 6.325095 | lrm: 1.00 | dt: 240ms | tok/sec: 546,683 | mfu: 13.2% | epoch: 1 | remaining: 299s    
step 00016 (0.4%) | loss: 6.251639 | lrm: 1.00 | dt: 240ms | tok/sec: 546,583 | mfu: 13.2% | epoch: 1 | remaining: 299s    
step 00017 (0.5%) | loss: 6.180289 | lrm: 1.00 | dt: 240ms | tok/sec: 546,146 | mfu: 13.2% | epoch: 1 | remaining: 298s    
step 00018 (0.6%) | loss: 6.116959 | lrm: 1.00 | dt: 240ms | tok/sec: 546,891 | mfu: 13.2% | epoch: 1 | remaining: 298s    
step 00019 (0.6%) | loss: 6.059888 | lrm: 1.00 | dt: 239ms | tok/sec: 547,910 | mfu: 13.2% | epoch: 1 | remaining: 298s    
step 00020 (0.7%) | loss: 6.009969 | lrm: 1.00 | dt: 240ms | tok/sec: 546,818 | mfu: 13.2% | epoch: 1 | remaining: 298s    
step 00021 (0.8%) | loss: 5.963627 | lrm: 1.00 | dt: 241ms | tok/sec: 543,960 | mfu: 13.1% | epoch: 1 | remaining: 297s    
step 00022 (0.9%) | loss: 5.919626 | lrm: 1.00 | dt: 242ms | tok/sec: 541,045 | mfu: 13.1% | epoch: 1 | remaining: 297s    
step 00023 (1.0%) | loss: 5.878059 | lrm: 1.00 | dt: 240ms | tok/sec: 546,465 | mfu: 13.2% | epoch: 1 | remaining: 297s    
step 00024 (1.0%) | loss: 5.840384 | lrm: 1.00 | dt: 240ms | tok/sec: 545,847 | mfu: 13.2% | epoch: 1 | remaining: 297s    
step 00025 (1.1%) | loss: 5.797488 | lrm: 1.00 | dt: 241ms | tok/sec: 543,123 | mfu: 13.1% | epoch: 1 | remaining: 296s    
step 00026 (1.2%) | loss: 5.763139 | lrm: 1.00 | dt: 241ms | tok/sec: 544,113 | mfu: 13.1% | epoch: 1 | remaining: 296s    
step 00027 (1.3%) | loss: 5.733170 | lrm: 1.00 | dt: 239ms | tok/sec: 548,135 | mfu: 13.2% | epoch: 1 | remaining: 296s    
step 00028 (1.4%) | loss: 5.704973 | lrm: 1.00 | dt: 240ms | tok/sec: 546,352 | mfu: 13.2% | epoch: 1 | remaining: 296s    
step 00029 (1.4%) | loss: 5.674531 | lrm: 1.00 | dt: 240ms | tok/sec: 547,074 | mfu: 13.2% | epoch: 1 | remaining: 295s    
step 00030 (1.5%) | loss: 5.646092 | lrm: 1.00 | dt: 241ms | tok/sec: 543,430 | mfu: 13.1% | epoch: 1 | remaining: 295s    
