Environment
  torch version: 2.11.0+cu128
  cuda available: True
  cuda device: NVIDIA A100-PCIE-40GB
  compute capability: 8.0
  total memory: 39.5 GiB
  bf16 supported: True
  initial float32 matmul precision: highest
  initial allow_tf32: False
  initial fp16 reduced reduction: True
  initial bf16 reduced reduction: True

Precision cases
  fp64_ground_truth    FP64 CUDA matmul; used as ground truth
  fp32_ieee            FP32 inputs, TF32 disabled
  tf32                 FP32 inputs with Ampere TF32 tensor-core path enabled
  fp32_medium          PyTorch medium internal precision for FP32 matmul
  bf16_reduced_off     BF16 inputs, reduced-precision reduction disabled if supported
  bf16_reduced_on      BF16 inputs, reduced-precision reduction enabled if supported
  fp16_reduced_off     FP16 inputs, reduced-precision reduction disabled if supported
  fp16_reduced_on      FP16 inputs, reduced-precision reduction enabled if supported

Setup: each trial draws FP64 Gaussian inputs, normalizes the matrix to Frobenius norm 1 and the vector to L2/Frobenius norm 1, then casts those same inputs to each precision case.
Dims: 16, 32, 64, 128, 256, 512, 1024, 2048, 4096
Trials per D: 5
Base seed: 12345

Results
      D  precision               rel_l2_mean    rel_l2_std    abs_l2_mean   rms_abs_mean   max_abs_mean
-----------------------------------------------------------------------------------------------------
     16  fp64_ground_truth      0.000000e+00  0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
     16  fp32_ieee              6.774900e-08  1.911438e-08   1.619926e-08   4.049815e-09   1.012729e-08
     16  tf32                   6.774900e-08  1.911438e-08   1.619926e-08   4.049815e-09   1.012729e-08
     16  fp32_medium            6.774900e-08  1.911438e-08   1.619926e-08   4.049815e-09   1.012729e-08
     16  bf16_reduced_off       2.906131e-03  5.851899e-04   6.952110e-04   1.738028e-04   3.710144e-04
     16  bf16_reduced_on        2.906131e-03  5.851899e-04   6.952110e-04   1.738028e-04   3.710144e-04
     16  fp16_reduced_off       3.876486e-04  1.295329e-04   9.230022e-05   2.307505e-05   4.944193e-05
     16  fp16_reduced_on        3.876486e-04  1.295329e-04   9.230022e-05   2.307505e-05   4.944193e-05

     32  fp64_ground_truth      0.000000e+00  0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
     32  fp32_ieee              6.059429e-08  1.269255e-08   1.054454e-08   1.864028e-09   4.548056e-09
     32  tf32                   6.059429e-08  1.269255e-08   1.054454e-08   1.864028e-09   4.548056e-09
     32  fp32_medium            6.059429e-08  1.269255e-08   1.054454e-08   1.864028e-09   4.548056e-09
     32  bf16_reduced_off       3.062203e-03  7.348433e-04   5.211692e-04   9.213056e-05   2.449412e-04
     32  bf16_reduced_on        3.062203e-03  7.348433e-04   5.211692e-04   9.213056e-05   2.449412e-04
     32  fp16_reduced_off       3.784202e-04  6.851083e-05   6.479950e-05   1.145504e-05   3.437058e-05
     32  fp16_reduced_on        3.784202e-04  6.851083e-05   6.479950e-05   1.145504e-05   3.437058e-05

     64  fp64_ground_truth      0.000000e+00  0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
     64  fp32_ieee              8.106597e-08  7.886620e-09   1.013015e-08   1.266269e-09   3.564859e-09
     64  tf32                   8.106597e-08  7.886620e-09   1.013015e-08   1.266269e-09   3.564859e-09
     64  fp32_medium            8.106597e-08  7.886620e-09   1.013015e-08   1.266269e-09   3.564859e-09
     64  bf16_reduced_off       2.836475e-03  2.002738e-04   3.556025e-04   4.445031e-05   1.190100e-04
     64  bf16_reduced_on        2.836475e-03  2.002738e-04   3.556025e-04   4.445031e-05   1.190100e-04
     64  fp16_reduced_off       3.611361e-04  3.186251e-05   4.564885e-05   5.706106e-06   1.772652e-05
     64  fp16_reduced_on        3.611361e-04  3.186251e-05   4.564885e-05   5.706106e-06   1.772652e-05

    128  fp64_ground_truth      0.000000e+00  0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
    128  fp32_ieee              8.132227e-08  3.476919e-09   7.434150e-09   6.570922e-10   1.942516e-09
    128  tf32                   8.132227e-08  3.476919e-09   7.434150e-09   6.570922e-10   1.942516e-09
    128  fp32_medium            8.132227e-08  3.476919e-09   7.434150e-09   6.570922e-10   1.942516e-09
    128  bf16_reduced_off       2.669212e-03  1.705492e-04   2.434583e-04   2.151887e-05   6.350662e-05
    128  bf16_reduced_on        2.669212e-03  1.705492e-04   2.434583e-04   2.151887e-05   6.350662e-05
    128  fp16_reduced_off       3.577833e-04  2.926258e-05   3.263821e-05   2.884838e-06   8.059267e-06
    128  fp16_reduced_on        3.577833e-04  2.926258e-05   3.263821e-05   2.884838e-06   8.059267e-06

    256  fp64_ground_truth      0.000000e+00  0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
    256  fp32_ieee              9.411784e-08  1.987576e-09   6.152625e-09   3.845391e-10   1.227830e-09
    256  tf32                   9.411784e-08  1.987576e-09   6.152625e-09   3.845391e-10   1.227830e-09
    256  fp32_medium            9.411784e-08  1.987576e-09   6.152625e-09   3.845391e-10   1.227830e-09
    256  bf16_reduced_off       2.836624e-03  5.477998e-05   1.855734e-04   1.159834e-05   3.600482e-05
    256  bf16_reduced_on        2.836624e-03  5.477998e-05   1.855734e-04   1.159834e-05   3.600482e-05
    256  fp16_reduced_off       3.535905e-04  2.404492e-05   2.308152e-05   1.442595e-06   5.151978e-06
    256  fp16_reduced_on        3.535905e-04  2.404492e-05   2.308152e-05   1.442595e-06   5.151978e-06

    512  fp64_ground_truth      0.000000e+00  0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
    512  fp32_ieee              1.020188e-07  6.765021e-09   4.562541e-09   2.016377e-10   7.368403e-10
    512  tf32                   1.020188e-07  6.765021e-09   4.562541e-09   2.016377e-10   7.368403e-10
    512  fp32_medium            1.020188e-07  6.765021e-09   4.562541e-09   2.016377e-10   7.368403e-10
    512  bf16_reduced_off       2.784938e-03  1.129398e-04   1.246286e-04   5.507859e-06   2.036362e-05
    512  bf16_reduced_on        2.784938e-03  1.129398e-04   1.246286e-04   5.507859e-06   2.036362e-05
    512  fp16_reduced_off       3.581691e-04  1.392827e-05   1.602978e-05   7.084230e-07   2.357144e-06
    512  fp16_reduced_on        3.581691e-04  1.392827e-05   1.602978e-05   7.084230e-07   2.357144e-06

   1024  fp64_ground_truth      0.000000e+00  0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   1024  fp32_ieee              1.239557e-07  2.192820e-09   3.874524e-09   1.210789e-10   4.408441e-10
   1024  tf32                   1.239557e-07  2.192820e-09   3.874524e-09   1.210789e-10   4.408441e-10
   1024  fp32_medium            1.239557e-07  2.192820e-09   3.874524e-09   1.210789e-10   4.408441e-10
   1024  bf16_reduced_off       2.905331e-03  7.611846e-05   9.080942e-05   2.837794e-06   1.080970e-05
   1024  bf16_reduced_on        2.905331e-03  7.611846e-05   9.080942e-05   2.837794e-06   1.080970e-05
   1024  fp16_reduced_off       3.642067e-04  6.872085e-06   1.138344e-05   3.557325e-07   1.312140e-06
   1024  fp16_reduced_on        3.642067e-04  6.872085e-06   1.138344e-05   3.557325e-07   1.312140e-06

   2048  fp64_ground_truth      0.000000e+00  0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   2048  fp32_ieee              1.411838e-07  3.165167e-09   3.096487e-09   6.842334e-11   3.457852e-10
   2048  tf32                   1.411838e-07  3.165167e-09   3.096487e-09   6.842334e-11   3.457852e-10
   2048  fp32_medium            1.411838e-07  3.165167e-09   3.096487e-09   6.842334e-11   3.457852e-10
   2048  bf16_reduced_off       2.878100e-03  2.054821e-05   6.312758e-05   1.394936e-06   5.432571e-06
   2048  bf16_reduced_on        2.878100e-03  2.054821e-05   6.312758e-05   1.394936e-06   5.432571e-06
