Momentum line-search summary

step  candidates  pre_train  selected_train  pre_second  selected_second  head_lr  muon_lr  head_m  muon_m
   1          17    4595.51         4310.48     4601.97          4448.61   0.4288   0.1229  []  []
   2         127    4310.48         3881.28     4448.61          4209.96     6.24   0.1229  [0.2]  [0.2]
   3         139    3881.28         3298.26     4209.96          4005.48    11.76  0.06291  [0.2, 0.9]  [0.2, 0.2]
   4         116    3298.26         2882.86     4005.48          3887.11    12.43  0.04788  [0.2, 0.9, 0.9]  [0.2, 0.2, 0.6]
   5          88    2882.86         2548.16     3887.11          3702.17    6.091  0.04505  [0.2, 0.9, 0.9, 0.8]  [0.2, 0.2, 0.6, 0.7]
   6          72    2548.16         2315.97     3702.17           3665.1    5.337  0.04239  [0.2, 0.9, 0.9, 0.8, 0.7]  [0.2, 0.2, 0.6, 0.7, 0.7]
   7          90    2315.97         2162.62      3665.1           3644.1    5.638  0.03191  [0.2, 0.9, 0.9, 0.8, 0.7, 0.8]  [0.2, 0.2, 0.6, 0.7, 0.7, 0.7]
   8          76    2162.62          2022.4      3644.1          3570.25    4.764   0.0372  [0.2, 0.9, 0.9, 0.8, 0.7, 0.8, 0.8]  [0.2, 0.2, 0.6, 0.7, 0.7, 0.7, 0.7]
   9         102     2022.4         1927.29     3570.25          3605.56    9.537  0.02801  [0.2, 0.9, 0.9, 0.8, 0.7, 0.8, 0.8, 0.8]  [0.2, 0.2, 0.6, 0.7, 0.7, 0.7, 0.7, 0.7]
  10          94    1927.29         1874.19     3605.56           3656.3    6.983   0.0209  [0.2, 0.9, 0.9, 0.8, 0.7, 0.8, 0.8, 0.8, 0.9]  [0.2, 0.2, 0.6, 0.7, 0.7, 0.7, 0.7, 0.7, 0.6]
  11          83    1874.19          1837.3      3656.3          3663.76    4.721  0.01936  [0.2, 0.9, 0.9, 0.8, 0.7, 0.8, 0.8, 0.8, 0.9, 0.8]  [0.2, 0.2, 0.6, 0.7, 0.7, 0.7, 0.7, 0.7, 0.6, 0.7]
  12         107     1837.3         1812.33     3663.76          3668.24    3.021  0.01434  [0.2, 0.9, 0.9, 0.8, 0.7, 0.8, 0.8, 0.8, 0.9, 0.8, 0.9]  [0.2, 0.2, 0.6, 0.7, 0.7, 0.7, 0.7, 0.7, 0.6, 0.7, 0.7]
  13          94    1812.33         1793.21     3668.24          3667.89    3.641  0.01651  [0.2, 0.9, 0.9, 0.8, 0.7, 0.8, 0.8, 0.8, 0.9, 0.8, 0.9, 0.9]  [0.2, 0.2, 0.6, 0.7, 0.7, 0.7, 0.7, 0.7, 0.6, 0.7, 0.7, 0.7]
  14         101    1793.21         1780.85     3667.89          3685.47    2.854  0.00783  [0.2, 0.9, 0.9, 0.8, 0.7, 0.8, 0.8, 0.8, 0.9, 0.8, 0.9, 0.9, 0.7]  [0.2, 0.2, 0.6, 0.7, 0.7, 0.7, 0.7, 0.7, 0.6, 0.7, 0.7, 0.7, 0.6]
  15         144    1780.85         1772.61     3685.47          3693.97    1.127  0.00894  [0.2, 0.9, 0.9, 0.8, 0.7, 0.8, 0.8, 0.8, 0.9, 0.8, 0.9, 0.9, 0.7, 0.9]  [0.2, 0.2, 0.6, 0.7, 0.7, 0.7, 0.7, 0.7, 0.6, 0.7, 0.7, 0.7, 0.6, 0.6]
  16         114    1772.61         1764.88     3693.97          3708.54    2.548  0.008196  [0.2, 0.9, 0.9, 0.8, 0.7, 0.8, 0.8, 0.8, 0.9, 0.8, 0.9, 0.9, 0.7, 0.9, 0.9]  [0.2, 0.2, 0.6, 0.7, 0.7, 0.7, 0.7, 0.7, 0.6, 0.7, 0.7, 0.7, 0.6, 0.6, 0.7]
  17         103    1764.88         1758.78     3708.54          3711.08    3.839  0.007514  [0.2, 0.9, 0.9, 0.8, 0.7, 0.8, 0.8, 0.8, 0.9, 0.8, 0.9, 0.9, 0.7, 0.9, 0.9, 0.9]  [0.2, 0.2, 0.6, 0.7, 0.7, 0.7, 0.7, 0.7, 0.6, 0.7, 0.7, 0.7, 0.6, 0.6, 0.7, 0.7]
  18         109    1758.78         1753.65     3711.08          3720.84    4.798  0.006889  [0.2, 0.9, 0.9, 0.8, 0.7, 0.8, 0.8, 0.8, 0.9, 0.8, 0.9, 0.9, 0.7, 0.9, 0.9, 0.9, 0.9]  [0.2, 0.2, 0.6, 0.7, 0.7, 0.7, 0.7, 0.7, 0.6, 0.7, 0.7, 0.7, 0.6, 0.6, 0.7, 0.7, 0.7]
  19         114    1753.65         1749.97     3720.84          3731.14    6.148  0.006316  [0.2, 0.9, 0.9, 0.8, 0.7, 0.8, 0.8, 0.8, 0.9, 0.8, 0.9, 0.9, 0.7, 0.9, 0.9, 0.9, 0.9, 0.9]  [0.2, 0.2, 0.6, 0.7, 0.7, 0.7, 0.7, 0.7, 0.6, 0.7, 0.7, 0.7, 0.6, 0.6, 0.7, 0.7, 0.7, 0.7]
  20         122    1749.97         1747.29     3731.14          3747.36    6.494  0.004632  [0.2, 0.9, 0.9, 0.8, 0.7, 0.8, 0.8, 0.8, 0.9, 0.8, 0.9, 0.9, 0.7, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]  [0.2, 0.2, 0.6, 0.7, 0.7, 0.7, 0.7, 0.7, 0.6, 0.7, 0.7, 0.7, 0.6, 0.6, 0.7, 0.7, 0.7, 0.7, 0.7]
