Momentum line-search summary

step  candidates  pre_train  selected_train  pre_second  selected_second  head_lr  muon_lr  head_m  muon_m
   1          18    4620.42         4304.25      4615.3          4445.07    0.343   0.1229  []  []
   2         114    4304.25         3990.56     4445.07           4282.4    2.556   0.1229  [0]  [0.2]
   3         210    3990.56          3430.7      4282.4          4098.64    8.212  0.06291  [0, 0.8]  [0, 0.4]
   4         189     3430.7         2950.73     4098.64          3826.12    4.056  0.05984  [0, 0.7, 0.7]  [0.1, 0.3, 0.6]
   5         354    2950.73         2553.23     3826.12          3772.51    7.638  0.05692  [0.2, 0.6, 0.8, 0.7]  [0, 0.3, 0.5, 0.6]
   6         495    2553.23         2258.16     3772.51          3642.51    8.413  0.04332  [0.3, 0.6, 0.8, 0.7, 0.8]  [0, 0, 0.2, 0.5, 0.6]
   7         542    2258.16          2058.4     3642.51          3612.54    8.625  0.04076  [0.3, 0.6, 0.8, 0.7, 0.8, 0.8]  [0, 0.2, 0.3, 0.3, 0.5, 0.6]
   8         473     2058.4         1947.27     3612.54          3622.11    5.322  0.03068  [0.2, 0.6, 0.8, 0.7, 0.8, 0.8, 0.8]  [0, 0.2, 0.4, 0.2, 0.4, 0.6, 0.6]
   9         995    1947.27          1877.8     3622.11          3605.72    5.621   0.0229  [0.2, 0.6, 0.8, 0.8, 0.7, 0.6, 0.9, 0.8]  [0, 0, 1, 0.6, 0.4, 0.6, 0.6, 0.6]
  10        1215     1877.8         1833.96     3605.72           3641.9      3.8  0.01697  [2.78e-17, 0.6, 0.8, 0.8, 0.7, 0.6, 0.8, 1, 1]  [0, 0.3, 0.6, 0.9, 0.8, 0.6, 0.5, 0.5, 0.6]
