# percentile = weighted fraction of best-lr count mass with lr <= target
# percentile values are fractions in [0, 1]
# run = cifar_line_search9_exp3_good_lr.log
  step         gt_lr      gt_lr_x2       log_pct    log_x2_pct   log_count
     0          0.24          0.48        0.6605         0.747        2000
     1        0.2388        0.4776         0.515          0.67        2000
     2        0.2376        0.4752          0.44        0.6705        2000
     3        0.2364        0.4728        0.5875        0.8175        2000
     4        0.2352        0.4704        0.6765         0.844        2000
     5         0.234         0.468        0.6365        0.7945        2000
     6        0.2328        0.4656         0.587        0.7705        2000
     7        0.2316        0.4632         0.592        0.7885        2000
     8        0.2304        0.4608         0.597         0.789        2000
     9        0.2292        0.4584        0.6525        0.8155        2000
    10         0.228         0.456        0.5955        0.7905        2000
    11        0.2268        0.4536         0.633         0.807        2000
    12        0.2256        0.4512        0.6295          0.84        2000
    13        0.2244        0.4488        0.6245        0.8325        2000
    14        0.2232        0.4464        0.6225         0.825        2000
    15         0.222         0.444         0.632         0.834        2000
    16        0.2208        0.4416         0.595         0.833        2000
    17        0.2196        0.4392         0.602        0.8475        2000
    18        0.2184        0.4368         0.603         0.816        2000
    19        0.2172        0.4344        0.6355         0.844        2000
    20         0.216         0.432          0.61        0.8315        2000
    21        0.2148        0.4296        0.6345        0.8495        2000
    22        0.2136        0.4272         0.666        0.8605        2000
    23        0.2124        0.4248        0.6645        0.8715        2000
    24        0.2112        0.4224        0.6615         0.844        2000
    25          0.21          0.42          0.64         0.865        2000
    26        0.2088        0.4176        0.6905         0.877        2000
    27        0.2076        0.4152        0.7055         0.889        2000
    28        0.2064        0.4128         0.674         0.859        2000
    29        0.2052        0.4104        0.6655         0.884        2000
    30         0.204         0.408        0.6495        0.8805        2000
    31        0.2028        0.4056        0.7225        0.9085        2000
    32        0.2016        0.4032         0.711         0.896        2000
    33        0.2004        0.4008         0.669        0.8825        2000
    34        0.1992        0.3984        0.7005          0.88        2000
    35         0.198         0.396        0.6585        0.8785        2000
    36        0.1968        0.3936        0.6975        0.8855        2000
    37        0.1956        0.3912         0.658        0.8785        2000
    38        0.1944        0.3888        0.6825         0.904        2000
    39        0.1932        0.3864         0.673        0.8795        2000
    40         0.192         0.384        0.6765         0.886        2000
    41        0.1908        0.3816        0.5705         0.847        2000
    42        0.1896        0.3792         0.583        0.8755        2000
    43        0.1884        0.3768        0.6295         0.919        2000
    44        0.1872        0.3744         0.618         0.891        2000
    45         0.186         0.372        0.5985          0.85        2000
    46        0.1848        0.3696         0.585         0.863        2000
    47        0.1836        0.3672         0.611        0.8575        2000
    48        0.1824        0.3648         0.594         0.859        2000
    49        0.1812        0.3624        0.6025          0.89        2000
    50          0.18          0.36        0.6235        0.8765        2000
    51        0.1788        0.3576         0.624         0.872        2000
    52        0.1776        0.3552        0.5895         0.862        2000
    53        0.1764        0.3528         0.602        0.8935        2000
    54        0.1752        0.3504        0.6075         0.876        2000
    55         0.174         0.348         0.613         0.886        2000
    56        0.1728        0.3456         0.607         0.885        2000
    57        0.1716        0.3432          0.64        0.8585        2000
    58        0.1704        0.3408         0.674        0.8915        2000
    59        0.1692        0.3384         0.688         0.893        2000
    60         0.168         0.336         0.665         0.876        2000
    61        0.1668        0.3336         0.618         0.867        2000
    62        0.1656        0.3312         0.684         0.902        2000
    63        0.1644        0.3288        0.6775         0.894        2000
    64        0.1632        0.3264         0.702         0.921        2000
    65         0.162         0.324        0.6795        0.8905        2000
    66        0.1608        0.3216         0.676        0.8855        2000
    67        0.1596        0.3192        0.6275        0.8785        2000
    68        0.1584        0.3168        0.6255         0.886        2000
    69        0.1572        0.3144         0.679         0.902        2000
    70         0.156         0.312        0.6705         0.883        2000
    71        0.1548        0.3096         0.669         0.918        2000
    72        0.1536        0.3072         0.741         0.928        2000
    73        0.1524        0.3048        0.5855         0.901        2000
    74        0.1512        0.3024         0.563        0.8975        2000
    75          0.15           0.3        0.5845        0.9275        2000
    76        0.1488        0.2976          0.57         0.862        2000
    77        0.1476        0.2952         0.611         0.873        2000
    78        0.1464        0.2928        0.6085        0.8755        2000
    79        0.1452        0.2904         0.587        0.8715        2000
    80         0.144         0.288         0.575        0.8645        2000
    81        0.1428        0.2856        0.5705         0.863        2000
    82        0.1416        0.2832          0.54        0.8425        2000
    83        0.1404        0.2808         0.592        0.8765        2000
    84        0.1392        0.2784         0.576         0.846        2000
    85         0.138         0.276        0.5695         0.882        2000
    86        0.1368        0.2736        0.6115         0.847        2000
    87        0.1356        0.2712        0.6155         0.869        2000
    88        0.1344        0.2688        0.6475        0.8685        2000
    89        0.1332        0.2664        0.6505        0.8905        2000
    90         0.132         0.264        0.6165        0.8515        2000
    91        0.1308        0.2616          0.64         0.879        2000
    92        0.1296        0.2592        0.6275        0.8845        2000
    93        0.1284        0.2568         0.704        0.8905        2000
    94        0.1272        0.2544        0.6285         0.875        2000
    95         0.126         0.252         0.655        0.8895        2000
    96        0.1248        0.2496         0.661        0.8815        2000
    97        0.1236        0.2472        0.6545        0.8955        2000
    98        0.1224        0.2448         0.521        0.9005        2000
    99        0.1212        0.2424         0.562         0.889        2000
   100          0.12          0.24        0.5075         0.876        2000
   101        0.1188        0.2376         0.547        0.8255        2000
   102        0.1176        0.2352         0.578          0.86        2000
   103        0.1164        0.2328         0.524         0.836        2000
   104        0.1152        0.2304         0.593        0.8615        2000
   105         0.114         0.228        0.5585         0.853        2000
   106        0.1128        0.2256        0.5525        0.8285        2000
   107        0.1116        0.2232         0.577         0.844        2000
   108        0.1104        0.2208         0.553         0.847        2000
   109        0.1092        0.2184        0.5645        0.8335        2000
   110         0.108         0.216         0.591         0.845        2000
   111        0.1068        0.2136        0.5875        0.8355        2000
   112        0.1056        0.2112          0.61        0.8595        2000
   113        0.1044        0.2088         0.634         0.871        2000
   114        0.1032        0.2064        0.6015        0.8575        2000
   115         0.102         0.204         0.612         0.871        2000
   116        0.1008        0.2016         0.626        0.8605        2000
   117        0.0996        0.1992        0.6345         0.886        2000
   118        0.0984        0.1968         0.587         0.839        2000
   119        0.0972        0.1944         0.506         0.859        2000
   120         0.096         0.192        0.5495        0.8805        2000
   121        0.0948        0.1896        0.5075         0.827        2000
   122        0.0936        0.1872        0.4935         0.778        2000
   123        0.0924        0.1848        0.4795         0.783        2000
   124        0.0912        0.1824        0.5465        0.8315        2000
   125          0.09          0.18        0.5205        0.8235        2000
   126        0.0888        0.1776        0.5555        0.8235        2000
   127        0.0876        0.1752         0.566        0.8295        2000
   128        0.0864        0.1728        0.5685         0.823        2000
   129        0.0852        0.1704        0.5655        0.8335        2000
   130         0.084         0.168         0.573        0.8305        2000
   131        0.0828        0.1656         0.541        0.8235        2000
   132        0.0816        0.1632         0.605         0.848        2000
   133        0.0804        0.1608        0.5855         0.862        2000
   134        0.0792        0.1584        0.5935        0.8495        2000
   135         0.078         0.156         0.417        0.8145        2000
   136        0.0768        0.1536         0.469        0.8255        2000
   137        0.0756        0.1512        0.4495         0.759        2000
   138        0.0744        0.1488        0.4945        0.7875        2000
   139        0.0732        0.1464          0.49         0.791        2000
   140         0.072         0.144         0.452        0.7405        2000
   141        0.0708        0.1416        0.4575         0.786        2000
   142        0.0696        0.1392        0.5025        0.7565        2000
   143        0.0684        0.1368        0.4955         0.788        2000
   144        0.0672        0.1344        0.4725        0.7555        2000
   145         0.066         0.132        0.4995        0.7675        2000
   146        0.0648        0.1296         0.533        0.8185        2000
   147        0.0636        0.1272        0.5395        0.8065        2000
   148        0.0624        0.1248        0.3975         0.787        2000
   149        0.0612        0.1224        0.4145         0.734        2000
   150          0.06          0.12         0.419        0.7485        2000
   151        0.0588        0.1176         0.384         0.701        2000
   152        0.0576        0.1152        0.4005        0.7095        2000
   153        0.0564        0.1128         0.391        0.7275        2000
   154        0.0552        0.1104        0.4415         0.725        2000
   155         0.054         0.108        0.4485        0.7345        2000
   156        0.0528        0.1056        0.4655        0.7575        2000
   157        0.0516        0.1032        0.4965         0.772        2000
   158        0.0504        0.1008        0.4245         0.731        2000
   159        0.0492        0.0984        0.3395         0.736        2000
   160         0.048         0.096         0.385        0.6785        2000
   161        0.0468        0.0936         0.357         0.666        2000
   162        0.0456        0.0912        0.3685         0.688        2000
   163        0.0444        0.0888         0.375         0.665        2000
   164        0.0432        0.0864        0.3735        0.6665        2000
   165         0.042         0.084        0.3635        0.6505        2000
   166        0.0408        0.0816        0.4035         0.706        2000
   167        0.0396        0.0792        0.3075        0.6775        2000
   168        0.0384        0.0768         0.314        0.6005        2000
   169        0.0372        0.0744        0.3065         0.571        2000
   170         0.036         0.072         0.333         0.588        2000
   171        0.0348        0.0696         0.285        0.5265        2000
   172        0.0336        0.0672        0.3065        0.5545        2000
   173        0.0324        0.0648        0.3125        0.5645        2000
   174        0.0312        0.0624          0.25          0.47        2000
   175          0.03          0.06         0.238         0.483        2000
   176        0.0288        0.0576        0.3015         0.532        2000
   177        0.0276        0.0552         0.278         0.502        2000
   178        0.0264        0.0528         0.283         0.534        2000
   179        0.0252        0.0504         0.264        0.5485        2000
   180         0.024         0.048        0.2515         0.431        2000
   181        0.0228        0.0456         0.241           0.4        2000
