CIFAR search summary
Input log: 20260707_065827_213717/cifar_search_bias_split.log
Output directory: 20260707_065827_213717/cifar_search_bias_split_plots
Curves plot: 20260707_065827_213717/cifar_search_bias_split_plots/curves.png
Landscape plot: 20260707_065827_213717/cifar_search_bias_split_plots/landscapes.png
More landscape plot: 20260707_065827_213717/cifar_search_bias_split_plots/landscapes_more.png

Run 0: batch_size=2000 train_epochs=8 n_steps=40 m_steps=40
Final val_acc=0.9305 tta_val_acc=0.9408 run_seconds=5.038e+04
Parsed 1378 main evaluations, 0 blocked main evaluations, 24700 cooldown candidates, 0 blocked candidates, 200 train-loss points.

Best main eval: interval=4 main=0.9408 muon_lr=0.01 momentum=0.8 whiten_bias_lr=1 bn_bias_lr=4.6 head_lr=170
Best eval cooldown: interval=3 best_cooldown=0.9417 main_muon_lr=0.028 main_momentum=0.8 main_whiten_bias_lr=1 main_bn_bias_lr=7.7 main_head_lr=21
Best cooldown candidate: interval=3 tta_val_acc=0.9417 muon_lr=0.01 momentum=0.8 whiten_bias_lr=1 bn_bias_lr=4.6 head_lr=1300

main:
interval=0 muon_lr=0.22 momentum=0.7 whiten_bias_lr=4.6 bn_bias_lr=60 head_lr=280 path_final_tta=0.9109
interval=1 muon_lr=0.078 momentum=0.7 whiten_bias_lr=2.8 bn_bias_lr=60 head_lr=280 path_final_tta=0.9291
interval=2 muon_lr=0.078 momentum=0.7 whiten_bias_lr=2.8 bn_bias_lr=60 head_lr=280 path_final_tta=0.9335
interval=3 muon_lr=0.028 momentum=0.8 whiten_bias_lr=1 bn_bias_lr=7.7 head_lr=4.6 path_final_tta=0.9409
interval=4 muon_lr=0.01 momentum=0.8 whiten_bias_lr=1 bn_bias_lr=4.6 head_lr=170 path_final_tta=0.9408

cooldown:
interval=0 muon_lr=0.028 momentum=0.7 whiten_bias_lr=7.7 bn_bias_lr=21 head_lr=770
interval=1 muon_lr=0.017 momentum=0.7 whiten_bias_lr=1 bn_bias_lr=7.7 head_lr=770
interval=2 muon_lr=0.017 momentum=0.7 whiten_bias_lr=1 bn_bias_lr=1 head_lr=1300
interval=3 muon_lr=0.01 momentum=0.8 whiten_bias_lr=1 bn_bias_lr=7.7 head_lr=60
interval=4 muon_lr=0.01 momentum=0.8 whiten_bias_lr=1 bn_bias_lr=4.6 head_lr=170

Main interval candidates and best cooldown hparams
interval=0
phase=main     score=0.5097   muon_lr=1        momentum=0.6      whiten_bias_lr=1        bn_bias_lr=1        head_lr=1       
phase=cooldown score=NA       muon_lr=NA       momentum=NA       whiten_bias_lr=NA       bn_bias_lr=NA       head_lr=NA      
phase=main     score=0.629    muon_lr=0.6      momentum=0.6      whiten_bias_lr=1        bn_bias_lr=1        head_lr=1       
phase=cooldown score=NA       muon_lr=NA       momentum=NA       whiten_bias_lr=NA       bn_bias_lr=NA       head_lr=NA      
phase=main     score=0.6875   muon_lr=0.36     momentum=0.6      whiten_bias_lr=1        bn_bias_lr=1        head_lr=1       
