cifar_baseline2 run=0 batch_size=125 muon_lr=0.04
step=1/3200 epoch=0 loss=2.2991 head_lr=83.75 muon_lr=0.04
step=2/3200 epoch=0 loss=2.2944 head_lr=83.7238 muon_lr=0.0399875
step=3/3200 epoch=0 loss=2.2752 head_lr=83.6977 muon_lr=0.039975
step=4/3200 epoch=0 loss=2.2656 head_lr=83.6715 muon_lr=0.0399625
step=5/3200 epoch=0 loss=2.2218 head_lr=83.6453 muon_lr=0.03995
step=6/3200 epoch=0 loss=2.2114 head_lr=83.6191 muon_lr=0.0399375
step=7/3200 epoch=0 loss=2.1930 head_lr=83.593 muon_lr=0.039925
step=8/3200 epoch=0 loss=2.1414 head_lr=83.5668 muon_lr=0.0399125
step=9/3200 epoch=0 loss=2.1230 head_lr=83.5406 muon_lr=0.0399
step=10/3200 epoch=0 loss=2.0946 head_lr=83.5145 muon_lr=0.0398875
step=11/3200 epoch=0 loss=2.1049 head_lr=83.4883 muon_lr=0.039875
step=12/3200 epoch=0 loss=2.0611 head_lr=83.4621 muon_lr=0.0398625
step=13/3200 epoch=0 loss=2.0246 head_lr=83.4359 muon_lr=0.03985
step=14/3200 epoch=0 loss=2.0773 head_lr=83.4098 muon_lr=0.0398375
step=15/3200 epoch=0 loss=2.0500 head_lr=83.3836 muon_lr=0.039825
step=16/3200 epoch=0 loss=1.9926 head_lr=83.3574 muon_lr=0.0398125
step=17/3200 epoch=0 loss=1.9947 head_lr=83.3312 muon_lr=0.0398
step=18/3200 epoch=0 loss=1.8987 head_lr=83.3051 muon_lr=0.0397875
step=19/3200 epoch=0 loss=1.9617 head_lr=83.2789 muon_lr=0.039775
step=20/3200 epoch=0 loss=1.9229 head_lr=83.2527 muon_lr=0.0397625
step=21/3200 epoch=0 loss=1.9350 head_lr=83.2266 muon_lr=0.03975
step=22/3200 epoch=0 loss=1.9149 head_lr=83.2004 muon_lr=0.0397375
step=23/3200 epoch=0 loss=1.8861 head_lr=83.1742 muon_lr=0.039725
step=24/3200 epoch=0 loss=1.8585 head_lr=83.148 muon_lr=0.0397125
step=25/3200 epoch=0 loss=1.8742 head_lr=83.1219 muon_lr=0.0397
step=26/3200 epoch=0 loss=1.8042 head_lr=83.0957 muon_lr=0.0396875
step=27/3200 epoch=0 loss=1.8204 head_lr=83.0695 muon_lr=0.039675
step=28/3200 epoch=0 loss=1.7357 head_lr=83.0434 muon_lr=0.0396625
step=29/3200 epoch=0 loss=1.7949 head_lr=83.0172 muon_lr=0.03965
step=30/3200 epoch=0 loss=1.8023 head_lr=82.991 muon_lr=0.0396375
step=31/3200 epoch=0 loss=1.7830 head_lr=82.9648 muon_lr=0.039625
