Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.390784e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011484 | lrm: 1.00 | dt: 9030ms | tok/sec: 29,028 | mfu: 0.7% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.173816 | lrm: 1.00 | dt: 471ms | tok/sec: 556,592 | mfu: 13.4% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.950383 | lrm: 1.00 | dt: 475ms | tok/sec: 551,828 | mfu: 13.3% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.766340 | lrm: 1.00 | dt: 472ms | tok/sec: 555,825 | mfu: 13.4% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.380421 | lrm: 1.00 | dt: 471ms | tok/sec: 556,083 | mfu: 13.4% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.044750 | lrm: 1.00 | dt: 473ms | tok/sec: 553,917 | mfu: 13.4% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.762129 | lrm: 1.00 | dt: 475ms | tok/sec: 552,426 | mfu: 13.3% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.521351 | lrm: 1.00 | dt: 474ms | tok/sec: 553,572 | mfu: 13.4% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.305838 | lrm: 1.00 | dt: 476ms | tok/sec: 550,865 | mfu: 13.3% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.113843 | lrm: 1.00 | dt: 475ms | tok/sec: 552,107 | mfu: 13.3% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.948126 | lrm: 1.00 | dt: 476ms | tok/sec: 551,195 | mfu: 13.3% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.797529 | lrm: 1.00 | dt: 476ms | tok/sec: 550,780 | mfu: 13.3% | epoch: 1 | remaining: 300s    
step 00012 (0.2%) | loss: 6.657292 | lrm: 1.00 | dt: 476ms | tok/sec: 550,941 | mfu: 13.3% | epoch: 1 | remaining: 299s    
step 00013 (0.3%) | loss: 6.541555 | lrm: 1.00 | dt: 476ms | tok/sec: 550,940 | mfu: 13.3% | epoch: 1 | remaining: 299s    
step 00014 (0.5%) | loss: 6.433349 | lrm: 1.00 | dt: 477ms | tok/sec: 549,838 | mfu: 13.3% | epoch: 1 | remaining: 298s    
step 00015 (0.6%) | loss: 6.336406 | lrm: 1.00 | dt: 477ms | tok/sec: 549,990 | mfu: 13.3% | epoch: 1 | remaining: 298s    
step 00016 (0.8%) | loss: 6.252494 | lrm: 1.00 | dt: 476ms | tok/sec: 551,124 | mfu: 13.3% | epoch: 1 | remaining: 297s    
step 00017 (1.0%) | loss: 6.172506 | lrm: 1.00 | dt: 477ms | tok/sec: 549,370 | mfu: 13.3% | epoch: 1 | remaining: 297s    
step 00018 (1.1%) | loss: 6.098822 | lrm: 1.00 | dt: 476ms | tok/sec: 550,980 | mfu: 13.3% | epoch: 1 | remaining: 296s    
step 00019 (1.3%) | loss: 6.032889 | lrm: 1.00 | dt: 478ms | tok/sec: 548,443 | mfu: 13.3% | epoch: 1 | remaining: 296s    
step 00020 (1.4%) | loss: 5.973228 | lrm: 1.00 | dt: 475ms | tok/sec: 551,781 | mfu: 13.3% | epoch: 1 | remaining: 295s    
step 00021 (1.6%) | loss: 5.919469 | lrm: 1.00 | dt: 479ms | tok/sec: 547,357 | mfu: 13.2% | epoch: 1 | remaining: 295s    
step 00022 (1.7%) | loss: 5.872193 | lrm: 1.00 | dt: 476ms | tok/sec: 551,104 | mfu: 13.3% | epoch: 1 | remaining: 294s    
step 00023 (1.9%) | loss: 5.826057 | lrm: 1.00 | dt: 479ms | tok/sec: 547,288 | mfu: 13.2% | epoch: 1 | remaining: 294s    
step 00024 (2.1%) | loss: 5.786476 | lrm: 1.00 | dt: 477ms | tok/sec: 549,109 | mfu: 13.3% | epoch: 1 | remaining: 293s    
step 00025 (2.2%) | loss: 5.746035 | lrm: 1.00 | dt: 477ms | tok/sec: 549,276 | mfu: 13.3% | epoch: 1 | remaining: 293s    
step 00026 (2.4%) | loss: 5.711129 | lrm: 1.00 | dt: 480ms | tok/sec: 546,642 | mfu: 13.2% | epoch: 1 | remaining: 292s    
step 00027 (2.5%) | loss: 5.676389 | lrm: 1.00 | dt: 477ms | tok/sec: 550,140 | mfu: 13.3% | epoch: 1 | remaining: 292s    
step 00028 (2.7%) | loss: 5.648227 | lrm: 1.00 | dt: 479ms | tok/sec: 547,091 | mfu: 13.2% | epoch: 1 | remaining: 291s    
step 00029 (2.9%) | loss: 5.616128 | lrm: 1.00 | dt: 479ms | tok/sec: 547,674 | mfu: 13.2% | epoch: 1 | remaining: 291s    
step 00030 (3.0%) | loss: 5.582986 | lrm: 1.00 | dt: 481ms | tok/sec: 545,369 | mfu: 13.2% | epoch: 1 | remaining: 290s    
step 00031 (3.2%) | loss: 5.556308 | lrm: 1.00 | dt: 476ms | tok/sec: 550,640 | mfu: 13.3% | epoch: 1 | remaining: 290s    
step 00032 (3.3%) | loss: 5.530101 | lrm: 1.00 | dt: 481ms | tok/sec: 545,213 | mfu: 13.2% | epoch: 1 | remaining: 289s    
step 00033 (3.5%) | loss: 5.507516 | lrm: 1.00 | dt: 480ms | tok/sec: 545,885 | mfu: 13.2% | epoch: 1 | remaining: 289s    
step 00034 (3.7%) | loss: 5.482366 | lrm: 1.00 | dt: 477ms | tok/sec: 549,125 | mfu: 13.3% | epoch: 1 | remaining: 289s    
step 00035 (3.8%) | loss: 5.456333 | lrm: 1.00 | dt: 482ms | tok/sec: 543,762 | mfu: 13.1% | epoch: 1 | remaining: 288s    
step 00036 (4.0%) | loss: 5.431191 | lrm: 1.00 | dt: 477ms | tok/sec: 549,271 | mfu: 13.3% | epoch: 1 | remaining: 288s    
step 00037 (4.1%) | loss: 5.408006 | lrm: 1.00 | dt: 480ms | tok/sec: 546,589 | mfu: 13.2% | epoch: 1 | remaining: 287s    
step 00038 (4.3%) | loss: 5.383130 | lrm: 1.00 | dt: 478ms | tok/sec: 548,428 | mfu: 13.3% | epoch: 1 | remaining: 287s    
step 00039 (4.5%) | loss: 5.360285 | lrm: 1.00 | dt: 482ms | tok/sec: 544,386 | mfu: 13.2% | epoch: 1 | remaining: 286s    
step 00040 (4.6%) | loss: 5.340737 | lrm: 1.00 | dt: 479ms | tok/sec: 547,074 | mfu: 13.2% | epoch: 1 | remaining: 286s    
step 00041 (4.8%) | loss: 5.317595 | lrm: 1.00 | dt: 479ms | tok/sec: 547,067 | mfu: 13.2% | epoch: 1 | remaining: 285s    
step 00042 (4.9%) | loss: 5.298895 | lrm: 1.00 | dt: 478ms | tok/sec: 548,743 | mfu: 13.3% | epoch: 1 | remaining: 285s    
step 00043 (5.1%) | loss: 5.274756 | lrm: 1.00 | dt: 476ms | tok/sec: 550,883 | mfu: 13.3% | epoch: 1 | remaining: 284s    
step 00044 (5.3%) | loss: 5.254386 | lrm: 1.00 | dt: 478ms | tok/sec: 548,949 | mfu: 13.3% | epoch: 1 | remaining: 284s    
step 00045 (5.4%) | loss: 5.237479 | lrm: 1.00 | dt: 477ms | tok/sec: 550,011 | mfu: 13.3% | epoch: 1 | remaining: 283s    
step 00046 (5.6%) | loss: 5.216737 | lrm: 1.00 | dt: 476ms | tok/sec: 550,762 | mfu: 13.3% | epoch: 1 | remaining: 283s    
step 00047 (5.7%) | loss: 5.193853 | lrm: 1.00 | dt: 477ms | tok/sec: 549,210 | mfu: 13.3% | epoch: 1 | remaining: 282s    
step 00048 (5.9%) | loss: 5.172974 | lrm: 1.00 | dt: 475ms | tok/sec: 551,433 | mfu: 13.3% | epoch: 1 | remaining: 282s    
step 00049 (6.1%) | loss: 5.152047 | lrm: 1.00 | dt: 478ms | tok/sec: 548,217 | mfu: 13.2% | epoch: 1 | remaining: 281s    
