Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.107668e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011397 | lrm: 1.00 | dt: 8497ms | tok/sec: 15,425 | mfu: 0.3% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.190599 | lrm: 1.00 | dt: 218ms | tok/sec: 602,628 | mfu: 12.8% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.855235 | lrm: 1.00 | dt: 221ms | tok/sec: 593,007 | mfu: 12.6% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.331210 | lrm: 1.00 | dt: 222ms | tok/sec: 591,058 | mfu: 12.6% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.951573 | lrm: 1.00 | dt: 222ms | tok/sec: 591,138 | mfu: 12.6% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.622957 | lrm: 1.00 | dt: 226ms | tok/sec: 579,057 | mfu: 12.3% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.353429 | lrm: 1.00 | dt: 221ms | tok/sec: 591,772 | mfu: 12.6% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.126006 | lrm: 1.00 | dt: 222ms | tok/sec: 591,698 | mfu: 12.6% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.931890 | lrm: 1.00 | dt: 221ms | tok/sec: 592,088 | mfu: 12.6% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.767520 | lrm: 1.00 | dt: 224ms | tok/sec: 586,024 | mfu: 12.5% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.624525 | lrm: 1.00 | dt: 224ms | tok/sec: 586,210 | mfu: 12.5% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.498191 | lrm: 1.00 | dt: 221ms | tok/sec: 591,901 | mfu: 12.6% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.392306 | lrm: 1.00 | dt: 222ms | tok/sec: 589,861 | mfu: 12.6% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.299240 | lrm: 1.00 | dt: 222ms | tok/sec: 591,716 | mfu: 12.6% | epoch: 1 | remaining: 299s    
step 00014 (0.2%) | loss: 6.215248 | lrm: 1.00 | dt: 222ms | tok/sec: 589,204 | mfu: 12.6% | epoch: 1 | remaining: 299s    
step 00015 (0.3%) | loss: 6.146189 | lrm: 1.00 | dt: 222ms | tok/sec: 591,143 | mfu: 12.6% | epoch: 1 | remaining: 299s    
step 00016 (0.4%) | loss: 6.084085 | lrm: 1.00 | dt: 222ms | tok/sec: 591,248 | mfu: 12.6% | epoch: 1 | remaining: 299s    
step 00017 (0.4%) | loss: 6.021668 | lrm: 1.00 | dt: 222ms | tok/sec: 591,335 | mfu: 12.6% | epoch: 1 | remaining: 298s    
step 00018 (0.5%) | loss: 5.965964 | lrm: 1.00 | dt: 223ms | tok/sec: 588,013 | mfu: 12.5% | epoch: 1 | remaining: 298s    
step 00019 (0.6%) | loss: 5.915195 | lrm: 1.00 | dt: 222ms | tok/sec: 590,251 | mfu: 12.6% | epoch: 1 | remaining: 298s    
step 00020 (0.7%) | loss: 5.871576 | lrm: 1.00 | dt: 223ms | tok/sec: 588,637 | mfu: 12.5% | epoch: 1 | remaining: 298s    
step 00021 (0.7%) | loss: 5.829606 | lrm: 1.00 | dt: 223ms | tok/sec: 588,043 | mfu: 12.5% | epoch: 1 | remaining: 298s    
step 00022 (0.8%) | loss: 5.788540 | lrm: 1.00 | dt: 223ms | tok/sec: 588,623 | mfu: 12.5% | epoch: 1 | remaining: 297s    
step 00023 (0.9%) | loss: 5.749273 | lrm: 1.00 | dt: 222ms | tok/sec: 591,345 | mfu: 12.6% | epoch: 1 | remaining: 297s    
step 00024 (1.0%) | loss: 5.712336 | lrm: 1.00 | dt: 222ms | tok/sec: 589,432 | mfu: 12.6% | epoch: 1 | remaining: 297s    
step 00025 (1.0%) | loss: 5.669170 | lrm: 1.00 | dt: 222ms | tok/sec: 589,332 | mfu: 12.6% | epoch: 1 | remaining: 297s    
step 00026 (1.1%) | loss: 5.633483 | lrm: 1.00 | dt: 222ms | tok/sec: 589,172 | mfu: 12.5% | epoch: 1 | remaining: 296s    
step 00027 (1.2%) | loss: 5.603030 | lrm: 1.00 | dt: 221ms | tok/sec: 592,860 | mfu: 12.6% | epoch: 1 | remaining: 296s    
step 00028 (1.3%) | loss: 5.573159 | lrm: 1.00 | dt: 222ms | tok/sec: 591,373 | mfu: 12.6% | epoch: 1 | remaining: 296s    
step 00029 (1.3%) | loss: 5.539862 | lrm: 1.00 | dt: 223ms | tok/sec: 588,378 | mfu: 12.5% | epoch: 1 | remaining: 296s    
step 00030 (1.4%) | loss: 5.509539 | lrm: 1.00 | dt: 223ms | tok/sec: 588,652 | mfu: 12.5% | epoch: 1 | remaining: 296s    
step 00031 (1.5%) | loss: 5.479275 | lrm: 1.00 | dt: 222ms | tok/sec: 590,284 | mfu: 12.6% | epoch: 1 | remaining: 295s    
step 00032 (1.6%) | loss: 5.448234 | lrm: 1.00 | dt: 221ms | tok/sec: 591,816 | mfu: 12.6% | epoch: 1 | remaining: 295s    
step 00033 (1.6%) | loss: 5.420911 | lrm: 1.00 | dt: 223ms | tok/sec: 589,016 | mfu: 12.5% | epoch: 1 | remaining: 295s    
step 00034 (1.7%) | loss: 5.390197 | lrm: 1.00 | dt: 223ms | tok/sec: 589,082 | mfu: 12.5% | epoch: 1 | remaining: 295s    
step 00035 (1.8%) | loss: 5.360607 | lrm: 1.00 | dt: 223ms | tok/sec: 586,750 | mfu: 12.5% | epoch: 1 | remaining: 294s    
step 00036 (1.9%) | loss: 5.336052 | lrm: 1.00 | dt: 221ms | tok/sec: 592,213 | mfu: 12.6% | epoch: 1 | remaining: 294s    
step 00037 (1.9%) | loss: 5.306960 | lrm: 1.00 | dt: 222ms | tok/sec: 590,271 | mfu: 12.6% | epoch: 1 | remaining: 294s    
step 00038 (2.0%) | loss: 5.280305 | lrm: 1.00 | dt: 222ms | tok/sec: 589,670 | mfu: 12.6% | epoch: 1 | remaining: 294s    
step 00039 (2.1%) | loss: 5.253386 | lrm: 1.00 | dt: 223ms | tok/sec: 588,278 | mfu: 12.5% | epoch: 1 | remaining: 294s    
step 00040 (2.1%) | loss: 5.226432 | lrm: 1.00 | dt: 222ms | tok/sec: 589,455 | mfu: 12.6% | epoch: 1 | remaining: 293s    
step 00041 (2.2%) | loss: 5.200362 | lrm: 1.00 | dt: 223ms | tok/sec: 588,625 | mfu: 12.5% | epoch: 1 | remaining: 293s    
step 00042 (2.3%) | loss: 5.176823 | lrm: 1.00 | dt: 222ms | tok/sec: 590,026 | mfu: 12.6% | epoch: 1 | remaining: 293s    
step 00043 (2.4%) | loss: 5.150360 | lrm: 1.00 | dt: 222ms | tok/sec: 590,802 | mfu: 12.6% | epoch: 1 | remaining: 293s    
step 00044 (2.4%) | loss: 5.127098 | lrm: 1.00 | dt: 222ms | tok/sec: 589,263 | mfu: 12.6% | epoch: 1 | remaining: 292s    
step 00045 (2.5%) | loss: 5.107276 | lrm: 1.00 | dt: 223ms | tok/sec: 588,546 | mfu: 12.5% | epoch: 1 | remaining: 292s    
step 00046 (2.6%) | loss: 5.087720 | lrm: 1.00 | dt: 222ms | tok/sec: 589,808 | mfu: 12.6% | epoch: 1 | remaining: 292s    
step 00047 (2.7%) | loss: 5.065040 | lrm: 1.00 | dt: 222ms | tok/sec: 589,685 | mfu: 12.6% | epoch: 1 | remaining: 292s    
step 00048 (2.7%) | loss: 5.044177 | lrm: 1.00 | dt: 223ms | tok/sec: 588,619 | mfu: 12.5% | epoch: 1 | remaining: 292s    
step 00049 (2.8%) | loss: 5.024421 | lrm: 1.00 | dt: 223ms | tok/sec: 587,997 | mfu: 12.5% | epoch: 1 | remaining: 291s    
step 00050 (2.9%) | loss: 5.002741 | lrm: 1.00 | dt: 222ms | tok/sec: 591,056 | mfu: 12.6% | epoch: 1 | remaining: 291s    
step 00051 (3.0%) | loss: 4.980105 | lrm: 1.00 | dt: 223ms | tok/sec: 588,065 | mfu: 12.5% | epoch: 1 | remaining: 291s    
step 00052 (3.0%) | loss: 4.955014 | lrm: 1.00 | dt: 223ms | tok/sec: 588,030 | mfu: 12.5% | epoch: 1 | remaining: 291s    
